Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 7.46, 15.45, 20.07, 32.36, 26.82, 37.32
BAYOU SORREL LOCK, 160565, Iberville Parish, 6.32, 15.02, 20.91, 33.21, 28.00, 36.92
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 4.70, 15.39, 21.30, 35.42, 29.44, 41.03
GONZALES, 163695, Ascension Parish, 6.17, 15.06, 20.86, 34.15, 27.85, 38.49
CARVILLE 2 SW, 161565, Iberville Parish, 5.07, 12.89, 18.87, 30.54, 24.39, 34.76
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 6.77, 14.63, 19.01, 29.49, 25.15, 33.43
LAFAYETTE, 165021, Lafayette Parish, 6.97, 14.99, 20.77, 29.43, 26.72, 34.11
CROWLEY 2 NE, 162212, Acadia Parish, 7.38, 16.05, 20.87, 33.07, 27.50, 41.70
JENNINGS, 164700, Jefferson Davis Parish, 5.34, 12.30, 16.16, 28.10, 23.38, 34.60
LAKE CHARLES PORT, 165076, Calcasieu Parish, 4.96, 11.91, 16.46, 33.33, 25.84, 37.97
SULPHUR, 168831, Calcasieu Parish, 3.31, 11.15, 13.37, 28.74, 22.04, 36.97
ST GABRIEL, 168139, Iberville Parish, M, M, 0.47, 11.28, 6.83, 15.99
OLD TOWN BAY, 166968, Calcasieu Parish, 3.10, 10.61, 17.38, 39.19, 29.12, 46.32
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 4.80, 12.97, 17.35, 35.23, 27.55, 40.91
PLAQUEMINE 2 N, 167366, Iberville Parish, 4.72, 9.46, 13.93, 26.64, 20.86, 31.77
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 3.82, 15.85, 22.58, 31.69, 26.65, 31.69
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 4.49, 8.46, 13.76, 28.03, 20.16, 34.55
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 4.13, 5.35, 9.11, 20.02, 15.25, 25.72
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 0.00, 0.64, 6.35, 13.42, 8.55, 14.26
GRAND COTEAU, 163800, Saint Landry Parish, 12.00, 17.40, 23.18, 36.84, 30.02, 42.53
ABITA SPRINGS 1 SW, 160016, Saint Tammany Parish, 5.28, 13.32, 19.30, 32.97, 25.71, 35.49
DENHAM SPRINGS, 162350, Livingston Parish, 6.86, 12.88, 19.21, 33.39, 25.74, 39.71
