Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
CLINTON 5 SE, 161899, East Feliciana Parish, M, M, M, 0.07, 3.25, 19.12
BEAVER FIRE TOWER, 160617, Evangeline Parish, 3.45, 6.44, 11.31, 20.77, 29.72, 38.65
BUNKIE, 161287, Avoyelles Parish, 5.37, 9.62, 14.17, 27.86, 37.23, 47.14
MARKSVILLE, 165920, Avoyelles Parish, 2.78, 7.14, 12.06, 25.48, 33.70, 46.25
LEESVILLE, 165266, Vernon Parish, 3.33, 6.54, 9.95, 27.53, 35.19, 49.60
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 4.45, 9.57, 14.05, 29.87, 37.83, 49.92
BOYCE 3 WNW, 161232, Rapides Parish, 7.89, 13.63, 19.72, 39.64, 48.47, 63.83
PEASON RIDGE RANGE, 03949, Sabine Parish, 3.78, 6.78, 13.54, 27.93, 34.62, 49.03
JONESVILLE LOCKS, 164739, Catahoula Parish, 4.15, 8.16, 13.00, 32.79, 42.66, 56.09
HANNA 4 SSE, 164050, Red River Parish, 11.93, 13.59, 20.06, 47.29, 54.22, 67.30
ST. JOSEPH 3 N, 168163, Tensas Parish, 2.90, 5.70, 7.77, 29.06, 40.27, 53.49
LOGANSPORT, 165522, De Soto Parish, 8.46, 10.46, 17.33, 41.28, 47.33, 56.71
MANSFIELD 4 NW, 165874, De Soto Parish, 8.02, 8.65, 11.80, 36.81, 41.33, 47.52
WINNSBORO 5 SSE, 169806, Franklin Parish, 3.38, 7.90, 9.53, 18.77, 27.93, 42.62
COLUMBIA LOCK, 161979, Caldwell Parish, 9.19, 14.18, 17.74, 45.87, 58.05, 78.15
BIENVILLE 3 NE, 160800, Bienville Parish, 3.96, 6.63, 14.92, 43.30, 52.11, 64.74
SAILES FIRE TOWER, 168094, Bienville Parish, 5.92, 8.80, 14.76, 31.46, 36.63, 46.99
KEITHVILLE, 164816, Caddo Parish, 6.72, 8.59, 15.63, 35.19, 42.78, 52.16
TALLULAH, 168923, Madison Parish, 0.35, 7.02, 7.02, 9.90, 9.90, 9.92
KORAN, 164931, Bossier Parish, 8.19, 8.87, 15.57, 37.45, 46.97, 53.86
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 4.82, 5.89, 12.40, 35.01, 43.37, 52.20
SHREVEPORT AP, 13957, Caddo Parish, 5.28, 8.62, 14.94, 34.84, 42.81, 51.93
MONROE REGIONAL AP, 13942, Ouachita Parish, 3.91, 8.78, 12.97, 35.06, 45.05, 60.78
RUSTON LA TECH, 168067, Lincoln Parish, M, M, M, 12.14, 17.84, 29.78
MINDEN, 166244, Webster Parish, 6.28, 9.65, 14.58, 38.83, 49.01, 60.44
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 5.89, 10.19, 16.29, 36.07, 44.65, 54.22
ARCADIA, 160277, Bienville Parish, 2.43, 5.26, 11.28, 32.78, 41.01, 53.47
OAK RIDGE, 166868, Morehouse Parish, 2.57, 5.65, 8.01, 29.53, 37.73, 55.45
MOORINGSPORT 1 N, 166364, Caddo Parish, 5.60, 9.75, 17.78, 35.89, 41.88, 52.87
HOMER 1N, 164355, Claiborne Parish, 5.78, 10.07, 15.42, 38.20, 47.38, 59.15
OAK GROVE, 166866, West Carroll Parish, 6.71, 15.28, 16.73, 43.63, 53.40, 75.45
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 8.46, 10.96, 16.59, 24.12, 30.97, 38.42
LUTCHER, 165783, Saint James Parish, M, M, M, 0.00, 0.00, 0.21
SLIDELL, 168539, Saint Tammany Parish, 15.16, 23.91, 28.39, 38.82, 43.43, 57.67
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, M, M, M, 0.37, 2.47, 4.47
SALT POINT, 12968, Saint Mary Parish, 6.31, 11.39, 17.51, 26.41, 34.70, 41.40
BOOTHVILLE ASOS, 12884, Plaquemines Parish, M, M, M, M, M, 9.67
GALLIANO, 163433, Lafourche Parish, 6.37, 10.61, 14.35, 20.93, 25.64, 40.15
MORGAN CITY, 166394, Saint Mary Parish, 7.61, 14.67, 20.84, 27.03, 32.63, 44.61
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 9.87, 14.52, 16.83, 23.30, 30.26, 36.88
FRANKLIN 3 NW, 163313, Saint Mary Parish, 6.08, 12.23, 16.65, 24.90, 32.12, 44.88
HACKBERRY 8 SSW, 163979, Cameron Parish, 2.00, 2.49, 6.55, 17.51, 23.89, 31.50
NAPOLEONVILLE, 166561, Assumption Parish, 4.49, 13.33, 18.81, 26.34, 33.84, 47.31
JEANERETTE 5 NW, 164674, Iberia Parish, 8.21, 13.85, 19.77, 29.31, 36.36, 47.04
ABBEVILLE, 160007, Vermilion Parish, 8.67, 15.33, 21.00, 31.45, 38.26, 50.33
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 5.72, 10.24, 16.65, 25.77, 32.53, 40.56
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 7.59, 14.18, 17.06, 26.12, 34.81, 43.00
PORT VINCENT 4.4 W, LAAS0002, Ascension Parish, M, M, 9.46, 14.40, 14.40, 14.40
GONZALES 4.0 S, LAAS0005, Ascension Parish, 14.80, 21.14, 29.59, 41.11, 48.04, 59.21
BUNKIE 0.3 WSW, LAAV0001, Avoyelles Parish, 3.59, 7.26, 11.54, 24.21, 33.26, 42.11
BOSSIER CITY 6.7 NNW, LABS0001, Bossier Parish, 4.20, 8.41, 13.11, 35.90, 43.79, 55.25
BOSSIER CITY 7.9 NNW, LABS0003, Bossier Parish, M, 3.50, 4.58, 17.24, 17.24, 24.16
IOWA 0.9 ESE, LACC0003, Calcasieu Parish, 2.12, 10.03, 17.70, 26.11, 33.34, 41.26
SULPHUR 2.2 E, LACC0006, Calcasieu Parish, 4.75, 9.46, 15.82, 28.27, 33.05, 44.04
IOWA 9.7 NNW, LACC0009, Calcasieu Parish, M, M, M, 10.91, 18.65, 32.27
SHREVEPORT 6.2 S, LACD0001, Caddo Parish, 6.00, 10.06, 17.28, 38.70, 48.95, 56.90
SICILY ISLAND 3.3 WNW, LACT0001, Catahoula Parish, 4.21, 10.28, 13.97, 34.75, 44.91, 61.49
BATON ROUGE 2.7 SW, LAEB0002, East Baton Rouge Parish, 10.89, 19.47, 26.25, 44.35, 50.85, 60.70
BROWNFIELDS 5.8 NE, LAEB0009, East Baton Rouge Parish, 7.98, 16.99, 22.52, 31.22, 35.76, 47.45
BATON ROUGE 3.5 E, LAEB0014, East Baton Rouge Parish, 13.37, 21.31, 28.51, 46.78, 53.67, 68.26
MONTICELLO 3.0 ENE, LAEB0019, East Baton Rouge Parish, 11.31, 20.53, 28.70, 44.91, 50.76, 66.15
SHENANDOAH 1.5 E, LAEB0022, East Baton Rouge Parish, 15.65, 21.99, 31.14, 43.39, 49.06, 65.00
BROWNFIELDS 4.0 E, LAEB0023, East Baton Rouge Parish, 9.59, 18.29, 25.34, 43.36, 49.53, 64.48
BATON ROUGE 2.5 E, LAEB0027, East Baton Rouge Parish, 12.66, 19.27, 25.40, 42.57, 49.07, 63.07
CENTRAL 2.2 SE, LAEB0031, East Baton Rouge Parish, 9.20, 16.31, 23.58, 39.27, 45.97, 58.93
LSU, LAEB0033, East Baton Rouge Parish, 2.94, 3.71, 3.71, 13.67, 18.75, 35.44
CLINTON 1.4 S, LAEF0001, East Feliciana Parish, 0.00, 0.00, 0.00, 0.00, 0.64, 11.18
WINNSBORO 5.3 NNE, LAFP0003, Franklin Parish, M, 1.95, 1.95, 34.15, 41.15, 53.63
HOUMA 4.4 NNW, LATR0015, Terrebonne Parish, M, M, M, 0.00, 0.00, 0.00
RAGLEY 5.0 SE, LABG0002, Beauregard Parish, 3.33, 8.21, 15.50, 26.78, 32.86, 48.49
SHREVEPORT 6.7 S, LACD0019, Caddo Parish, 5.65, 9.54, 16.20, 36.71, 46.41, 53.96
ST. BERNARD 2.7 E, LASB0002, Saint Bernard Parish, 13.75, 21.14, 24.76, 36.97, 41.50, 56.42
JACKSON 10.1 SSW, LAEB0056, East Baton Rouge Parish, 7.28, 13.37, 19.30, 35.04, 40.04, 54.79
CHALMETTE, 166130, Saint Bernard Parish, 17.70, 30.35, 35.77, 48.10, 53.34, 68.97
BOSSIER CITY 2.4 WNW, LABS0017, Bossier Parish, 4.73, 10.79, 16.83, 39.05, 48.15, 58.84
MONROE 2.5 NNW, LAOC0019, Ouachita Parish, M, 2.08, 2.08, 13.16, 16.05, 20.06
MONROE 5.5 ENE, LAOC0023, Ouachita Parish, 3.47, 7.79, 13.23, 37.73, 48.36, 66.39
CHAUVIN, 161705, Terrebonne Parish, 8.10, 22.95, 31.21, 36.97, 42.29, 55.86
DULAC 3N, 162673, Terrebonne Parish, 8.41, 18.18, 25.91, 32.14, 36.75, 49.67
Monroe Area, MLUthr, -, 3.91, 8.78, 12.97, 35.06, 45.05, 60.78
ALEXANDRIA 2.8 SW, LARP0007, Rapides Parish, 4.13, 6.97, 13.04, 28.40, 37.63, 49.11
GOLDONNA 1.5 N, LANT0005, Natchitoches Parish, 3.64, 7.19, 13.47, 42.37, 49.76, 62.63
METAIRIE 1.6 ESE, LAJF0013, Jefferson Parish, 12.42, 23.10, 30.33, 41.90, 44.44, 56.65
PRAIRIEVILLE 2.0 S, LAAS0019, Ascension Parish, 10.27, 16.81, 25.95, 38.07, 43.58, 56.88
RUSTON 5.4 ENE, LALN0008, Lincoln Parish, 3.82, 8.92, 12.59, 34.53, 43.91, 58.32
GEORGETOWN 12.1 W, LAGR0002, Grant Parish, 0.15, 3.09, 3.09, 3.09, 3.09, 3.68
CHURCH POINT 0.7 WSW, LAAC0002, Acadia Parish, 4.16, 7.21, 13.20, 23.00, 28.90, 41.17
SLIDELL 4.4 E, LAST0017, Saint Tammany Parish, 12.80, 23.23, 29.30, 38.95, 44.18, 58.81
BOSSIER CITY 4.0 S, LABS0019, Bossier Parish, 4.61, 6.87, 13.08, 35.36, 47.06, 54.81
BLANCHARD 2.8 NNE, LACD0026, Caddo Parish, 4.98, 7.55, 15.42, 36.69, 42.85, 56.96
BATON ROUGE 4.0 SSE, LAEB0060, East Baton Rouge Parish, 11.48, 19.40, 27.45, 42.13, 48.66, 62.78
NOBLE 1.8 ESE, LASN0007, Sabine Parish, 9.76, 13.98, 19.60, 42.22, 49.38, 61.61
CAMPTI 5.7 ENE, LANT0006, Natchitoches Parish, 6.25, 8.32, 14.09, 40.56, 48.43, 64.00
VIVIAN 1.5 N, LACD0027, Caddo Parish, 6.13, 8.75, 15.47, 30.91, 35.85, 38.54
BATON ROUGE 7.0 SSE, LAEB0059, East Baton Rouge Parish, M, 3.62, 3.62, 7.48, 7.48, 7.48
Natchitoches Area, ICHL1thr, -, 6.15, 8.16, 14.75, 36.28, 43.18, 55.31
Tallulah-Vicksburg Area, TVRthr, -, 2.14, 7.37, 9.63, 34.51, 45.88, 63.11
HAMMOND 2.5 NNW, LATG0017, Tangipahoa Parish, 9.63, 17.49, 22.70, 35.75, 42.47, 59.18
ASHWOOD 5.7 SW, LAWF0005, West Feliciana Parish, 8.27, 14.22, 21.00, 30.80, 35.56, 53.26
PEARL RIVER 2.0 S, LAST0020, Saint Tammany Parish, 13.59, 25.95, 31.59, 40.75, 45.08, 61.00
BOGALUSA 8.8 WNW, LAWS0004, Washington Parish, 9.62, 19.46, 27.34, 39.45, 45.93, 60.16
THIBODAUX 7.8 NNE, LALF0004, Lafourche Parish, 8.01, 18.65, 23.70, 30.36, 36.08, 52.19
RAYNE 1.0 W, LAAC0003, Acadia Parish, 3.60, 6.67, 13.18, 23.53, 29.50, 39.79
HOMER 0.5 ESE, LACB0007, Claiborne Parish, 6.02, 10.57, 16.16, 40.04, 49.16, 61.55
SHREVEPORT 6.3 S, LACD0004, Caddo Parish, 5.01, 8.89, 16.15, 37.54, 47.57, 55.40
WINNFIELD 15.1 W, LAWP0001, Winn Parish, M, M, M, M, M, 0.53
MANSFIELD 6.5 ENE, LADS0004, De Soto Parish, 5.02, 6.60, 12.18, 40.08, 45.67, 55.99
PINEVILLE 1.0 SSW, LARP0009, Rapides Parish, M, M, M, 0.00, 0.00, 0.00
ST. FRANCISVILLE 1 NE, 168138, West Feliciana Parish, 5.50, 12.13, 18.10, 28.62, 34.16, 47.74
NEW ORLEANS 5.0 N, LAOR0009, Orleans Parish, 11.86, 25.65, 33.53, 44.23, 48.62, 61.06
SULPHUR 2.2 S, LACC0020, Calcasieu Parish, 7.28, 9.38, 16.47, 26.55, 30.81, 40.61
METAIRIE 2.8 ENE, LAJF0014, Jefferson Parish, 13.10, 24.29, 30.39, 41.91, 45.88, 59.21
NEW ORLEANS 4.8 N, LAOR0012, Orleans Parish, 8.30, 15.42, 21.83, 33.60, 36.23, 43.41
WESTWEGO 2.4 ENE, LAOR0013, Orleans Parish, 16.16, 28.51, 35.06, 45.30, 49.12, 60.29
