Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 4.95, 9.28, 12.00, 24.23, 14.79, 43.53
LUTCHER, 165783, Saint James Parish, 1.04, 4.55, 4.73, 7.56, 4.73, 8.91
SLIDELL, 168539, Saint Tammany Parish, 5.64, 10.45, 17.67, 31.13, 21.36, 44.62
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 4.74, 9.01, 14.15, 33.22, 21.84, 44.35
SALT POINT, 12968, Saint Mary Parish, 0.08, 3.24, 3.61, 3.61, 3.61, 3.61
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 2.53, 6.94, 10.00, 25.92, 12.15, 33.10
GALLIANO, 163433, Lafourche Parish, 1.39, 5.88, 9.60, 23.06, 13.20, 31.42
MORGAN CITY, 166394, Saint Mary Parish, 6.94, 14.91, 19.09, 27.98, 23.09, 27.98
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 4.12, 6.24, 9.37, 20.59, 12.37, 29.05
FRANKLIN 3 NW, 163313, Saint Mary Parish, 3.13, 11.85, 15.96, 29.48, 20.18, 37.81
HACKBERRY 8 SSW, 163979, Cameron Parish, 2.57, 8.55, 11.56, 17.25, 11.68, 26.53
NAPOLEONVILLE, 166561, Assumption Parish, 2.92, 9.48, 14.48, 27.57, 18.26, 40.88
JEANERETTE 5 NW, 164674, Iberia Parish, 4.51, 12.25, 15.98, 27.80, 19.32, 34.80
ABBEVILLE, 160007, Vermilion Parish, 6.27, 13.32, 17.07, 31.17, 21.28, 48.74
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 5.45, 13.69, 16.21, 29.62, 19.93, 40.49
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.89, 11.76, 15.02, 26.69, 18.45, 39.44
CLINTON 5 SE, 161899, East Feliciana Parish, 6.54, 10.87, 15.56, 32.75, 19.12, 38.94
BEAVER FIRE TOWER, 160617, Evangeline Parish, 4.68, 11.89, 14.61, 30.15, 21.14, 36.39
BUNKIE, 161287, Avoyelles Parish, 8.96, 13.42, 18.83, 38.49, 26.24, 46.63
MARKSVILLE, 165920, Avoyelles Parish, 8.07, 12.99, 16.63, 35.61, 23.91, 39.74
LEESVILLE, 165266, Vernon Parish, 7.02, 10.78, 13.49, 30.45, 21.01, 39.31
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 5.93, 11.97, 15.60, 33.06, 22.49, 37.76
BOYCE 3 WNW, 161232, Rapides Parish, 9.81, 18.68, 22.08, 46.48, 32.31, 56.06
PEASON RIDGE RANGE, 03949, Sabine Parish, 3.19, 9.33, 10.76, 30.29, 17.50, 39.21
JONESVILLE LOCKS, 164739, Catahoula Parish, 6.29, 10.89, 15.46, 33.15, 20.79, 37.38
HANNA 4 SSE, 164050, Red River Parish, 10.38, 16.11, 22.98, 43.83, 29.89, 58.65
ST. JOSEPH 3 N, 168163, Tensas Parish, 7.69, 11.58, 17.93, 41.05, 28.13, 48.05
LOGANSPORT, 165522, De Soto Parish, 6.77, 11.15, 17.27, 38.64, 22.89, 53.31
MANSFIELD 4 NW, 165874, De Soto Parish, 7.90, 10.00, 15.60, 35.01, 20.60, 50.08
WINNSBORO 5 SSE, 169806, Franklin Parish, 6.72, 11.08, 16.44, 36.39, 25.60, 47.51
COLUMBIA LOCK, 161979, Caldwell Parish, 8.65, 14.71, 20.22, 42.17, 30.09, 53.36
BIENVILLE 3 NE, 160800, Bienville Parish, 9.12, 17.90, 26.85, 52.50, 34.63, 64.91
SAILES FIRE TOWER, 168094, Bienville Parish, 8.03, 14.10, 21.13, 42.81, 27.42, 57.04
KEITHVILLE, 164816, Caddo Parish, 6.44, 10.97, 15.09, 37.14, 20.17, 51.05
TALLULAH, 168923, Madison Parish, 6.25, 7.22, 7.22, 7.72, 7.22, 10.83
KORAN, 164931, Bossier Parish, 8.55, 11.17, 18.60, 40.05, 24.16, 49.82
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 7.13, 10.77, 16.19, 38.68, 21.44, 51.33
SHREVEPORT AP, 13957, Caddo Parish, 7.32, 10.56, 13.67, 35.01, 18.65, 47.06
MONROE REGIONAL AP, 13942, Ouachita Parish, 9.11, 15.59, 22.70, 45.93, 30.97, 58.13
RUSTON LA TECH, 168067, Lincoln Parish, 6.91, 14.69, 24.86, 51.59, 34.39, 63.20
MINDEN, 166244, Webster Parish, 8.43, 14.42, 21.44, 41.69, 27.28, 52.37
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 6.39, 8.98, 12.32, 31.17, 17.36, 41.54
ARCADIA, 160277, Bienville Parish, 9.12, 16.26, 24.44, 46.90, 30.86, 61.12
OAK RIDGE, 166868, Morehouse Parish, 6.60, 7.97, 11.62, 17.02, 14.32, 29.72
MOORINGSPORT 1 N, 166364, Caddo Parish, 9.45, 14.78, 18.33, 35.82, 22.62, 45.56
HOMER 1N, 164355, Claiborne Parish, 8.87, 16.10, 22.81, 44.28, 29.03, 53.07
LAKE PROVIDENCE, 165090, East Carroll Parish, 9.52, 15.10, 23.88, 41.77, 29.38, 55.96
OAK GROVE, 166866, West Carroll Parish, 8.59, 13.71, 19.76, 41.57, 27.99, 49.55
PLAIN DEALING, 167344, Bossier Parish, 7.65, 14.39, 15.01, 23.55, 15.01, 32.68
SPRINGHILL, 168683, Webster Parish, 8.72, 15.52, 21.02, 45.54, 29.96, 56.17
BAKER, 160462, East Baton Rouge Parish, 7.02, 12.12, 14.95, 30.98, 19.53, 38.45
JENA, 164696, La Salle Parish, 3.79, 9.02, 12.54, 34.57, 23.04, 45.80
BATON ROUGE CONCORD, 160548, East Baton Rouge Parish, M, M, M, 15.95, 3.43, 23.97
SHREVEPORT DOWNTOWN, 168436, Caddo Parish, 0.00, 5.34, 10.01, 27.24, 15.46, 44.51
CARENCRO, 161535, Lafayette Parish, 5.86, 9.12, 13.08, 26.92, 17.50, 35.10
MARRERO 9 SSW, 165926, Jefferson Parish, 2.12, 7.63, 12.22, 25.24, 12.72, 37.11
RED RIVER LOCK #1, 167729, Catahoula Parish, M, M, M, 5.30, 1.50, 7.80
PONCHATOULA 4 E, 167425, Tangipahoa Parish, 4.33, 8.26, 14.71, 28.95, 18.58, 36.10
LEESVILLE 6 SSW, 165287, Vernon Parish, 5.17, 8.64, 11.10, 27.66, 20.34, 39.72
ZWOLLE 2 NW, 169980, Sabine Parish, 7.23, 11.28, 16.76, 34.69, 23.15, 44.33
RED RIVER LOCK # 2, 167732, Rapides Parish, 3.40, 7.31, 8.31, 27.16, 15.29, 30.31
MANY 9 WSW, 165896, Sabine Parish, 7.26, 11.90, 16.28, 37.07, 23.37, 45.19
