Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
CLINTON 5 SE, 161899, East Feliciana Parish, 3.00, 7.40, 11.54, 22.21, M, 11.54
BEAVER FIRE TOWER, 160617, Evangeline Parish, 10.34, 14.67, 18.23, 32.17, 3.00, 18.25
BUNKIE, 161287, Avoyelles Parish, 11.98, 18.18, 22.24, 34.05, 3.13, 23.52
MARKSVILLE, 165920, Avoyelles Parish, 10.94, 16.16, 18.25, 33.06, 2.86, 18.69
LEESVILLE, 165266, Vernon Parish, 10.09, 13.11, 21.18, 32.68, 3.34, 21.64
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 10.35, 14.06, 17.79, 28.65, 2.94, 18.21
BOYCE 3 WNW, 161232, Rapides Parish, 15.84, 20.11, 29.18, 46.46, 5.63, 29.38
PEASON RIDGE RANGE, 03949, Sabine Parish, 13.18, 18.02, 26.68, 38.15, 4.97, 26.68
JONESVILLE LOCKS, 164739, Catahoula Parish, 8.56, 13.71, 15.97, 25.29, 0.20, 16.79
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 9.52, 14.34, 19.82, 38.66, 0.10, 20.48
BAYOU SORREL LOCK, 160565, Iberville Parish, 4.83, 8.45, 13.38, 38.43, 0.13, 17.47
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 10.90, 14.53, 19.43, 35.87, 3.88, 19.97
GONZALES, 163695, Ascension Parish, 8.72, 14.49, 20.23, 39.25, 0.15, 21.05
CARVILLE 2 SW, 161565, Iberville Parish, 10.06, 15.93, 21.61, 44.85, 1.55, 22.36
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 8.66, 12.01, 17.47, 38.60, 2.89, 17.67
CROWLEY 2 NE, 162212, Acadia Parish, 10.78, 16.04, 23.53, 45.93, 2.24, 23.84
JENNINGS, 164700, Jefferson Davis Parish, 11.21, 14.07, 18.67, 38.33, 3.54, 19.78
LAKE CHARLES PORT, 165076, Calcasieu Parish, 12.84, 15.21, 19.37, 44.14, 2.16, 21.14
SULPHUR, 168831, Calcasieu Parish, 15.40, 18.30, 26.66, 49.66, 4.70, 26.86
OLD TOWN BAY, 166968, Calcasieu Parish, 12.58, 14.07, 19.30, 37.96, 3.10, 21.00
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 13.18, 15.56, 20.14, 37.43, 2.44, 21.96
PLAQUEMINE 2 N, 167366, Iberville Parish, 8.67, 12.25, 16.98, 37.57, 0.33, 18.20
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 4.72, 4.72, 4.72, 8.78, 0.47, 4.72
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 8.53, 12.27, 17.57, 34.61, 0.51, 18.11
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 7.86, 11.12, 14.83, 24.57, 0.37, 15.22
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 8.78, 12.22, 19.21, 39.64, 0.30, 19.41
GRAND COTEAU, 163800, Saint Landry Parish, 9.69, 15.23, 21.32, 40.30, 2.47, 21.93
PORT ALLEN, 167448, West Baton Rouge Parish, 10.81, 14.39, 17.97, 29.73, 0.52, 18.19
OPELOUSAS, 166995, Saint Landry Parish, M, 5.79, 7.54, 14.41, M, 7.54
LIVINGSTON, 165438, Livingston Parish, 12.78, 16.73, 22.04, 40.67, 0.00, 22.04
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 11.92, 15.64, 21.51, 33.25, 2.53, 21.76
OBERLIN FIRE TOWER, 166938, Allen Parish, 10.07, 12.41, 17.27, 31.83, 2.85, 17.80
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 11.82, 18.06, 22.44, 33.27, 3.57, 22.67
VILLE PLATTE, 169369, Evangeline Parish, 11.17, 18.40, 19.64, 30.00, 3.92, 19.64
