Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 6.78, 7.76, 10.55, 26.79, 13.24, 41.98
LUTCHER, 165783, Saint James Parish, 3.06, 3.93, 4.11, 6.94, 4.11, 8.29
SLIDELL, 168539, Saint Tammany Parish, 7.91, 9.46, 16.22, 31.41, 19.78, 43.04
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 5.89, 6.11, 11.15, 32.84, 18.84, 41.35
SALT POINT, 12968, Saint Mary Parish, 1.05, 3.59, 3.61, 3.61, 3.61, 3.61
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 4.90, 6.74, 9.79, 29.06, 11.79, 32.74
GALLIANO, 163433, Lafourche Parish, 3.38, 5.67, 9.85, 24.31, 12.62, 30.84
MORGAN CITY, 166394, Saint Mary Parish, 12.33, 13.69, 19.49, 26.70, 21.81, 26.70
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 5.23, 5.96, 9.17, 21.75, 12.05, 28.73
FRANKLIN 3 NW, 163313, Saint Mary Parish, 8.92, 10.56, 16.40, 31.01, 18.62, 36.25
HACKBERRY 8 SSW, 163979, Cameron Parish, 7.43, 8.20, 11.24, 20.28, 11.27, 26.12
NAPOLEONVILLE, 166561, Assumption Parish, 6.66, 8.90, 14.10, 28.42, 17.12, 39.74
JEANERETTE 5 NW, 164674, Iberia Parish, 9.44, 10.96, 14.73, 29.00, 17.87, 33.35
ABBEVILLE, 160007, Vermilion Parish, 10.80, 11.94, 15.11, 32.24, 19.32, 46.78
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 11.30, 12.42, 14.77, 32.25, 18.45, 39.01
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 9.15, 10.23, 13.00, 29.50, 16.30, 37.29
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 6.50, 8.50, 13.35, 30.70, 16.46, 36.84
BAYOU SORREL LOCK, 160565, Iberville Parish, 6.15, 7.92, 10.70, 20.24, 11.92, 29.26
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 11.73, 12.43, 14.35, 31.38, 20.35, 36.44
GONZALES, 163695, Ascension Parish, 8.25, 9.69, 16.22, 33.61, 19.27, 40.17
CARVILLE 2 SW, 161565, Iberville Parish, 5.94, 8.19, 12.67, 31.00, 16.17, 36.98
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 4.90, 5.27, 7.03, 20.90, 11.03, 25.81
CROWLEY 2 NE, 162212, Acadia Parish, 10.51, 11.57, 15.29, 34.14, 20.14, 41.74
JENNINGS, 164700, Jefferson Davis Parish, 10.20, 11.47, 14.14, 30.65, 19.43, 35.67
LAKE CHARLES PORT, 165076, Calcasieu Parish, 10.17, 10.78, 12.71, 32.82, 19.62, 38.60
SULPHUR, 168831, Calcasieu Parish, 7.71, 8.66, 11.40, 33.30, 19.23, 41.39
OLD TOWN BAY, 166968, Calcasieu Parish, M, M, M, 16.89, 5.50, 23.40
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 7.08, 7.59, 9.82, 29.88, 16.56, 36.08
PLAQUEMINE 2 N, 167366, Iberville Parish, 9.66, 11.92, 15.25, 30.07, 18.15, 36.02
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, M, M, M, 4.72, 0.47, 4.72
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 10.56, 12.02, 15.62, 30.32, 18.56, 36.16
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 9.49, 10.82, 14.34, 27.88, 17.13, 31.98
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 6.27, 8.16, 13.77, 29.39, 17.47, 36.58
