Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 4.43, 5.60, 13.31, 26.97, 15.32, 28.97
SLIDELL, 168539, Saint Tammany Parish, 4.02, 8.81, 14.17, 31.55, 18.13, 32.81
SALT POINT, 12968, Saint Mary Parish, 1.69, 4.77, 12.93, 27.13, 15.86, 28.69
FRANKLIN 3 NW, 163313, Saint Mary Parish, 3.17, 4.64, 12.21, 31.63, 17.28, 32.63
HACKBERRY 8 SSW, 163979, Cameron Parish, M, M, 5.25, 9.17, 5.25, 9.17
NAPOLEONVILLE, 166561, Assumption Parish, 3.79, 6.24, 13.80, 37.15, 19.82, 37.80
JEANERETTE 5 NW, 164674, Iberia Parish, 5.20, 8.25, 16.58, 31.47, 19.55, 32.65
ABBEVILLE, 160007, Vermilion Parish, 4.14, 6.95, 13.03, 26.23, 17.79, 27.62
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 7.12, 9.32, 15.74, 29.44, 19.27, 30.50
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 4.45, 5.59, 11.92, 25.72, 13.72, 26.53
BEAVER FIRE TOWER, 160617, Evangeline Parish, 3.63, 7.24, 18.13, 27.78, 20.94, 28.85
BUNKIE, 161287, Avoyelles Parish, 3.71, 11.79, 23.12, 35.38, 26.71, 36.10
MARKSVILLE, 165920, Avoyelles Parish, 2.84, 7.52, 17.26, 25.89, 20.20, 25.89
LEESVILLE, 165266, Vernon Parish, 4.64, 8.18, 16.63, 25.13, 19.63, 26.02
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 5.06, 9.53, 16.85, 26.66, 19.90, 27.35
BOYCE 3 WNW, 161232, Rapides Parish, 4.59, 9.24, 18.36, 27.17, 20.99, 27.99
PEASON RIDGE RANGE, 03949, Sabine Parish, 7.38, 9.34, 16.25, 24.21, 18.02, 25.44
JONESVILLE LOCKS, 164739, Catahoula Parish, 3.46, 8.91, 16.89, 24.77, 19.79, 25.23
ST. JOSEPH 3 N, 168163, Tensas Parish, 6.54, 14.72, 22.29, 29.57, 24.46, 30.07
LOGANSPORT, 165522, De Soto Parish, 5.61, 12.29, 19.76, 29.88, 22.21, 31.18
WINNSBORO 5 SSE, 169806, Franklin Parish, 5.69, 11.14, 19.66, 27.48, 22.36, 27.74
COLUMBIA LOCK, 161979, Caldwell Parish, 6.32, 12.17, 21.35, 28.76, 23.42, 28.93
BIENVILLE 3 NE, 160800, Bienville Parish, 10.25, 16.45, 25.18, 33.58, 27.91, 34.69
SAILES FIRE TOWER, 168094, Bienville Parish, M, M, M, 0.00, M, 0.00
KEITHVILLE, 164816, Caddo Parish, 7.11, 10.94, 19.62, 30.52, 22.28, 31.79
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 8.48, 13.69, 22.05, 31.49, 24.17, 32.52
SHREVEPORT AP, 13957, Caddo Parish, 10.38, 14.34, 23.34, 33.28, 25.80, 34.83
MONROE REGIONAL AP, 13942, Ouachita Parish, 10.21, 16.93, 23.03, 31.07, 25.71, 31.46
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 8.56, 12.55, 21.06, 30.47, 23.26, 31.81
ARCADIA, 160277, Bienville Parish, 8.27, 15.27, 24.46, 32.77, 27.01, 33.53
OAK RIDGE, 166868, Morehouse Parish, M, M, 4.30, 4.30, 4.30, 4.30
MOORINGSPORT 1 N, 166364, Caddo Parish, 5.71, 11.86, 20.29, 27.20, 22.51, 29.45
HOMER 1N, 164355, Claiborne Parish, 6.50, 11.03, 19.42, 28.75, 22.71, 29.30
OAK GROVE, 166866, West Carroll Parish, 2.13, 7.83, 14.05, 22.97, 16.91, 23.71
GONZALES 4.0 S, LAAS0005, Ascension Parish, 2.64, 5.47, 12.13, 29.72, 16.20, 30.51
BUNKIE 0.3 WSW, LAAV0001, Avoyelles Parish, 3.83, 11.90, 23.44, 34.51, 26.64, 35.08
BOSSIER CITY 6.7 NNW, LABS0001, Bossier Parish, 8.15, 12.34, 20.73, 30.69, 22.87, 32.18
IOWA 0.9 ESE, LACC0003, Calcasieu Parish, 3.87, 4.66, 14.28, 24.10, 17.05, 24.99
SULPHUR 2.2 E, LACC0006, Calcasieu Parish, 3.47, 4.81, 16.55, 27.50, 21.10, 28.40
SHREVEPORT 6.2 S, LACD0001, Caddo Parish, 3.28, 7.90, 17.24, 27.21, 19.58, 28.36
BROWNFIELDS 5.8 NE, LAEB0009, East Baton Rouge Parish, 3.28, 9.87, 13.80, 23.58, 15.82, 24.98
BATON ROUGE 3.5 E, LAEB0014, East Baton Rouge Parish, 3.93, 9.04, 17.45, 32.27, 20.63, 32.91
MONTICELLO 3.0 ENE, LAEB0019, East Baton Rouge Parish, 3.53, 9.04, 17.36, 28.96, 20.44, 29.54
SHENANDOAH 1.5 E, LAEB0022, East Baton Rouge Parish, 4.13, 9.20, 16.07, 28.94, 19.10, 29.39
BATON ROUGE 2.5 E, LAEB0027, East Baton Rouge Parish, 4.15, 9.84, 17.25, 31.04, 20.44, 31.72
CENTRAL 2.2 SE, LAEB0031, East Baton Rouge Parish, 2.92, 9.34, 16.00, 27.29, 18.83, 27.83
LSU, LAEB0033, East Baton Rouge Parish, 4.04, 8.87, 16.39, 30.75, 19.66, 31.53
WINNSBORO 5.3 NNE, LAFP0003, Franklin Parish, 6.60, 6.60, 21.69, 27.90, 23.91, 27.90
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 3.57, 6.13, 13.02, 34.50, 17.26, 35.28
