Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
HANNA 4 SSE, 164050, Red River Parish, 8.49, 12.80, 16.21, 22.30, 48.93, 5.04
ST. JOSEPH 3 N, 168163, Tensas Parish, 5.16, 9.55, 11.73, 20.10, 46.05, 0.06
LOGANSPORT, 165522, De Soto Parish, 7.15, 9.62, 14.51, 21.50, 43.29, 3.59
MANSFIELD 4 NW, 165874, De Soto Parish, 5.73, 8.34, 11.57, 18.29, 41.02, 3.32
WINNSBORO 5 SSE, 169806, Franklin Parish, 1.34, 2.78, 3.27, 10.43, 33.75, 0.96
COLUMBIA LOCK, 161979, Caldwell Parish, 6.45, 10.66, 16.64, 24.30, 50.28, 2.66
BIENVILLE 3 NE, 160800, Bienville Parish, 8.74, 12.03, 13.08, 21.12, 48.34, 2.84
SAILES FIRE TOWER, 168094, Bienville Parish, 8.75, 12.70, 15.87, 20.26, 46.42, 3.08
KEITHVILLE, 164816, Caddo Parish, 6.33, 8.04, 9.58, 14.93, 40.23, 2.92
TALLULAH, 168923, Madison Parish, 0.00, 0.00, 1.39, 3.47, 7.53, 0.00
KORAN, 164931, Bossier Parish, 2.20, 3.07, 3.82, 10.79, 32.49, 2.20
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 5.85, 9.51, 11.26, 18.39, 40.63, 3.36
SHREVEPORT AP, 13957, Caddo Parish, 8.59, 11.73, 14.01, 19.44, 40.22, 2.48
MONROE REGIONAL AP, 13942, Ouachita Parish, 6.36, 12.46, 13.31, 22.06, 44.26, 3.15
RUSTON LA TECH, 168067, Lincoln Parish, 6.42, 12.34, 15.19, 18.74, 27.84, 2.32
MINDEN, 166244, Webster Parish, 6.54, 8.76, 10.53, 19.31, 43.74, 2.41
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 7.61, 12.79, 16.73, 23.79, 41.34, 2.65
ARCADIA, 160277, Bienville Parish, 7.84, 9.59, 10.79, 22.77, 47.23, 3.66
OAK RIDGE, 166868, Morehouse Parish, 6.75, 13.00, 15.65, 26.28, 52.02, 5.10
MOORINGSPORT 1 N, 166364, Caddo Parish, 6.82, 9.98, 14.43, 21.34, 46.61, 2.22
HOMER 1N, 164355, Claiborne Parish, 5.96, 8.95, 10.07, 19.42, 45.53, 2.30
LAKE PROVIDENCE, 165090, East Carroll Parish, 5.93, 10.86, 14.30, 25.02, 50.39, 3.28
OAK GROVE, 166866, West Carroll Parish, 1.80, 5.04, 7.07, 18.07, 43.86, 0.06
CLINTON 5 SE, 161899, East Feliciana Parish, 3.27, 7.44, 10.39, 21.94, 46.93, 0.48
BEAVER FIRE TOWER, 160617, Evangeline Parish, 4.58, 9.66, 12.48, 24.79, 45.59, 0.43
BUNKIE, 161287, Avoyelles Parish, 4.87, 7.86, 11.17, 21.11, 44.23, 1.94
MARKSVILLE, 165920, Avoyelles Parish, 3.76, 7.44, 14.18, 20.74, 47.10, 0.70
LEESVILLE, 165266, Vernon Parish, 5.10, 8.12, 11.33, 23.25, 57.29, 2.77
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 2.34, 7.63, 9.43, 22.42, 49.00, 1.09
BOYCE 3 WNW, 161232, Rapides Parish, 5.43, 12.07, 14.05, 26.00, 61.92, 1.30
PEASON RIDGE RANGE, 03949, Sabine Parish, 6.60, 9.71, 10.18, 19.30, 48.71, 2.19
JONESVILLE LOCKS, 164739, Catahoula Parish, 4.13, 8.02, 9.56, 16.76, 42.12, 1.52
PORT VINCENT 4.4 W, LAAS0002, Ascension Parish, M, M, 4.95, 12.73, 20.23, M
GONZALES 4.0 S, LAAS0005, Ascension Parish, 3.83, 11.93, 16.58, 26.18, 45.99, 1.22
BUNKIE 0.3 WSW, LAAV0001, Avoyelles Parish, 4.46, 7.69, 11.13, 21.05, 41.24, 1.64
BOSSIER CITY 6.7 NNW, LABS0001, Bossier Parish, 6.66, 12.14, 16.12, 22.73, 44.92, 2.39
BOSSIER CITY 7.9 NNW, LABS0003, Bossier Parish, M, M, M, M, 1.80, M
IOWA 0.9 ESE, LACC0003, Calcasieu Parish, 7.63, 14.43, 16.75, 26.18, 42.16, 2.22
