Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 10.49, 14.33, 20.31, 40.35, 46.64, 65.42
LUTCHER, 165783, Saint James Parish, 14.75, 17.96, 18.63, 35.91, 40.19, 58.24
SLIDELL, 168539, Saint Tammany Parish, 9.82, 14.14, 20.29, 41.04, 47.72, 67.27
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 9.21, 10.14, 16.85, 35.33, 42.18, 58.88
GRAND ISLE, 163807, Jefferson Parish, M, M, M, 5.55, 5.55, 5.55
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 11.44, 16.71, 21.73, 38.84, 47.09, 68.27
GALLIANO, 163433, Lafourche Parish, 15.66, 21.58, 28.70, 50.69, 65.99, 95.83
MORGAN CITY, 166394, Saint Mary Parish, 14.71, 17.59, 22.91, 45.44, 53.46, 72.83
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 22.02, 30.51, 38.03, 61.68, 68.80, 85.45
FRANKLIN 3 NW, 163313, Saint Mary Parish, 19.81, 23.29, 28.01, 54.09, 63.24, 86.27
HACKBERRY 8 SSW, 163979, Cameron Parish, 11.84, 13.43, 25.56, 46.75, 51.03, 66.01
NAPOLEONVILLE, 166561, Assumption Parish, 19.96, 22.70, 31.32, 56.15, 61.20, 88.93
JEANERETTE 5 NW, 164674, Iberia Parish, 23.68, 25.06, 32.36, 53.82, 61.81, 85.69
ABBEVILLE, 160007, Vermilion Parish, 24.68, 28.87, 37.26, 57.91, 66.90, 90.94
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 22.57, 27.44, 36.85, 51.23, 55.90, 77.75
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 27.02, 32.12, 37.93, 53.53, 61.69, 84.61
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 23.06, 28.08, 38.39, 60.82, 66.01, 93.45
BAYOU SORREL LOCK, 160565, Iberville Parish, 14.77, 17.16, 20.68, 35.73, 43.80, 67.75
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 11.58, 14.62, 25.82, 47.01, 51.27, 64.45
GONZALES, 163695, Ascension Parish, 24.41, 31.67, 45.20, 69.48, 74.35, 102.89
CARVILLE 2 SW, 161565, Iberville Parish, 24.93, 26.64, 35.14, 56.48, 64.14, 90.72
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 25.79, 27.14, 36.84, 53.92, 62.01, 80.71
LAFAYETTE, 165021, Lafayette Parish, M, M, M, M, M, 16.95
CROWLEY 2 NE, 162212, Acadia Parish, 19.99, 21.90, 30.84, 56.67, 61.59, 82.07
JENNINGS, 164700, Jefferson Davis Parish, 21.55, 24.63, 31.59, 51.25, 55.93, 76.06
LAKE CHARLES PORT, 165076, Calcasieu Parish, 11.99, 14.89, 27.90, 46.17, 50.52, 65.62
SULPHUR, 168831, Calcasieu Parish, 12.25, 13.90, 20.94, 20.94, 20.94, 20.94
OLD TOWN BAY, 166968, Calcasieu Parish, 5.41, 7.62, 18.45, 40.82, 47.66, 66.49
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 15.52, 17.85, 27.41, 55.02, 62.31, 82.87
PLAQUEMINE 2 N, 167366, Iberville Parish, 11.23, 15.32, 23.71, 40.68, 49.72, 65.98
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 6.12, 6.12, 13.93, 32.19, 32.19, 48.09
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 21.91, 30.70, 41.01, 62.78, 72.15, 97.16
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 16.76, 21.90, 29.70, 48.86, 57.77, 82.53
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 8.20, 10.58, 16.52, 33.20, 39.23, 61.06
GRAND COTEAU, 163800, Saint Landry Parish, 16.34, 17.98, 26.94, 58.24, 63.25, 83.64
DENHAM SPRINGS, 162350, Livingston Parish, 3.93, 9.39, 16.57, 33.88, 36.85, 54.10
PORT ALLEN, 167448, West Baton Rouge Parish, 22.38, 30.60, 39.45, 57.54, 66.76, 89.61
OPELOUSAS, 166995, Saint Landry Parish, 17.83, 19.27, 29.67, 50.93, 58.14, 75.71
LIVINGSTON, 165438, Livingston Parish, 34.00, 41.33, 47.28, 69.70, 78.03, 103.22
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 25.33, 29.81, 39.48, 57.97, 66.17, 94.16
OBERLIN FIRE TOWER, 166938, Allen Parish, 8.98, 11.00, 18.15, 36.74, 42.01, 60.40
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 19.21, 23.40, 27.14, 45.33, 53.38, 74.04
VILLE PLATTE, 169369, Evangeline Parish, M, M, 2.48, 14.21, 18.18, 43.54
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 25.43, 29.91, 35.60, 58.52, 67.97, 96.41
OAKNOLIA 2N, 166911, East Feliciana Parish, M, M, M, M, M, T
ST. FRANCISVILLE, 168136, West Feliciana Parish, 22.97, 26.13, 30.28, 52.20, 60.33, 82.97
CLINTON 5 SE, 161899, East Feliciana Parish, 10.72, 14.16, 20.02, 41.83, 49.77, 72.28
BEAVER FIRE TOWER, 160617, Evangeline Parish, 7.62, 10.65, 15.86, 29.99, 34.75, 58.24
OAKDALE, 166836, Allen Parish, M, M, M, 2.95, 2.95, 2.95
DE RIDDER, 162367, Beauregard Parish, 6.80, 7.20, 16.37, 31.35, 37.20, 64.55
BUNKIE, 161287, Avoyelles Parish, 14.20, 20.90, 27.00, 40.20, 45.53, 71.56
MARKSVILLE, 165920, Avoyelles Parish, 14.27, 15.39, 20.42, 37.64, 44.03, 68.25
LEESVILLE, 165266, Vernon Parish, 5.88, 7.36, 18.59, 39.35, 44.40, 71.74
LSU DEAN LEE RES. STA., 165630, Rapides Parish, 8.84, 10.68, 17.73, 24.01, 24.01, 48.06
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 7.74, 11.91, 16.38, 28.31, 31.20, 56.89
BOYCE 3 WNW, 161232, Rapides Parish, 11.66, 13.43, 22.73, 44.32, 50.07, 80.91
PEASON RIDGE RANGE, 03949, Sabine Parish, 7.89, 8.49, 12.83, 20.02, 22.01, 43.81
JONESVILLE LOCKS, 164739, Catahoula Parish, 6.06, 11.05, 14.25, 32.97, 38.32, 61.03
ST. JOSEPH 3 N, 168163, Tensas Parish, 5.69, 9.14, 14.83, 33.31, 39.33, 62.49
LOGANSPORT, 165522, De Soto Parish, 6.64, 8.78, 15.23, 37.85, 44.47, 72.05
WINNSBORO 5 SSE, 169806, Franklin Parish, 5.52, 7.40, 10.36, 29.55, 35.27, 58.41
COLUMBIA LOCK, 161979, Caldwell Parish, 10.61, 12.93, 17.67, 38.17, 46.11, 64.76
BIENVILLE 3 NE, 160800, Bienville Parish, 7.96, 9.41, 17.98, 45.23, 49.77, 73.97
SAILES FIRE TOWER, 168094, Bienville Parish, 7.42, 9.50, 13.71, 44.66, 48.55, 71.49
KEITHVILLE, 164816, Caddo Parish, 3.58, 4.74, 11.55, 38.28, 42.06, 64.83
TALLULAH, 168923, Madison Parish, 11.47, 15.62, 19.25, 47.05, 54.30, 75.11
KORAN, 164931, Bossier Parish, 8.89, 9.88, 13.47, 39.28, 41.53, 63.74
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 4.33, 6.97, 11.31, 42.59, 46.17, 70.26
SHREVEPORT AP, 13957, Caddo Parish, 3.13, 6.68, 11.33, 39.72, 43.75, 64.08
MONROE REGIONAL AP, 13942, Ouachita Parish, 7.62, 10.13, 15.63, 51.62, 57.59, 79.19
MONROE DELTA CC, 166314, Ouachita Parish, 9.23, 11.18, 15.43, 51.33, 57.16, 79.70
CALHOUN 2 N, 161411, Ouachita Parish, 7.59, 9.19, 15.86, 51.61, 56.89, 78.44
RUSTON LA TECH, 168067, Lincoln Parish, 5.53, 6.58, 11.03, 42.42, 47.18, 69.99
MINDEN, 166244, Webster Parish, 4.06, 4.46, 11.25, 46.51, 51.99, 75.37
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 1.82, 2.93, 8.09, 36.24, 39.89, 59.93
ARCADIA, 160277, Bienville Parish, 6.95, 7.60, 12.11, 47.76, 53.44, 75.85
OAK RIDGE, 166868, Morehouse Parish, 10.08, 12.53, 18.81, 56.62, 63.21, 83.98
MOORINGSPORT 1 N, 166364, Caddo Parish, 2.90, 3.89, 6.77, 36.74, 40.33, 63.94
FARMERVILLE, 163079, Union Parish, 6.46, 6.56, 11.50, 42.04, 48.74, 69.59
HOMER 1N, 164355, Claiborne Parish, 2.88, 3.75, 8.43, 36.77, 42.04, 65.99
LAKE PROVIDENCE, 165090, East Carroll Parish, 4.90, 6.78, 11.95, 38.56, 44.42, 67.85
OAK GROVE, 166866, West Carroll Parish, 9.30, 12.40, 18.72, 47.54, 53.03, 75.26
PLAIN DEALING, 167344, Bossier Parish, 6.94, 7.58, 12.78, 40.86, 45.62, 69.25
SPRINGHILL, 168683, Webster Parish, 6.28, 6.63, 11.19, 33.74, 38.29, 58.64
BAKER, 160462, East Baton Rouge Parish, 25.10, 30.58, 37.56, 56.83, 64.05, 92.33
VIDALIA NO 2, 169357, Concordia Parish, 8.61, 9.35, 13.52, 31.31, 31.66, 56.12
ST MARTINVILLE 3 SW, 168181, Saint Martin Parish, 32.35, 35.65, 43.43, 61.01, 71.18, 100.63
JENA, 164696, La Salle Parish, 5.89, 7.07, 11.05, 31.29, 35.05, 60.97
BATON ROUGE CONCORD, 160548, East Baton Rouge Parish, 24.09, 33.23, 43.75, 64.37, 74.60, 101.11
SHREVEPORT DOWNTOWN, 168436, Caddo Parish, 2.36, 3.91, 9.55, 42.00, 46.36, 70.22
RAYVILLE, 167691, Richland Parish, 10.83, 13.41, 18.39, 52.51, 58.86, 80.63
MARRERO 9 SSW, 165926, Jefferson Parish, 12.75, 17.19, 25.49, 44.69, 53.11, 74.17
RED RIVER LOCK #1, 167729, Catahoula Parish, 7.45, 8.75, 9.55, 17.43, 21.94, 39.30
PONCHATOULA 4 E, 167425, Tangipahoa Parish, 13.71, 21.65, 27.66, 57.54, 63.90, 93.72
LEESVILLE 6 SSW, 165287, Vernon Parish, 8.38, 9.72, 23.76, 45.33, 49.32, 80.20
ZWOLLE 2 NW, 169980, Sabine Parish, 5.06, 6.81, 13.98, 39.11, 42.48, 63.98
RED RIVER LOCK # 2, 167732, Rapides Parish, 3.30, 7.10, 12.70, 27.74, 32.42, 56.32
