Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 6.85, 13.67, 28.60, 66.14, 0.12, 28.86
LUTCHER, 165783, Saint James Parish, 0.68, 2.83, 4.18, 13.85, M, 4.18
SLIDELL, 168539, Saint Tammany Parish, 6.57, 11.98, 23.57, 38.39, 0.35, 23.61
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 9.31, 14.20, 20.86, 48.55, 0.20, 22.71
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 6.64, M, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 11.24, 17.28, 20.96, 39.45, 0.01, 20.96
GALLIANO, 163433, Lafourche Parish, 5.68, 11.72, 18.25, 48.16, 0.03, 18.25
MORGAN CITY, 166394, Saint Mary Parish, 4.92, 4.92, 4.92, 21.91, 0.03, 4.92
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 5.04, 9.71, 15.59, 45.84, 0.01, 16.69
FRANKLIN 3 NW, 163313, Saint Mary Parish, 5.93, 12.39, 16.99, 48.14, 0.00, 17.63
HACKBERRY 8 SSW, 163979, Cameron Parish, 3.43, 9.01, 13.06, 35.55, M, 14.85
NAPOLEONVILLE, 166561, Assumption Parish, 6.21, 11.32, 21.44, 44.46, 0.02, 22.64
JEANERETTE 5 NW, 164674, Iberia Parish, 6.60, 11.43, 15.66, 39.47, 0.30, 15.78
ABBEVILLE, 160007, Vermilion Parish, 7.10, 13.09, 27.36, 52.58, 0.17, 27.63
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 7.79, 13.83, 19.79, 41.64, 0.03, 20.59
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 6.69, 13.20, 20.19, 34.63, T, 20.99
CLINTON 5 SE, 161899, East Feliciana Parish, 3.00, 7.40, 11.54, 25.68, M, 11.54
BEAVER FIRE TOWER, 160617, Evangeline Parish, 7.34, 12.59, 15.23, 30.71, M, 15.25
