Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 11.07, 14.33, 21.27, 40.47, 46.64, 65.42
LUTCHER, 165783, Saint James Parish, 10.66, 13.87, 14.54, 33.18, 36.10, 54.15
SLIDELL, 168539, Saint Tammany Parish, 11.04, 14.19, 19.67, 41.19, 47.00, 66.55
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 0.71, 3.59, 10.05, 28.03, 33.68, 50.38
GRAND ISLE, 163807, Jefferson Parish, M, M, M, 5.55, 5.55, 5.55
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 12.24, 16.89, 21.94, 39.01, 47.04, 68.22
GALLIANO, 163433, Lafourche Parish, 15.88, 20.60, 27.53, 49.40, 64.32, 94.16
MORGAN CITY, 166394, Saint Mary Parish, 8.99, 11.82, 17.46, 39.92, 47.60, 66.97
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 13.01, 21.42, 29.75, 52.37, 59.44, 76.09
FRANKLIN 3 NW, 163313, Saint Mary Parish, 15.33, 18.31, 23.94, 49.07, 57.96, 80.99
HACKBERRY 8 SSW, 163979, Cameron Parish, 6.75, 8.34, 22.46, 42.27, 45.94, 60.92
NAPOLEONVILLE, 166561, Assumption Parish, 13.14, 15.42, 24.99, 49.07, 53.90, 81.63
JEANERETTE 5 NW, 164674, Iberia Parish, 10.45, 12.59, 20.07, 41.11, 48.52, 72.40
ABBEVILLE, 160007, Vermilion Parish, 9.25, 12.50, 21.95, 42.03, 50.39, 74.43
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 11.53, 16.45, 26.08, 40.19, 44.51, 66.36
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 17.82, 22.86, 30.01, 44.71, 52.39, 75.31
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 17.06, 19.34, 30.82, 52.40, 57.18, 84.62
BAYOU SORREL LOCK, 160565, Iberville Parish, 7.20, 8.78, 13.21, 28.03, 35.28, 59.23
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 6.20, 9.23, 21.27, 41.70, 45.88, 59.06
GONZALES, 163695, Ascension Parish, 17.94, 22.49, 36.56, 60.62, 64.99, 93.53
CARVILLE 2 SW, 161565, Iberville Parish, 21.78, 22.89, 35.05, 54.01, 60.39, 86.97
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 15.17, 16.26, 26.98, 43.54, 51.13, 69.83
LAFAYETTE, 165021, Lafayette Parish, M, M, M, M, M, 16.95
CROWLEY 2 NE, 162212, Acadia Parish, 3.49, 5.71, 15.02, 41.20, 45.09, 65.57
JENNINGS, 164700, Jefferson Davis Parish, 6.99, 9.39, 16.40, 37.00, 40.21, 60.34
LAKE CHARLES PORT, 165076, Calcasieu Parish, 4.42, 8.33, 20.84, 38.20, 42.55, 57.65
SULPHUR, 168831, Calcasieu Parish, 7.00, 8.65, 15.69, 15.69, 15.69, 15.69
OLD TOWN BAY, 166968, Calcasieu Parish, 2.07, 5.67, 16.39, 37.78, 44.32, 63.15
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 8.70, 12.71, 21.12, 48.22, 55.14, 75.70
PLAQUEMINE 2 N, 167366, Iberville Parish, 7.32, 12.30, 20.88, 37.32, 45.54, 61.80
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 6.12, 6.12, 13.93, 32.19, 32.19, 48.09
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 14.85, 20.55, 32.20, 53.96, 61.73, 86.74
