Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
CLINTON 5 SE, 161899, East Feliciana Parish, 6.49, 10.87, 15.56, 32.75, 19.12, 38.94
BEAVER FIRE TOWER, 160617, Evangeline Parish, 5.27, 12.47, 15.21, 30.71, 21.74, 36.99
BUNKIE, 161287, Avoyelles Parish, 9.33, 13.97, 19.38, 38.54, 26.79, 47.18
MARKSVILLE, 165920, Avoyelles Parish, 8.68, 13.92, 17.56, 35.79, 24.84, 40.67
LEESVILLE, 165266, Vernon Parish, 7.80, 13.12, 15.83, 32.77, 23.37, 41.67
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 6.03, 12.07, 15.70, 33.16, 22.59, 37.86
BOYCE 3 WNW, 161232, Rapides Parish, 10.43, 19.12, 22.67, 46.80, 32.93, 56.68
PEASON RIDGE RANGE, 03949, Sabine Parish, 3.23, 9.37, 10.76, 30.31, 17.54, 39.25
JONESVILLE LOCKS, 164739, Catahoula Parish, 8.47, 13.97, 18.54, 36.23, 23.87, 40.46
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 5.60, 9.97, 12.59, 24.44, 15.48, 44.22
LUTCHER, 165783, Saint James Parish, 1.04, 4.55, 4.73, 7.33, 4.73, 8.91
SLIDELL, 168539, Saint Tammany Parish, 5.61, 10.45, 17.67, 30.93, 21.36, 44.62
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 4.24, 9.01, 14.15, 33.17, 21.84, 44.35
SALT POINT, 12968, Saint Mary Parish, 0.06, 3.22, 3.61, 3.61, 3.61, 3.61
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 2.62, 7.02, 10.09, 26.01, 12.24, 33.19
GALLIANO, 163433, Lafourche Parish, 1.39, 5.88, 9.58, 23.06, 13.20, 31.42
MORGAN CITY, 166394, Saint Mary Parish, 6.94, 14.91, 19.07, 27.98, 23.09, 27.98
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 4.05, 6.24, 9.37, 20.22, 12.37, 29.05
FRANKLIN 3 NW, 163313, Saint Mary Parish, 3.47, 12.19, 16.30, 29.82, 20.52, 38.15
HACKBERRY 8 SSW, 163979, Cameron Parish, 2.54, 8.55, 11.55, 17.25, 11.68, 26.53
NAPOLEONVILLE, 166561, Assumption Parish, 2.94, 9.50, 14.47, 27.14, 18.28, 40.90
JEANERETTE 5 NW, 164674, Iberia Parish, 4.76, 12.54, 16.27, 27.62, 19.61, 35.09
ABBEVILLE, 160007, Vermilion Parish, 6.80, 14.14, 17.84, 31.38, 22.10, 49.56
