Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 4.97, 9.18, 13.66, 30.61, 11.14, 29.92
LUTCHER, 165783, Saint James Parish, 7.85, 9.90, 16.18, 28.82, 10.77, 28.82
SLIDELL, 168539, Saint Tammany Parish, 7.08, 12.16, 19.59, 33.80, 12.89, 32.44
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 3.54, 6.89, 11.26, 30.97, 9.19, 25.89
GRAND ISLE, 163807, Jefferson Parish, 1.95, 1.95, 1.95, 7.32, 1.95, 1.95
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 2.50, 9.45, 19.53, 33.05, 10.53, 31.71
GALLIANO, 163433, Lafourche Parish, 2.92, 10.36, 32.54, 48.45, 17.84, 47.68
MORGAN CITY, 166394, Saint Mary Parish, 8.60, 13.56, 20.17, 36.48, 16.28, 35.65
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 3.31, 6.96, 11.92, 27.92, 10.38, 27.03
FRANKLIN 3 NW, 163313, Saint Mary Parish, 10.66, 16.73, 24.68, 43.25, 19.55, 42.58
HACKBERRY 8 SSW, 163979, Cameron Parish, 2.44, 4.39, 7.17, 24.40, 6.11, 21.09
NAPOLEONVILLE, 166561, Assumption Parish, 10.76, 14.25, 20.94, 44.14, 15.59, 43.32
JEANERETTE 5 NW, 164674, Iberia Parish, 7.06, 12.20, 17.56, 38.76, 14.47, 38.35
ABBEVILLE, 160007, Vermilion Parish, 7.06, 12.45, 18.51, 40.12, 15.42, 39.46
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 3.45, 6.49, 11.30, 31.43, 7.77, 29.62
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.67, 11.13, 15.80, 36.48, 13.35, 36.27
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 12.27, 15.57, 24.80, 45.06, 17.05, 44.49
BAYOU SORREL LOCK, 160565, Iberville Parish, 3.31, 7.87, 13.64, 35.16, 10.56, 34.51
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 2.14, 4.13, 8.05, 21.09, 6.31, 19.49
GONZALES, 163695, Ascension Parish, 14.72, 17.89, 24.96, 50.18, 19.09, 47.63
CARVILLE 2 SW, 161565, Iberville Parish, 10.69, 16.10, 21.66, 44.33, 17.07, 43.65
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 5.51, 9.92, 15.94, 31.93, 13.10, 31.80
LAFAYETTE, 165021, Lafayette Parish, M, M, 1.20, 16.95, M, 16.95
CROWLEY 2 NE, 162212, Acadia Parish, 8.31, 11.09, 14.75, 33.27, 12.20, 32.68
JENNINGS, 164700, Jefferson Davis Parish, 4.96, 6.99, 11.22, 28.79, 8.17, 28.30
LAKE CHARLES PORT, 165076, Calcasieu Parish, 1.77, 3.49, 8.39, 26.11, 6.12, 21.22
OLD TOWN BAY, 166968, Calcasieu Parish, 4.70, 7.55, 13.37, 35.09, 11.24, 30.07
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 6.05, 8.44, 21.75, 37.98, 12.97, 33.53
PLAQUEMINE 2 N, 167366, Iberville Parish, 5.87, 12.13, 16.92, 30.60, 14.09, 30.35
