Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 6.80, 16.37, 20.51, 29.22, 31.95, 43.93
BAYOU SORREL LOCK, 160565, Iberville Parish, 8.08, 18.12, 20.15, 30.09, 32.93, 40.31
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 4.72, 12.28, 17.48, 26.40, 28.38, 38.37
GONZALES, 163695, Ascension Parish, 6.69, 16.78, 20.75, 34.64, 37.64, 52.74
CARVILLE 2 SW, 161565, Iberville Parish, 9.94, 18.82, 22.33, 33.50, 37.70, 50.90
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 6.34, 13.10, 18.38, 30.34, 31.74, 44.20
CROWLEY 2 NE, 162212, Acadia Parish, 2.22, 6.94, 14.13, 25.11, 26.90, 37.31
JENNINGS, 164700, Jefferson Davis Parish, 3.20, 11.80, 16.01, 27.67, 31.63, 39.93
LAKE CHARLES PORT, 165076, Calcasieu Parish, 3.83, 10.13, 14.86, 23.16, 24.72, 36.14
SULPHUR, 168831, Calcasieu Parish, 4.70, 11.49, 19.03, 28.23, 29.73, 41.41
OLD TOWN BAY, 166968, Calcasieu Parish, M, M, M, M, M, 0.00
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 4.84, 12.01, 18.48, 28.20, 30.07, 40.11
PLAQUEMINE 2 N, 167366, Iberville Parish, 8.39, 18.12, 24.19, 33.88, 36.00, 48.55
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 7.96, 14.97, 22.33, 36.39, 38.28, 51.92
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 9.36, 12.62, 18.56, 28.35, 31.72, 45.15
GRAND COTEAU, 163800, Saint Landry Parish, 5.04, 12.78, 17.17, 32.51, 34.24, 46.12
PORT ALLEN, 167448, West Baton Rouge Parish, 6.02, 9.32, 14.80, 27.91, 30.56, 42.14
LIVINGSTON, 165438, Livingston Parish, 10.66, 19.67, 27.26, 42.03, 45.36, 65.70
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 10.94, 16.04, 23.18, 34.27, 36.85, 49.19
OBERLIN FIRE TOWER, 166938, Allen Parish, 1.14, 6.01, 10.91, 21.22, 24.68, 35.26
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 8.32, 13.44, 19.70, 30.35, 32.55, 47.03
VILLE PLATTE, 169369, Evangeline Parish, 1.93, 7.18, 13.48, 23.11, 28.90, 38.92
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 10.04, 14.11, 18.78, 33.16, 35.61, 54.13
ST. FRANCISVILLE, 168136, West Feliciana Parish, 7.68, 13.19, 17.53, 28.23, 30.04, 45.50
CLINTON 5 SE, 161899, East Feliciana Parish, M, M, M, 3.25, 3.25, 19.12
BEAVER FIRE TOWER, 160617, Evangeline Parish, 3.64, 8.51, 13.17, 23.38, 26.98, 35.91
BUNKIE, 161287, Avoyelles Parish, 4.55, 9.01, 14.63, 27.54, 32.16, 42.07
MARKSVILLE, 165920, Avoyelles Parish, 4.35, 9.93, 14.93, 27.37, 31.57, 44.12
LEESVILLE, 165266, Vernon Parish, 3.47, 7.50, 14.01, 30.91, 32.74, 47.15
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 5.44, 10.56, 16.30, 31.64, 34.34, 46.43
BOYCE 3 WNW, 161232, Rapides Parish, 7.18, 13.91, 21.22, 40.64, 42.66, 58.02
PEASON RIDGE RANGE, 03949, Sabine Parish, 2.82, 10.91, 13.53, 30.72, 32.04, 46.45
JONESVILLE LOCKS, 164739, Catahoula Parish, 4.83, 9.02, 18.08, 35.57, 39.33, 52.76
THIBODAUX 4 SE, 169013, Lafourche Parish, 11.21, 19.31, 22.88, 30.08, 31.84, 46.58
TALISHEEK, 168906, Saint Tammany Parish, 8.69, 19.12, 23.68, 24.46, 24.46, 34.38
SHREVEPORT SOUTHERN HILLS, 168444, Caddo Parish, 5.98, 13.19, 18.79, 44.04, 45.09, 52.97
LAFAYETTE 13 SE, 53960, Saint Martin Parish, 11.48, 16.68, 21.12, 30.44, 33.52, 42.77
MONROE 26 N, 53961, Union Parish, 5.90, 8.49, 14.65, 39.41, 40.64, 61.55
WINNSBORO 2 SE, 169804, Franklin Parish, 5.88, 7.51, 16.66, 38.94, 43.95, 47.60
ABITA RIVER COVINGTON, 160012, Saint Tammany Parish, 8.12, 23.20, 28.61, 38.03, 41.61, 51.16
TOLEDO BEND LAKE, 169074, Sabine Parish, 2.59, 4.70, 13.48, 25.80, 26.90, 39.32
Baton Rouge Area, BTRthr, -, 10.94, 16.04, 23.18, 34.27, 36.85, 49.19
Lake Charles Area, LCHthr, -, 4.72, 12.28, 17.48, 26.40, 28.38, 38.37
New Orleans Area, MSYthr, -, 11.19, 19.59, 24.94, 32.19, 34.41, 49.99
Shreveport Area, SHVthr, -, 6.61, 12.93, 20.19, 39.96, 40.80, 49.92
FORT POLK FULLERTON LANDING STRIP, 53988, Vernon Parish, 1.06, 4.74, 10.05, 20.38, 21.87, 28.42
SHREVEPORT WFO, 168448, Caddo Parish, 6.54, 13.90, 20.96, 41.96, 42.81, 53.73
MOSS BLUFF 2 NNW, 166434, Calcasieu Parish, 4.17, 12.05, 18.11, 28.51, 29.85, 39.98
GONZALES 4.5 S, LAAS0011, Ascension Parish, 5.76, 15.80, 19.98, 31.80, 35.11, 47.41
KEITHVILLE 1.5 NNW, LACD0012, Caddo Parish, 5.00, 12.24, 18.26, 40.26, 41.23, 49.00
SHREVEPORT 3.0 E, LACD0013, Caddo Parish, M, M, M, 11.67, 12.60, 12.60
SCOTT 1.0 N, LALY0006, Lafayette Parish, 3.62, 13.48, 21.91, 35.04, 36.37, 50.29
CARENCRO 3.9 ENE, LALY0007, Lafayette Parish, 4.24, 9.13, 14.79, 27.17, 28.71, 42.88
COVINGTON 4.0 NNE, LAST0011, Saint Tammany Parish, 7.25, 15.91, 22.59, 32.93, 36.03, 49.29
ABBEVILLE 1.0 E, LAVM0004, Vermilion Parish, 9.80, 17.29, 23.37, 33.60, 35.57, 47.19
NATCHITOCHES #2, 166584, Natchitoches Parish, 3.62, 10.84, 17.31, 38.13, 39.28, 51.41
DUTCHTOWN #2, 162688, Ascension Parish, 7.20, 17.49, 23.76, 32.11, 34.83, 49.48
PORT VINCENT 4.4 W, LAAS0002, Ascension Parish, M, 9.46, 14.40, 14.40, 14.40, 14.40
GONZALES 4.0 S, LAAS0005, Ascension Parish, 5.85, 15.06, 19.14, 30.43, 33.53, 44.70
