Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 2.47, 7.63, 11.04, 20.35, 22.51, 29.96
LUTCHER, 165783, Saint James Parish, M, M, M, 0.00, 0.00, 0.21
SLIDELL, 168539, Saint Tammany Parish, 9.24, 13.49, 18.19, 27.92, 28.92, 43.16
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, M, M, M, 2.47, 2.47, 4.47
SALT POINT, 12968, Saint Mary Parish, 5.08, 11.20, 16.23, 26.28, 28.39, 35.09
BOOTHVILLE ASOS, 12884, Plaquemines Parish, M, M, M, M, M, 9.67
GALLIANO, 163433, Lafourche Parish, 3.76, 7.90, 10.72, 18.67, 19.27, 33.78
MORGAN CITY, 166394, Saint Mary Parish, 6.19, 13.23, 15.80, 24.84, 25.02, 37.00
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 2.96, 6.96, 11.54, 18.47, 20.39, 27.01
FRANKLIN 3 NW, 163313, Saint Mary Parish, 5.94, 10.57, 14.28, 23.60, 26.04, 38.80
HACKBERRY 8 SSW, 163979, Cameron Parish, 0.49, 4.34, 11.78, 21.89, 21.89, 29.50
NAPOLEONVILLE, 166561, Assumption Parish, 8.84, 14.32, 17.97, 27.88, 29.35, 42.82
JEANERETTE 5 NW, 164674, Iberia Parish, 5.56, 11.29, 16.43, 26.53, 28.15, 38.83
ABBEVILLE, 160007, Vermilion Parish, 6.61, 11.88, 17.11, 27.79, 29.59, 41.66
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 4.01, 10.93, 15.54, 24.13, 26.81, 34.84
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 6.58, 9.47, 14.15, 24.87, 27.22, 35.41
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 6.90, 16.35, 20.57, 30.39, 31.93, 43.91
BAYOU SORREL LOCK, 160565, Iberville Parish, 7.99, 18.08, 20.17, 30.77, 32.84, 40.22
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 5.40, 12.03, 15.94, 24.75, 26.73, 36.72
GONZALES, 163695, Ascension Parish, 7.08, 16.23, 20.18, 35.11, 37.07, 52.17
CARVILLE 2 SW, 161565, Iberville Parish, 9.18, 18.16, 21.61, 35.54, 36.94, 50.14
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 4.98, 13.15, 17.00, 28.86, 30.26, 42.72
CROWLEY 2 NE, 162212, Acadia Parish, 2.31, 9.52, 14.10, 25.01, 26.77, 37.18
JENNINGS, 164700, Jefferson Davis Parish, 5.09, 12.07, 16.03, 27.60, 31.55, 39.85
LAKE CHARLES PORT, 165076, Calcasieu Parish, 4.20, 10.12, 13.92, 22.17, 23.73, 35.15
SULPHUR, 168831, Calcasieu Parish, 5.02, 11.02, 18.10, 27.01, 28.51, 40.19
OLD TOWN BAY, 166968, Calcasieu Parish, M, M, M, M, M, 0.00
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 3.59, 11.55, 17.14, 26.79, 28.66, 38.70
PLAQUEMINE 2 N, 167366, Iberville Parish, 8.17, 17.80, 23.97, 34.23, 35.68, 48.23
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 7.75, 14.67, 22.16, 36.49, 37.98, 51.62
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 7.36, 10.62, 16.64, 26.75, 29.72, 43.15
GRAND COTEAU, 163800, Saint Landry Parish, 5.53, 11.87, 16.28, 31.60, 33.33, 45.21
PORT ALLEN, 167448, West Baton Rouge Parish, 6.12, 9.32, 14.92, 28.46, 30.56, 42.14
LIVINGSTON, 165438, Livingston Parish, 9.04, 18.05, 25.65, 41.21, 43.74, 64.08
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 8.74, 13.64, 20.87, 31.87, 34.45, 46.79
OBERLIN FIRE TOWER, 166938, Allen Parish, 1.17, 6.01, 11.01, 21.22, 24.68, 35.26
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 6.88, 11.97, 18.45, 28.88, 31.08, 45.56
VILLE PLATTE, 169369, Evangeline Parish, 2.38, 7.03, 13.44, 22.94, 28.73, 38.75
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 8.19, 12.26, 17.14, 31.36, 33.76, 52.28
ST. FRANCISVILLE, 168136, West Feliciana Parish, 7.56, 13.05, 17.58, 28.21, 29.90, 45.36
CLINTON 5 SE, 161899, East Feliciana Parish, M, M, M, 3.25, 3.25, 19.12
BEAVER FIRE TOWER, 160617, Evangeline Parish, 2.99, 7.86, 12.62, 22.67, 26.27, 35.20
BUNKIE, 161287, Avoyelles Parish, 4.25, 8.78, 14.51, 27.24, 31.86, 41.77
MARKSVILLE, 165920, Avoyelles Parish, 4.36, 9.28, 14.43, 26.72, 30.92, 43.47
LEESVILLE, 165266, Vernon Parish, 3.38, 6.79, 13.55, 30.20, 32.03, 46.44
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 5.13, 9.61, 15.55, 30.69, 33.39, 45.48
BOYCE 3 WNW, 161232, Rapides Parish, 5.79, 11.88, 19.53, 38.61, 40.63, 55.99
PEASON RIDGE RANGE, 03949, Sabine Parish, 3.04, 9.80, 12.52, 29.56, 30.88, 45.29
JONESVILLE LOCKS, 164739, Catahoula Parish, 4.36, 9.05, 17.79, 35.15, 38.86, 52.29
PLAIN DEALING, 167344, Bossier Parish, 6.74, 14.98, 21.55, 36.00, 36.00, 42.96
SPRINGHILL, 168683, Webster Parish, 2.32, 6.23, 12.85, 34.82, 36.03, 49.90
BAKER, 160462, East Baton Rouge Parish, 6.38, 16.16, 16.16, 28.54, 30.77, 43.46
VIDALIA NO 2, 169357, Concordia Parish, 6.68, 9.17, 9.17, 14.98, 20.52, 23.76
JENA, 164696, La Salle Parish, 6.42, 10.11, 15.73, 36.40, 37.77, 49.85
CARENCRO, 161535, Lafayette Parish, 4.67, 11.22, 14.92, 28.57, 29.90, 42.49
MARRERO 9 SSW, 165926, Jefferson Parish, M, M, M, 8.89, 9.84, 22.98
PONCHATOULA 4 E, 167425, Tangipahoa Parish, M, M, M, 3.63, 3.63, 3.63
LEESVILLE 6 SSW, 165287, Vernon Parish, 5.20, 7.80, 13.67, 29.88, 31.28, 48.86
ZWOLLE 2 NW, 169980, Sabine Parish, 3.32, 8.61, 18.53, 36.31, 37.72, 49.36
RED RIVER LOCK # 2, 167732, Rapides Parish, 1.97, 7.38, 10.00, 23.97, 26.70, 41.63
MANY 9 WSW, 165896, Sabine Parish, 3.03, 7.87, 16.18, 37.54, 38.62, 48.77
MOSS BLUFF, 166431, Calcasieu Parish, 5.10, 12.55, 20.58, 31.77, 33.34, 44.50
ALEXANDRIA 5 SSE, 160103, Rapides Parish, 2.43, 9.35, 16.36, 30.05, 32.24, 41.94
DRY CREEK 8NW, 162641, Beauregard Parish, 2.28, 6.47, 11.37, 22.63, 23.88, 36.79
KAPLAN, 164775, Vermilion Parish, 3.77, 9.89, 15.05, 24.70, 26.30, 37.36
SUN, 168861, Saint Tammany Parish, 7.32, 18.23, 25.18, 36.88, 39.70, 55.96
NEW ORLEANS AP, 12916, Jefferson Parish, 10.16, 18.52, 23.93, 31.12, 33.34, 48.92
NEW ORLEANS LAKEFRONT AP, 53917, Orleans Parish, 8.57, 14.62, 18.00, 25.82, 27.20, 38.03
NEW ORLEANS AUDUBON, 12930, Orleans Parish, 12.79, 20.86, 27.86, 38.94, 39.38, 51.63
CONVENT 2S, 162002, Saint James Parish, 4.80, 8.40, 12.15, 16.72, 18.67, 26.91
BELL CITY 13 SW, 160658, Cameron Parish, 4.14, 9.03, 13.59, 24.89, 29.36, 35.17
WEST MONROE, 169631, Ouachita Parish, 3.60, 7.02, 15.46, 36.11, 37.36, 51.60
JAMESTOWN, 164592, Bienville Parish, 1.48, 8.62, 18.84, 40.42, 41.61, 53.40
BENTON 5E, 160718, Bossier Parish, M, 2.12, 11.25, 32.87, 33.69, 46.14
SLIDELL AP, 53865, Saint Tammany Parish, 8.50, 12.87, 16.56, 24.23, 26.55, 38.54
NORWOOD, 166808, East Feliciana Parish, 4.09, 9.39, 15.00, 28.08, 30.07, 39.76
TALLULAH VICKSBURG REGIONAL AP, 03996, Madison Parish, 5.27, 7.53, 14.98, 39.71, 43.78, 61.01
ALEXANDRIA INTL AP, 93915, Rapides Parish, 5.36, 12.23, 18.87, 34.92, 36.88, 48.77
ALEXANDRIA, 160098, Rapides Parish, 5.41, 11.61, 18.28, 34.06, 36.99, 45.19
HOUMA 4.4 NNW, LATR0015, Terrebonne Parish, M, M, 0.00, 0.00, 0.00, 0.00
WELSH 0.7 W, LAJD0002, Jefferson Davis Parish, 4.44, 11.33, 14.63, 21.91, 27.01, 35.50
RIVER RIDGE 0.7 N, LAJF0005, Jefferson Parish, 11.78, 12.44, 12.44, 12.44, 12.44, 12.44
RUSTON 5.5 NNW, LALN0003, Lincoln Parish, 5.68, 11.39, 17.72, 43.38, 44.74, 57.55
DENHAM SPRINGS 6.8 N, LALV0002, Livingston Parish, 11.77, 20.47, 28.06, 42.44, 44.44, 58.16
SWARTZ 2.0 SSW, LAOC0001, Ouachita Parish, 4.39, 9.79, 16.62, 43.86, 45.20, 63.05
MONROE 1.9 NNW, LAOC0004, Ouachita Parish, 4.25, 8.03, 14.57, 40.11, 41.37, 58.21
MONROE 2.4 WNW, LAOC0005, Ouachita Parish, 3.76, 7.18, 14.32, 39.05, 40.26, 55.27
CALHOUN 4.3 SSE, LAOC0016, Ouachita Parish, 3.02, 8.25, 17.30, 39.92, 41.02, 54.52
NEW ORLEANS 3.6 SW, LAOR0003, Orleans Parish, 11.50, 19.17, 22.35, 29.70, 29.70, 30.03
NEW ROADS 2.7 ESE, LAPC0002, Pointe Coupee Parish, M, M, M, M, M, 2.28
GRAMERCY 0.4 NW, LASJ0002, Saint James Parish, 6.27, 13.89, 18.45, 27.27, 29.99, 45.21
GRAND COTEAU 2.7 E, LASL0001, Saint Landry Parish, 5.18, 10.49, 16.09, 29.43, 31.05, 46.25
ST. MARTINVILLE 0.2 S, LASM0002, Saint Martin Parish, 11.12, 14.99, 19.44, 29.59, 32.34, 42.48
LACOMBE 1.4 N, LAST0008, Saint Tammany Parish, 6.26, 12.11, 18.90, 27.60, 29.09, 43.37
HAMMOND 2.3 WSW, LATG0002, Tangipahoa Parish, M, M, M, M, M, 4.24
GRAY 0.5 ENE, LATR0005, Terrebonne Parish, 9.07, 17.62, 20.40, 25.85, 26.51, 42.58
ROCKY BRANCH 1.3 W, LAUN0002, Union Parish, 5.42, 9.52, 16.31, 42.84, 44.07, 62.45
KAPLAN 1.6 SSE, LAVM0002, Vermilion Parish, M, M, M, 6.82, 8.32, 16.93
PIONEER 0.3 WSW, LAWC0001, West Carroll Parish, 5.96, 8.13, 15.29, 44.29, 45.73, 69.80
FRANKLINTON 0.4 ENE, LAWS0002, Washington Parish, M, M, M, M, M, 14.06
LAKE CHARLES 4.8 SSE, LACC0014, Calcasieu Parish, 5.98, 12.94, 16.65, 27.75, 30.39, 42.67
SLIDELL 0.2 SE, LAST0010, Saint Tammany Parish, 9.70, 15.59, 20.45, 30.43, 31.39, 45.93
