Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 5.50, 6.67, 14.38, 28.04, 16.39, 30.04
SLIDELL, 168539, Saint Tammany Parish, 4.42, 9.21, 14.57, 31.95, 18.53, 33.21
SALT POINT, 12968, Saint Mary Parish, 3.32, 6.40, 14.56, 28.75, 17.49, 30.32
FRANKLIN 3 NW, 163313, Saint Mary Parish, 5.15, 6.62, 14.19, 33.61, 19.26, 34.61
HACKBERRY 8 SSW, 163979, Cameron Parish, M, M, M, 9.17, 5.25, 9.17
NAPOLEONVILLE, 166561, Assumption Parish, 8.29, 10.74, 18.30, 41.65, 24.32, 42.30
JEANERETTE 5 NW, 164674, Iberia Parish, 5.54, 8.59, 16.92, 31.81, 19.89, 32.99
ABBEVILLE, 160007, Vermilion Parish, 4.27, 7.08, 13.16, 26.36, 17.92, 27.75
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 9.11, 11.31, 17.73, 31.43, 21.26, 32.49
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.96, 7.10, 13.43, 27.23, 15.23, 28.04
BEAVER FIRE TOWER, 160617, Evangeline Parish, 5.16, 8.77, 19.66, 29.31, 22.47, 30.38
BUNKIE, 161287, Avoyelles Parish, 4.89, 12.88, 24.30, 36.56, 27.89, 37.28
MARKSVILLE, 165920, Avoyelles Parish, 2.84, 7.52, 17.26, 25.89, 20.20, 25.89
LEESVILLE, 165266, Vernon Parish, 13.04, 15.86, 25.03, 33.53, 28.03, 34.42
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 8.91, 12.08, 20.70, 30.51, 23.75, 31.20
BOYCE 3 WNW, 161232, Rapides Parish, 8.89, 11.44, 22.59, 31.47, 25.29, 32.29
PEASON RIDGE RANGE, 03949, Sabine Parish, 9.16, 10.39, 17.83, 25.99, 19.80, 27.22
JONESVILLE LOCKS, 164739, Catahoula Parish, 5.93, 11.35, 19.36, 27.24, 22.26, 27.70
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 6.20, 8.76, 15.65, 37.13, 19.89, 37.91
BAYOU SORREL LOCK, 160565, Iberville Parish, 3.57, 6.93, 10.83, 26.28, 14.64, 26.88
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 4.66, 5.81, 15.00, 27.74, 18.97, 28.42
GONZALES, 163695, Ascension Parish, 4.60, 7.70, 15.58, 30.77, 19.66, 31.50
CARVILLE 2 SW, 161565, Iberville Parish, 6.59, 10.82, 18.82, 34.66, 22.87, 34.77
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 6.10, 9.04, 16.11, 31.67, 19.45, 33.64
CROWLEY 2 NE, 162212, Acadia Parish, 5.59, 7.65, 14.24, 29.33, 17.26, 30.33
JENNINGS, 164700, Jefferson Davis Parish, 6.19, 7.72, 14.13, 28.11, 17.77, 30.03
LAKE CHARLES PORT, 165076, Calcasieu Parish, 3.54, 5.15, 14.30, 27.45, 19.18, 29.49
SULPHUR, 168831, Calcasieu Parish, 2.10, 4.42, 15.24, 22.25, 15.35, 22.40
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 3.03, 4.67, 12.86, 25.01, 17.57, 26.84
PLAQUEMINE 2 N, 167366, Iberville Parish, 6.02, 9.07, 14.08, 26.08, 17.20, 26.76
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, M, M, 6.02, 6.02, 6.02, 6.02
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 3.73, 8.76, 15.72, 28.93, 18.13, 29.47
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 8.97, 12.64, 23.46, 39.84, 29.36, 40.74
GRAND COTEAU, 163800, Saint Landry Parish, M, 0.00, 0.00, 10.55, 0.00, 11.80
PORT ALLEN, 167448, West Baton Rouge Parish, 4.20, 10.23, 18.48, 31.95, 22.02, 33.33
HAMMOND, 164034, Tangipahoa Parish, 4.15, 6.15, 6.15, 6.15, 6.15, 6.15
LIVINGSTON, 165438, Livingston Parish, 6.24, 12.14, 22.15, 36.81, 26.68, 37.70
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 5.01, 12.00, 18.61, 31.03, 20.87, 32.50
