Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 7.36, 14.88, 29.63, 67.57, 93.25, 28.58
LUTCHER, 165783, Saint James Parish, 1.52, 2.71, 4.06, 15.93, 29.50, 4.06
SLIDELL, 168539, Saint Tammany Parish, 6.60, 13.45, 22.93, 38.67, 63.34, 22.88
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 8.00, 14.20, 23.31, 48.20, 71.03, 21.21
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 10.71, 18.47, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 12.46, 17.70, 19.92, 44.41, 64.41, 19.92
GALLIANO, 163433, Lafourche Parish, 5.73, 14.20, 17.83, 49.15, 70.94, 17.83
MORGAN CITY, 166394, Saint Mary Parish, 4.87, 4.87, 4.87, 22.84, 38.74, 4.87
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 5.26, 11.70, 17.05, 50.87, 69.07, 16.54
FRANKLIN 3 NW, 163313, Saint Mary Parish, 7.40, 13.98, 18.50, 55.44, 79.93, 17.55
HACKBERRY 8 SSW, 163979, Cameron Parish, 3.51, 10.40, 14.85, 37.75, 67.82, 14.85
NAPOLEONVILLE, 166561, Assumption Parish, 6.58, 13.85, 22.55, 45.28, 74.06, 22.50
JEANERETTE 5 NW, 164674, Iberia Parish, 6.38, 12.41, 15.43, 41.31, 65.14, 15.18
ABBEVILLE, 160007, Vermilion Parish, 7.58, 15.06, 27.35, 54.30, 77.78, 27.12
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 8.04, 15.34, 20.56, 43.21, 63.10, 20.28
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 6.94, 14.11, 20.79, 37.51, 62.47, 20.77
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 10.02, 16.11, 20.13, 38.65, 66.23, 20.07
BAYOU SORREL LOCK, 160565, Iberville Parish, 4.31, 9.48, 16.95, 39.11, 64.79, 16.95
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 5.30, 10.54, 15.42, 33.42, 59.68, 14.24
GONZALES, 163695, Ascension Parish, 9.63, 16.77, 20.90, 41.16, 70.82, 20.90
CARVILLE 2 SW, 161565, Iberville Parish, 10.11, 16.03, 20.52, 45.20, 69.58, 20.26
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 6.55, 11.34, 14.62, 37.43, 51.18, 14.59
CROWLEY 2 NE, 162212, Acadia Parish, 8.93, 14.91, 21.13, 45.68, 64.40, 21.01
JENNINGS, 164700, Jefferson Davis Parish, 7.60, 12.40, 15.91, 37.68, 58.87, 15.79
LAKE CHARLES PORT, 165076, Calcasieu Parish, 9.51, 12.94, 17.62, 41.80, 69.13, 17.48
SULPHUR, 168831, Calcasieu Parish, 10.29, 16.02, 22.76, 46.58, 70.67, 21.51
OLD TOWN BAY, 166968, Calcasieu Parish, 7.88, 11.60, 16.01, 33.82, 55.27, 16.01
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 9.90, 13.81, 18.68, 34.95, 58.34, 18.56
PLAQUEMINE 2 N, 167366, Iberville Parish, 8.98, 13.40, 18.19, 37.72, 62.22, 17.68
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 4.07, 4.07, 4.07, 8.13, 16.55, 4.07
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 8.55, 12.78, 17.39, 35.46, 69.22, 17.27
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 8.22, 12.01, 15.19, 25.42, 50.78, 14.67
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 8.29, 14.74, 18.63, 39.99, 71.78, 18.63
GRAND COTEAU, 163800, Saint Landry Parish, 6.82, 14.09, 17.90, 39.36, 67.09, 17.64
PORT ALLEN, 167448, West Baton Rouge Parish, 10.76, 14.78, 17.42, 31.66, 57.85, 17.17
OPELOUSAS, 166995, Saint Landry Parish, 0.95, 7.54, 7.54, 17.56, 35.90, 7.54
LIVINGSTON, 165438, Livingston Parish, 14.19, 18.52, 22.04, 42.33, 78.67, 22.04
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 9.67, 14.93, 18.93, 33.38, 64.96, 18.80
OBERLIN FIRE TOWER, 166938, Allen Parish, 7.68, 11.34, 14.80, 30.63, 58.28, 14.80
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 8.37, 15.93, 18.40, 30.43, 54.20, 18.37
VILLE PLATTE, 169369, Evangeline Parish, 8.55, 14.67, 14.80, 31.81, 54.10, 14.67
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 10.98, 17.09, 20.06, 32.00, 68.37, 20.06
ST. FRANCISVILLE, 168136, West Feliciana Parish, 7.92, 13.24, 15.16, 29.05, 59.29, 15.09
CLINTON 5 SE, 161899, East Feliciana Parish, 3.67, 8.85, 11.54, 27.45, 57.99, 11.54
BEAVER FIRE TOWER, 160617, Evangeline Parish, 7.16, 13.21, 14.72, 33.77, 59.67, 14.51
BUNKIE, 161287, Avoyelles Parish, 7.98, 15.63, 18.69, 31.18, 60.98, 18.69
MARKSVILLE, 165920, Avoyelles Parish, 8.18, 13.87, 15.43, 31.00, 61.83, 15.43
LEESVILLE, 165266, Vernon Parish, 5.90, 11.61, 17.23, 31.31, 71.63, 17.11
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 6.93, 11.74, 14.65, 29.38, 62.51, 14.60
BOYCE 3 WNW, 161232, Rapides Parish, 7.80, 15.34, 21.12, 39.69, 81.54, 20.92
PEASON RIDGE RANGE, 03949, Sabine Parish, 7.48, 15.67, 21.20, 34.40, 67.27, 20.75
JONESVILLE LOCKS, 164739, Catahoula Parish, 8.45, 13.37, 16.44, 26.03, 57.04, 16.44
HANNA 4 SSE, 164050, Red River Parish, 9.45, 19.45, 27.43, 40.36, 71.30, 27.41
ST. JOSEPH 3 N, 168163, Tensas Parish, 9.30, 16.86, 19.58, 35.53, 65.57, 19.58
LOGANSPORT, 165522, De Soto Parish, 10.57, 20.10, 29.06, 40.98, 68.75, 29.05
MANSFIELD 4 NW, 165874, De Soto Parish, 8.54, 18.18, 27.68, 37.75, 65.38, 27.68
WINNSBORO 5 SSE, 169806, Franklin Parish, 7.04, 14.68, 21.50, 27.99, 54.29, 21.50
COLUMBIA LOCK, 161979, Caldwell Parish, 6.51, 16.83, 21.90, 36.99, 69.52, 21.90
BIENVILLE 3 NE, 160800, Bienville Parish, 12.37, 20.12, 28.88, 39.65, 73.88, 28.38
SAILES FIRE TOWER, 168094, Bienville Parish, 7.53, 16.61, 26.75, 39.66, 70.09, 26.75
KEITHVILLE, 164816, Caddo Parish, 9.73, 20.45, 29.64, 37.44, 66.95, 29.64
TALLULAH, 168923, Madison Parish, 0.00, 2.81, 3.26, 6.03, 10.79, 3.26
KORAN, 164931, Bossier Parish, 7.10, 15.20, 21.16, 24.20, 51.45, 21.16
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 9.84, 19.78, 28.07, 36.89, 65.34, 28.07
SHREVEPORT AP, 13957, Caddo Parish, 10.08, 19.67, 28.16, 39.37, 64.85, 27.11
MONROE REGIONAL AP, 13942, Ouachita Parish, 8.64, 19.23, 24.63, 37.76, 65.66, 24.55
RUSTON LA TECH, 168067, Lincoln Parish, 8.72, 17.63, 28.28, 40.24, 52.60, 27.08
MINDEN, 166244, Webster Parish, 10.98, 18.74, 25.09, 35.70, 66.42, 25.09
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 9.65, 15.79, 24.00, 40.00, 61.64, 22.95
ARCADIA, 160277, Bienville Parish, 9.49, 18.43, 28.78, 36.84, 72.35, 28.78
OAK RIDGE, 166868, Morehouse Parish, 2.70, 8.55, 15.40, 27.00, 62.32, 15.40
MOORINGSPORT 1 N, 166364, Caddo Parish, 9.49, 14.90, 21.31, 34.43, 65.70, 21.31
HOMER 1N, 164355, Claiborne Parish, 10.81, 17.14, 22.55, 32.04, 65.78, 22.55
LAKE PROVIDENCE, 165090, East Carroll Parish, 8.02, 20.00, 26.00, 38.91, 73.11, 26.00
OAK GROVE, 166866, West Carroll Parish, 8.81, 17.63, 19.44, 26.98, 63.24, 19.44
PLAIN DEALING, 167344, Bossier Parish, 7.50, 11.96, 17.67, 25.62, 51.31, 17.67
SPRINGHILL, 168683, Webster Parish, 10.78, 16.29, 23.86, 36.75, 71.12, 23.66
BAKER, 160462, East Baton Rouge Parish, 5.09, 10.56, 14.17, 33.17, 65.96, 14.17
VIDALIA NO 2, 169357, Concordia Parish, M, M, 0.00, 11.27, 31.90, M
ST MARTINVILLE 3 SW, 168181, Saint Martin Parish, M, M, M, 5.35, 23.07, M
JENA, 164696, La Salle Parish, 8.22, 14.78, 22.13, 34.11, 74.02, 22.13
BATON ROUGE CONCORD, 160548, East Baton Rouge Parish, 11.17, 15.79, 20.52, 36.44, 66.87, 20.28
SHREVEPORT DOWNTOWN, 168436, Caddo Parish, 9.85, 18.26, 27.58, 43.38, 69.70, 27.58
CARENCRO, 161535, Lafayette Parish, 8.02, 14.26, 18.52, 33.74, 58.91, 17.30
MARRERO 9 SSW, 165926, Jefferson Parish, 3.78, 11.16, 17.44, 42.97, 72.19, 17.44
RED RIVER LOCK #1, 167729, Catahoula Parish, 3.30, 4.60, 5.80, 9.30, 11.97, 5.80
PONCHATOULA 4 E, 167425, Tangipahoa Parish, 7.98, 12.40, 17.25, 33.44, 67.59, 17.21
