Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 3.85, 8.06, 13.16, 29.49, 10.02, 28.80
LUTCHER, 165783, Saint James Parish, 7.23, 9.28, 15.56, 28.20, 10.15, 28.20
SLIDELL, 168539, Saint Tammany Parish, 6.21, 11.29, 19.34, 32.93, 12.02, 31.57
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 3.52, 6.87, 13.03, 30.95, 9.17, 25.87
GRAND ISLE, 163807, Jefferson Parish, 1.95, 1.95, 1.95, 7.32, 1.95, 1.95
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 2.49, 9.44, 19.76, 33.04, 10.52, 31.70
GALLIANO, 163433, Lafourche Parish, 2.54, 10.00, 32.46, 48.07, 17.46, 47.30
MORGAN CITY, 166394, Saint Mary Parish, 8.50, 13.46, 20.31, 36.38, 16.18, 35.55
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 1.42, 5.07, 10.73, 26.03, 8.49, 25.14
FRANKLIN 3 NW, 163313, Saint Mary Parish, 10.17, 16.24, 24.94, 42.76, 19.06, 42.09
HACKBERRY 8 SSW, 163979, Cameron Parish, 2.41, 4.36, 8.66, 24.37, 6.08, 21.06
NAPOLEONVILLE, 166561, Assumption Parish, 10.16, 13.65, 20.41, 43.54, 14.99, 42.72
JEANERETTE 5 NW, 164674, Iberia Parish, 6.55, 11.69, 17.70, 38.25, 13.96, 37.84
ABBEVILLE, 160007, Vermilion Parish, 4.80, 10.19, 17.01, 37.86, 13.16, 37.20
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 3.41, 6.43, 12.28, 31.37, 7.71, 29.56
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 4.65, 10.11, 14.86, 36.30, 12.33, 35.25
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 11.75, 15.05, 24.90, 44.54, 16.53, 43.97
BAYOU SORREL LOCK, 160565, Iberville Parish, 2.28, 6.84, 13.61, 34.13, 9.53, 33.48
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 2.14, 4.13, 9.23, 21.21, 6.31, 19.49
GONZALES, 163695, Ascension Parish, 13.72, 16.89, 24.80, 49.24, 18.09, 46.63
CARVILLE 2 SW, 161565, Iberville Parish, 10.22, 15.63, 22.19, 43.86, 16.60, 43.18
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 3.54, 7.95, 14.66, 30.10, 11.13, 29.83
LAFAYETTE, 165021, Lafayette Parish, M, M, 1.90, 16.95, M, 16.95
CROWLEY 2 NE, 162212, Acadia Parish, 6.80, 9.58, 14.24, 31.76, 10.69, 31.17
JENNINGS, 164700, Jefferson Davis Parish, 4.58, 6.61, 12.12, 28.41, 7.79, 27.92
LAKE CHARLES PORT, 165076, Calcasieu Parish, 1.77, 3.49, 9.69, 26.11, 6.12, 21.22
OLD TOWN BAY, 166968, Calcasieu Parish, 4.70, 7.55, 14.97, 35.09, 11.24, 30.07
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 3.09, 5.48, 19.86, 35.02, 10.01, 30.57
PLAQUEMINE 2 N, 167366, Iberville Parish, 5.25, 11.51, 17.15, 29.98, 13.47, 29.73
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 12.15, 12.15, 12.15, 28.05, 12.15, 28.05
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 10.54, 16.79, 23.18, 45.42, 18.31, 43.32
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 7.82, 14.03, 20.85, 40.75, 15.81, 40.57
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 7.83, 12.34, 23.37, 35.59, 12.90, 34.73
GRAND COTEAU, 163800, Saint Landry Parish, 6.28, 9.82, 14.27, 31.72, 10.74, 31.13
DENHAM SPRINGS, 162350, Livingston Parish, 7.43, 9.50, 15.09, 27.99, 10.39, 27.64
PORT ALLEN, 167448, West Baton Rouge Parish, 8.31, 14.07, 20.59, 39.11, 16.11, 38.96
OPELOUSAS, 166995, Saint Landry Parish, 7.39, 11.76, 16.58, 31.89, 13.35, 30.92
LIVINGSTON, 165438, Livingston Parish, 14.86, 19.65, 26.16, 46.35, 20.96, 46.15
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 9.29, 14.94, 22.82, 45.00, 16.87, 44.86
OBERLIN FIRE TOWER, 166938, Allen Parish, 4.16, 5.89, 12.75, 26.65, 8.09, 26.48
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 6.37, 12.12, 14.59, 33.49, 12.82, 33.48
VILLE PLATTE, 169369, Evangeline Parish, 4.92, 6.04, 14.16, 33.10, 7.26, 32.62
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 9.19, 15.51, 24.14, 45.45, 16.79, 45.23
OAKNOLIA 2N, 166911, East Feliciana Parish, M, M, M, T, M, T
ST. FRANCISVILLE, 168136, West Feliciana Parish, 7.17, 12.93, 16.92, 36.83, 14.16, 36.80
CLINTON 5 SE, 161899, East Feliciana Parish, 10.03, 15.34, 20.37, 39.68, 16.86, 39.37
BEAVER FIRE TOWER, 160617, Evangeline Parish, 4.36, 5.86, 14.13, 32.78, 8.50, 31.99
OAKDALE, 166836, Allen Parish, 2.95, 2.95, 2.95, 2.95, 2.95, 2.95
DE RIDDER, 162367, Beauregard Parish, 6.39, 7.84, 15.84, 40.25, 10.95, 38.30
BUNKIE, 161287, Avoyelles Parish, 5.38, 6.38, 16.78, 36.21, 8.78, 34.81
MARKSVILLE, 165920, Avoyelles Parish, 7.13, 9.08, 17.56, 37.01, 11.42, 35.64
LEESVILLE, 165266, Vernon Parish, 11.79, 14.97, 21.27, 44.44, 16.36, 43.70
LSU DEAN LEE RES. STA., 165630, Rapides Parish, M, M, 1.73, 25.12, M, 24.05
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 11.52, 12.25, 18.31, 39.15, 13.15, 38.84
BOYCE 3 WNW, 161232, Rapides Parish, 10.48, 12.94, 22.25, 48.70, 15.67, 46.51
PEASON RIDGE RANGE, 03949, Sabine Parish, 1.80, 3.36, 6.60, 25.51, 3.66, 25.46
JONESVILLE LOCKS, 164739, Catahoula Parish, 6.10, 8.50, 13.84, 32.85, 9.95, 32.66
ST. JOSEPH 3 N, 168163, Tensas Parish, 8.50, 11.70, 16.54, 35.98, 12.76, 35.92
LOGANSPORT, 165522, De Soto Parish, 14.38, 16.52, 27.73, 48.87, 20.55, 48.13
WINNSBORO 5 SSE, 169806, Franklin Parish, 10.07, 12.72, 19.08, 37.28, 13.97, 37.11
COLUMBIA LOCK, 161979, Caldwell Parish, 9.95, 15.41, 20.36, 35.61, 16.86, 35.51
BIENVILLE 3 NE, 160800, Bienville Parish, 16.52, 19.56, 27.59, 44.72, 20.51, 44.71
