Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
CLINTON 5 SE, 161899, East Feliciana Parish, M, M, M, 1.38, 3.25, 19.12
BEAVER FIRE TOWER, 160617, Evangeline Parish, 4.96, 7.80, 12.73, 22.16, 28.55, 37.48
BUNKIE, 161287, Avoyelles Parish, 5.68, 8.82, 16.55, 28.01, 34.88, 44.79
MARKSVILLE, 165920, Avoyelles Parish, 4.35, 7.01, 15.50, 26.60, 32.70, 45.25
LEESVILLE, 165266, Vernon Parish, 5.03, 7.99, 13.89, 29.28, 34.36, 48.77
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 5.67, 9.66, 17.25, 29.70, 35.94, 48.03
BOYCE 3 WNW, 161232, Rapides Parish, 10.79, 15.17, 24.86, 41.03, 47.36, 62.72
PEASON RIDGE RANGE, 03949, Sabine Parish, 3.21, 9.57, 13.55, 28.57, 33.12, 47.53
JONESVILLE LOCKS, 164739, Catahoula Parish, 4.09, 7.87, 19.04, 33.03, 41.33, 54.76
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 6.30, 7.80, 15.27, 23.39, 26.82, 34.27
LUTCHER, 165783, Saint James Parish, M, M, M, 0.00, 0.00, 0.21
SLIDELL, 168539, Saint Tammany Parish, 8.76, 15.71, 21.41, 30.07, 33.26, 47.50
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, M, M, M, 2.37, 2.47, 4.47
SALT POINT, 12968, Saint Mary Parish, 3.49, 6.04, 16.57, 25.00, 28.88, 35.58
BOOTHVILLE ASOS, 12884, Plaquemines Parish, M, M, M, M, M, 9.67
GALLIANO, 163433, Lafourche Parish, 3.75, 6.74, 12.23, 18.63, 21.20, 35.71
MORGAN CITY, 166394, Saint Mary Parish, 5.54, 10.15, 17.81, 24.31, 27.24, 39.22
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 8.97, 11.94, 17.54, 23.70, 26.65, 33.27
FRANKLIN 3 NW, 163313, Saint Mary Parish, 5.71, 10.09, 16.10, 23.83, 28.51, 41.27
HACKBERRY 8 SSW, 163979, Cameron Parish, 0.32, 2.30, 11.26, 18.88, 21.89, 29.50
NAPOLEONVILLE, 166561, Assumption Parish, 6.49, 11.96, 19.40, 25.59, 31.14, 44.61
JEANERETTE 5 NW, 164674, Iberia Parish, 6.59, 8.47, 18.49, 26.37, 30.43, 41.11
ABBEVILLE, 160007, Vermilion Parish, 6.42, 13.01, 20.94, 30.54, 33.66, 45.73
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 4.43, 8.62, 17.20, 25.05, 29.01, 37.04
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.34, 7.79, 14.54, 23.36, 27.99, 36.18
HANNA 4 SSE, 164050, Red River Parish, 8.34, 12.88, 23.54, 45.66, 49.65, 62.73
ST. JOSEPH 3 N, 168163, Tensas Parish, 2.44, 5.26, 13.37, 30.53, 38.97, 52.19
LOGANSPORT, 165522, De Soto Parish, 7.74, 13.16, 24.61, 40.94, 44.89, 54.27
MANSFIELD 4 NW, 165874, De Soto Parish, 4.61, 5.68, 20.21, 35.13, 37.46, 43.65
WINNSBORO 5 SSE, 169806, Franklin Parish, 4.13, 7.45, 16.51, 20.15, 26.77, 41.46
COLUMBIA LOCK, 161979, Caldwell Parish, 9.86, 14.63, 25.26, 47.17, 56.85, 76.95
BIENVILLE 3 NE, 160800, Bienville Parish, 3.52, 9.94, 22.96, 44.45, 50.20, 62.83
SAILES FIRE TOWER, 168094, Bienville Parish, 4.78, 9.76, 18.94, 30.09, 34.61, 44.97
KEITHVILLE, 164816, Caddo Parish, 6.41, 11.36, 18.59, 35.32, 40.68, 50.06
TALLULAH, 168923, Madison Parish, 3.30, 7.02, 7.02, 9.90, 9.90, 9.92
KORAN, 164931, Bossier Parish, 3.79, 8.23, 16.48, 35.54, 42.32, 49.21
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 3.84, 8.46, 15.98, 35.73, 41.75, 50.58
SHREVEPORT AP, 13957, Caddo Parish, 7.46, 11.38, 20.25, 36.49, 42.01, 51.13
MONROE REGIONAL AP, 13942, Ouachita Parish, 3.35, 8.19, 17.02, 35.57, 43.37, 59.10
RUSTON LA TECH, 168067, Lincoln Parish, M, M, M, 13.91, 17.84, 29.78
MINDEN, 166244, Webster Parish, 5.04, 10.04, 16.54, 39.13, 46.07, 57.50
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 8.68, 12.79, 20.80, 37.69, 43.85, 53.42
ARCADIA, 160277, Bienville Parish, 2.74, 9.51, 16.25, 35.67, 40.62, 53.08
OAK RIDGE, 166868, Morehouse Parish, 3.98, 5.48, 12.84, 29.16, 36.86, 54.58
MOORINGSPORT 1 N, 166364, Caddo Parish, 8.00, 14.95, 20.83, 37.77, 41.18, 52.17
HOMER 1N, 164355, Claiborne Parish, 4.90, 11.96, 18.10, 40.36, 45.59, 57.36
OAK GROVE, 166866, West Carroll Parish, 9.68, 15.64, 20.23, 45.86, 53.13, 75.18
HOUMA 4.4 NNW, LATR0015, Terrebonne Parish, M, M, M, 0.00, 0.00, 0.00
PORT VINCENT 4.4 W, LAAS0002, Ascension Parish, M, 0.70, 13.46, 14.40, 14.40, 14.40
GONZALES 4.0 S, LAAS0005, Ascension Parish, 7.76, 13.37, 23.62, 33.94, 38.82, 49.99
BUNKIE 0.3 WSW, LAAV0001, Avoyelles Parish, 4.26, 7.45, 15.02, 25.13, 31.80, 40.65
BOSSIER CITY 6.7 NNW, LABS0001, Bossier Parish, 5.83, 9.91, 18.24, 37.36, 42.70, 54.16
BOSSIER CITY 7.9 NNW, LABS0003, Bossier Parish, 3.50, 4.58, 10.42, 17.24, 17.24, 24.16
IOWA 0.9 ESE, LACC0003, Calcasieu Parish, 3.99, 11.10, 19.19, 25.89, 32.00, 39.92
SULPHUR 2.2 E, LACC0006, Calcasieu Parish, 3.86, 8.57, 17.39, 26.79, 29.52, 40.51
IOWA 9.7 NNW, LACC0009, Calcasieu Parish, M, M, 3.63, 14.14, 18.65, 32.27
SHREVEPORT 6.2 S, LACD0001, Caddo Parish, 8.52, 13.72, 20.61, 39.80, 47.62, 55.57
SICILY ISLAND 3.3 WNW, LACT0001, Catahoula Parish, 4.81, 9.44, 17.63, 32.24, 42.40, 58.98
BATON ROUGE 2.7 SW, LAEB0002, East Baton Rouge Parish, 11.50, 18.00, 28.39, 42.06, 46.67, 56.52
BROWNFIELDS 5.8 NE, LAEB0009, East Baton Rouge Parish, 7.72, 14.87, 20.32, 28.99, 32.20, 43.89
BATON ROUGE 3.5 E, LAEB0014, East Baton Rouge Parish, 11.25, 17.66, 29.64, 42.46, 47.29, 61.88
MONTICELLO 3.0 ENE, LAEB0019, East Baton Rouge Parish, 10.86, 16.81, 27.33, 40.78, 45.02, 60.41
SHENANDOAH 1.5 E, LAEB0022, East Baton Rouge Parish, 10.53, 17.28, 27.77, 36.61, 40.60, 56.54
BROWNFIELDS 4.0 E, LAEB0023, East Baton Rouge Parish, 10.03, 16.26, 26.42, 40.65, 45.02, 59.97
BATON ROUGE 2.5 E, LAEB0027, East Baton Rouge Parish, 9.42, 15.32, 25.59, 37.97, 42.63, 56.63
CENTRAL 2.2 SE, LAEB0031, East Baton Rouge Parish, 9.33, 15.19, 25.87, 37.48, 42.26, 55.22
LSU, LAEB0033, East Baton Rouge Parish, 0.77, 0.77, 0.77, 12.50, 15.81, 32.50
CLINTON 1.4 S, LAEF0001, East Feliciana Parish, M, M, 0.00, 0.00, 0.64, 11.18
WINNSBORO 5.3 NNE, LAFP0003, Franklin Parish, M, 1.95, 11.15, 35.85, 41.15, 53.63
WELSH 0.7 W, LAJD0002, Jefferson Davis Parish, 1.92, 7.52, 14.89, 22.20, 28.02, 36.51
RIVER RIDGE 0.7 N, LAJF0005, Jefferson Parish, 8.21, 15.15, 15.15, 15.15, 15.15, 15.15
RUSTON 5.5 NNW, LALN0003, Lincoln Parish, 5.28, 11.21, 17.70, 40.97, 46.64, 59.45
DENHAM SPRINGS 6.8 N, LALV0002, Livingston Parish, 10.94, 18.56, 30.97, 43.31, 48.11, 61.83
SWARTZ 2.0 SSW, LAOC0001, Ouachita Parish, 3.02, 8.71, 17.18, 39.23, 47.30, 65.15
MONROE 1.9 NNW, LAOC0004, Ouachita Parish, 3.04, 7.37, 14.70, 35.31, 42.90, 59.74
MONROE 2.4 WNW, LAOC0005, Ouachita Parish, 2.31, 6.17, 14.19, 34.86, 41.53, 56.54
CALHOUN 4.3 SSE, LAOC0016, Ouachita Parish, 2.22, 7.35, 17.40, 36.14, 42.39, 55.89
NEW ORLEANS 3.6 SW, LAOR0003, Orleans Parish, 7.99, 17.79, 25.85, 33.33, 33.33, 33.66
NEW ROADS 2.7 ESE, LAPC0002, Pointe Coupee Parish, M, M, M, M, M, 2.28
GRAMERCY 0.4 NW, LASJ0002, Saint James Parish, 8.80, 12.75, 23.54, 29.38, 35.37, 50.59
GRAND COTEAU 2.7 E, LASL0001, Saint Landry Parish, 3.92, 8.66, 15.03, 28.23, 31.82, 47.02
ST. MARTINVILLE 0.2 S, LASM0002, Saint Martin Parish, 9.50, 13.63, 20.04, 28.73, 33.74, 43.88
LACOMBE 1.4 N, LAST0008, Saint Tammany Parish, 5.96, 13.29, 21.85, 29.35, 32.89, 47.17
HAMMOND 2.3 WSW, LATG0002, Tangipahoa Parish, M, M, M, M, M, 4.24
GRAY 0.5 ENE, LATR0005, Terrebonne Parish, 4.95, 9.94, 20.35, 23.88, 26.51, 42.58
ROCKY BRANCH 1.3 W, LAUN0002, Union Parish, 3.95, 9.53, 15.54, 38.55, 45.38, 63.76
KAPLAN 1.6 SSE, LAVM0002, Vermilion Parish, M, M, M, 5.28, 8.32, 16.93
PIONEER 0.3 WSW, LAWC0001, West Carroll Parish, 5.38, 9.97, 16.47, 40.46, 48.77, 72.84
FRANKLINTON 0.4 ENE, LAWS0002, Washington Parish, M, M, M, M, M, 14.06
LAKE CHARLES 4.8 SSE, LACC0014, Calcasieu Parish, 5.63, 12.16, 19.14, 29.21, 33.67, 45.95
SLIDELL 0.2 SE, LAST0010, Saint Tammany Parish, 10.49, 19.10, 24.90, 33.75, 37.16, 51.70
WAKEFIELD 0.9 WNW, LAWF0004, West Feliciana Parish, 7.08, 14.06, 21.51, 30.14, 32.84, 49.21
MINDEN 2.2 NE, LAWR0004, Webster Parish, 5.69, 10.82, 16.79, 38.95, 45.84, 57.95
COUSHATTA 1.4 NE, LARR0001, Red River Parish, 6.85, 9.64, 19.90, 40.66, 43.37, 57.10
NATCHITOCHES 4.8 WNW, LANT0003, Natchitoches Parish, 9.97, 16.11, 25.85, 48.68, 50.04, 58.04
MANDEVILLE 3.1 NNW, LAST0012, Saint Tammany Parish, M, M, M, 0.00, 0.00, 0.00
LAKE CHARLES 11.5 SSW, LACM0003, Cameron Parish, 6.46, 14.89, 21.97, 29.82, 33.84, 42.23
PLEASANT HILL 10.2 SE, LASN0003, Sabine Parish, 7.17, 21.26, 31.85, 54.81, 59.76, 71.72
PONCHATOULA 4.9 E, LATG0010, Tangipahoa Parish, 5.86, 13.55, 28.71, 37.07, 40.86, 66.70
BATON ROUGE 3.0 SSE, LAEB0053, East Baton Rouge Parish, 10.40, 15.28, 27.96, 39.73, 44.25, 57.98
COLUMBIA 4.1 NNW, LACW0003, Caldwell Parish, 9.43, 14.69, 25.91, 47.24, 54.61, 75.41
BATON ROUGE 6.2 ESE, LAEB0054, East Baton Rouge Parish, 8.40, 13.22, 23.61, 34.06, 37.57, 51.53
NEW ORLEANS 2.1 ENE, LAOR0006, Orleans Parish, 6.50, 18.22, 25.47, 34.83, 37.84, 50.33
PLAIN DEALING, 167344, Bossier Parish, 9.58, 15.52, 22.31, 39.79, 39.79, 46.75
SPRINGHILL, 168683, Webster Parish, 4.49, 7.64, 12.57, 34.41, 39.12, 52.99
BAKER, 160462, East Baton Rouge Parish, 8.68, 21.65, 21.65, 31.88, 36.26, 48.95
VIDALIA NO 2, 169357, Concordia Parish, 4.95, 11.54, 12.75, 14.28, 24.10, 27.34
JENA, 164696, La Salle Parish, 5.65, 8.72, 16.41, 31.88, 39.26, 51.34
CARENCRO, 161535, Lafayette Parish, 5.50, 9.42, 15.82, 29.47, 32.20, 44.79
MARRERO 9 SSW, 165926, Jefferson Parish, M, M, M, 7.08, 9.84, 22.98
PONCHATOULA 4 E, 167425, Tangipahoa Parish, M, M, M, 3.63, 3.63, 3.63
LEESVILLE 6 SSW, 165287, Vernon Parish, 4.93, 8.98, 13.29, 29.14, 33.63, 51.21
ZWOLLE 2 NW, 169980, Sabine Parish, 6.32, 10.59, 20.24, 37.11, 41.48, 53.12
RED RIVER LOCK # 2, 167732, Rapides Parish, 4.21, 8.42, 12.93, 24.30, 29.84, 44.77
