Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 3.18, 9.93, 10.50, 21.07, 39.45, 10.50
SLIDELL, 168539, Saint Tammany Parish, 4.53, 9.71, 10.91, 30.61, 54.34, 10.91
SALT POINT, 12968, Saint Mary Parish, 4.55, 10.05, 10.89, 20.93, 35.88, 10.89
FRANKLIN 3 NW, 163313, Saint Mary Parish, 4.77, 13.08, 13.44, 34.34, 55.77, 13.44
HACKBERRY 8 SSW, 163979, Cameron Parish, 0.93, 2.29, 3.50, 16.65, 16.65, 3.50
NAPOLEONVILLE, 166561, Assumption Parish, 4.43, 11.31, 12.54, 26.32, 51.86, 12.54
JEANERETTE 5 NW, 164674, Iberia Parish, 4.33, 13.12, 13.76, 27.81, 51.19, 13.76
ABBEVILLE, 160007, Vermilion Parish, 2.61, 9.55, 10.54, 26.14, 45.78, 10.54
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 3.98, 12.73, 14.08, 30.83, 44.79, 14.08
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 3.94, 13.13, 13.21, 30.17, 50.90, 13.21
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 3.89, 13.32, 14.09, 29.53, 59.73, 14.09
BAYOU SORREL LOCK, 160565, Iberville Parish, 5.29, 8.24, 8.82, 22.89, 39.79, 8.82
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 9.25, 16.07, 17.52, 28.44, 44.01, 17.52
GONZALES, 163695, Ascension Parish, 6.33, 14.42, 14.99, 31.17, 57.81, 14.99
CARVILLE 2 SW, 161565, Iberville Parish, 9.50, 18.02, 18.60, 34.20, 65.52, 18.60
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 6.01, 12.26, 12.69, 36.62, 56.00, 12.69
CROWLEY 2 NE, 162212, Acadia Parish, 6.04, 13.83, 14.69, 28.26, 47.79, 14.69
JENNINGS, 164700, Jefferson Davis Parish, 5.38, 13.89, 15.08, 28.18, 47.02, 15.08
LAKE CHARLES PORT, 165076, Calcasieu Parish, 8.78, 16.80, 18.24, 34.96, 53.79, 18.24
SULPHUR, 168831, Calcasieu Parish, 4.84, 13.01, 15.82, 33.56, 51.87, 15.82
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 10.05, 17.51, 19.25, 36.35, 52.08, 19.25
PLAQUEMINE 2 N, 167366, Iberville Parish, 4.46, 12.84, 12.90, 38.38, 61.49, 12.90
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, M, 4.46, 4.46, 8.60, 10.75, 4.46
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 6.21, 14.40, 14.68, 34.50, 59.82, 14.68
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 7.46, 16.61, 18.47, 39.27, 67.72, 18.47
GRAND COTEAU, 163800, Saint Landry Parish, 1.02, 10.46, 11.56, 23.99, 42.32, 11.56
PORT ALLEN, 167448, West Baton Rouge Parish, 5.11, 12.94, 13.01, 32.61, 51.96, 13.01
LIVINGSTON, 165438, Livingston Parish, 5.28, 15.61, 16.18, 42.29, 72.46, 16.18
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 7.25, 17.36, 17.74, 37.85, 56.61, 17.74
OBERLIN FIRE TOWER, 166938, Allen Parish, 12.66, 22.12, 23.15, 33.14, 53.87, 23.15
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 7.57, 10.89, 13.22, 28.10, 51.47, 13.22
VILLE PLATTE, 169369, Evangeline Parish, 17.00, 23.60, 25.12, 37.95, 59.90, 25.12
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 7.48, 18.10, 18.66, 36.60, 67.52, 18.66
ST. FRANCISVILLE, 168136, West Feliciana Parish, 7.01, 14.27, 16.25, 33.08, 58.26, 16.25
BEAVER FIRE TOWER, 160617, Evangeline Parish, 10.36, 21.89, 22.52, 40.60, 64.05, 22.52
BUNKIE, 161287, Avoyelles Parish, 10.22, 17.79, 18.13, 36.06, 64.10, 18.13
MARKSVILLE, 165920, Avoyelles Parish, 7.83, 18.13, 18.61, 29.42, 56.37, 18.61
LEESVILLE, 165266, Vernon Parish, 9.20, 15.17, 17.73, 31.21, 51.79, 17.73
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 9.43, 15.52, 16.94, 33.18, 59.66, 16.94
BOYCE 3 WNW, 161232, Rapides Parish, 8.98, 14.14, 14.56, 31.56, 59.29, 14.56
PEASON RIDGE RANGE, 03949, Sabine Parish, 9.67, 15.46, 17.08, 27.14, 47.61, 17.08
