Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 2.10, 6.31, 11.41, 27.74, 8.27, 27.05
LUTCHER, 165783, Saint James Parish, 3.27, 5.32, 11.60, 24.24, 6.19, 24.24
SLIDELL, 168539, Saint Tammany Parish, 2.91, 7.99, 16.04, 29.63, 8.72, 28.27
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 3.03, 6.38, 12.54, 30.46, 8.68, 25.38
GRAND ISLE, 163807, Jefferson Parish, M, M, M, 5.37, M, 0.00
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 0.66, 7.61, 17.93, 31.21, 8.69, 29.87
GALLIANO, 163433, Lafourche Parish, 1.33, 8.80, 31.26, 46.86, 16.25, 46.09
MORGAN CITY, 166394, Saint Mary Parish, 3.02, 7.98, 14.83, 30.90, 10.70, 30.07
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 1.42, 5.07, 10.74, 26.03, 8.49, 25.14
FRANKLIN 3 NW, 163313, Saint Mary Parish, 8.98, 15.05, 23.75, 41.57, 17.87, 40.90
HACKBERRY 8 SSW, 163979, Cameron Parish, 1.80, 3.75, 8.05, 23.76, 5.47, 20.45
NAPOLEONVILLE, 166561, Assumption Parish, 3.36, 6.85, 13.61, 36.74, 8.19, 35.92
JEANERETTE 5 NW, 164674, Iberia Parish, 3.05, 8.19, 14.25, 34.75, 10.46, 34.34
ABBEVILLE, 160007, Vermilion Parish, 3.08, 8.47, 15.29, 36.14, 11.44, 35.48
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 1.65, 4.67, 10.52, 29.61, 5.95, 27.80
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 3.68, 9.14, 13.89, 35.33, 11.36, 34.28
CLINTON 5 SE, 161899, East Feliciana Parish, 4.03, 10.20, 14.37, 33.68, 10.86, 33.37
BEAVER FIRE TOWER, 160617, Evangeline Parish, 3.50, 5.00, 13.27, 31.92, 7.64, 31.13
OAKDALE, 166836, Allen Parish, 1.98, 1.98, 1.98, 1.98, 1.98, 1.98
DE RIDDER, 162367, Beauregard Parish, 5.85, 7.30, 15.30, 39.71, 10.41, 37.76
BUNKIE, 161287, Avoyelles Parish, 3.38, 4.38, 14.78, 34.21, 6.78, 32.81
MARKSVILLE, 165920, Avoyelles Parish, 4.45, 6.40, 14.88, 34.33, 8.74, 32.96
LEESVILLE, 165266, Vernon Parish, 10.88, 14.06, 20.36, 43.53, 15.45, 42.79
LSU DEAN LEE RES. STA., 165630, Rapides Parish, M, M, 1.73, 25.12, M, 24.05
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 10.02, 10.75, 16.81, 37.65, 11.65, 37.34
BOYCE 3 WNW, 161232, Rapides Parish, 9.92, 12.38, 21.69, 48.14, 15.11, 45.95
PEASON RIDGE RANGE, 03949, Sabine Parish, 1.73, 3.29, 6.53, 25.44, 3.59, 25.39
JONESVILLE LOCKS, 164739, Catahoula Parish, 3.84, 6.24, 11.58, 30.59, 7.69, 30.40
ST. JOSEPH 3 N, 168163, Tensas Parish, 4.90, 8.10, 12.94, 32.38, 9.16, 32.32
LOGANSPORT, 165522, De Soto Parish, 13.73, 15.87, 27.08, 48.22, 19.90, 47.48
WINNSBORO 5 SSE, 169806, Franklin Parish, 6.81, 9.46, 15.82, 34.02, 10.71, 33.85
COLUMBIA LOCK, 161979, Caldwell Parish, 7.45, 12.91, 17.86, 33.11, 14.36, 33.01
BIENVILLE 3 NE, 160800, Bienville Parish, 15.87, 18.91, 26.94, 44.07, 19.86, 44.06
SAILES FIRE TOWER, 168094, Bienville Parish, 18.58, 19.90, 27.88, 45.38, 22.12, 45.06
KEITHVILLE, 164816, Caddo Parish, 13.79, 15.26, 20.85, 39.73, 16.96, 39.73
TALLULAH, 168923, Madison Parish, 6.13, 11.03, 16.22, 33.29, 12.08, 32.89
KORAN, 164931, Bossier Parish, 17.41, 18.17, 23.80, 41.08, 18.66, 40.87
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 18.07, 19.33, 27.04, 45.06, 20.97, 45.06
SHREVEPORT AP, 13957, Caddo Parish, 13.58, 14.95, 19.34, 36.79, 16.45, 36.78
MONROE REGIONAL AP, 13942, Ouachita Parish, 21.51, 24.97, 32.83, 48.14, 26.45, 48.05
MONROE DELTA CC, 166314, Ouachita Parish, 20.32, 23.76, 32.01, 48.08, 25.38, 47.92
CALHOUN 2 N, 161411, Ouachita Parish, 20.17, 23.10, 29.45, 46.32, 24.77, 46.32
RUSTON LA TECH, 168067, Lincoln Parish, 19.12, 20.91, 29.67, 45.67, 22.76, 45.57
MINDEN, 166244, Webster Parish, 19.63, 21.46, 30.32, 47.04, 23.66, 47.04
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 14.37, 15.86, 20.35, 37.46, 17.14, 37.18
ARCADIA, 160277, Bienville Parish, 15.59, 18.43, 25.40, 42.68, 20.22, 42.63
OAK RIDGE, 166868, Morehouse Parish, 22.49, 26.59, 35.63, 49.21, 28.14, 48.91
MOORINGSPORT 1 N, 166364, Caddo Parish, 13.85, 15.50, 21.84, 40.22, 16.57, 40.18
FARMERVILLE, 163079, Union Parish, 15.43, 19.15, 24.95, 41.76, 20.91, 41.76
HOMER 1N, 164355, Claiborne Parish, 17.34, 19.19, 28.83, 45.08, 21.13, 45.08
LAKE PROVIDENCE, 165090, East Carroll Parish, 11.22, 15.51, 19.82, 39.68, 16.15, 39.58
OAK GROVE, 166866, West Carroll Parish, 2.87, 6.24, 13.70, 29.65, 7.35, 29.58
HAMMOND MUNICIPAL AIRPORT, 03908, Tangipahoa Parish, M, M, M, 0.00, M, 0.00
PORT VINCENT 4.4 W, LAAS0002, Ascension Parish, 4.96, 8.76, 14.77, 29.25, 10.19, 28.99
GONZALES 0.8 E, LAAS0003, Ascension Parish, 0.56, 0.56, 4.45, 6.97, 1.08, 6.97
GONZALES 4.0 S, LAAS0005, Ascension Parish, 10.22, 13.91, 23.73, 44.33, 15.08, 43.25
BUNKIE 0.3 WSW, LAAV0001, Avoyelles Parish, 3.43, 5.13, 12.77, 31.70, 6.95, 30.32
BOSSIER CITY 6.7 NNW, LABS0001, Bossier Parish, 14.84, 16.54, 22.07, 40.95, 17.90, 40.95
BIENVILLE 0.5 S, LABV0001, Bienville Parish, 17.61, 19.82, 27.63, 45.25, 21.89, 44.75
IOWA 0.9 ESE, LACC0003, Calcasieu Parish, 2.08, 4.84, 10.73, 23.10, 7.54, 21.55
WESTLAKE 0.7 WNW, LACC0005, Calcasieu Parish, M, M, 6.70, 22.85, 3.00, 18.06
SULPHUR 2.2 E, LACC0006, Calcasieu Parish, 2.34, 4.84, 11.29, 27.71, 7.35, 23.33
IOWA 9.7 NNW, LACC0009, Calcasieu Parish, 3.42, 6.02, 12.93, 30.81, 9.02, 26.75
SHREVEPORT 6.2 S, LACD0001, Caddo Parish, 1.90, 3.18, 9.11, 27.97, 4.98, 27.97
FERRIDAY 1.1 NNW, LACN0002, Concordia Parish, M, 2.80, 8.98, 30.49, 4.17, 29.87
SICILY ISLAND 3.3 WNW, LACT0001, Catahoula Parish, 2.03, 4.11, 10.78, 34.46, 5.74, 34.44
BATON ROUGE 2.7 SW, LAEB0002, East Baton Rouge Parish, 3.31, 9.43, 15.84, 38.07, 11.24, 37.65
GARDERE 1.2 ENE, LAEB0005, East Baton Rouge Parish, 2.93, 9.66, 16.17, 31.78, 11.46, 31.31
BROWNFIELDS 5.8 NE, LAEB0009, East Baton Rouge Parish, 3.01, 6.75, 11.46, 17.52, 7.46, 17.33
BATON ROUGE 3.5 E, LAEB0014, East Baton Rouge Parish, 2.04, 8.01, 14.23, 35.23, 9.39, 33.79
MONTICELLO 3.0 ENE, LAEB0019, East Baton Rouge Parish, 3.16, 8.79, 16.77, 39.28, 10.51, 38.70
SHENANDOAH 1.5 E, LAEB0022, East Baton Rouge Parish, 5.04, 10.60, 18.82, 38.95, 12.39, 38.33
BROWNFIELDS 4.0 E, LAEB0023, East Baton Rouge Parish, 2.43, 8.60, 16.71, 36.67, 10.54, 36.52
BATON ROUGE 2.5 E, LAEB0027, East Baton Rouge Parish, 3.42, 9.63, 16.49, 39.13, 11.15, 37.84
CENTRAL 2.2 SE, LAEB0031, East Baton Rouge Parish, 2.67, 8.26, 15.98, 35.39, 9.90, 35.00
LSU, LAEB0033, East Baton Rouge Parish, 3.38, 9.27, 16.26, 38.70, 11.01, 38.17
BATON ROUGE 4.3 S, LAEB0041, East Baton Rouge Parish, 2.23, 8.78, 15.98, 37.34, 10.66, 36.45
INNISWOLD 2.8 S, LAEB0042, East Baton Rouge Parish, 4.47, 11.79, 18.14, 39.39, 13.49, 38.95
WINNSBORO 5.3 NNE, LAFP0003, Franklin Parish, 10.43, 16.72, 23.92, 43.96, 18.27, 43.96
BLANCHARD, 160861, Caddo Parish, 2.55, 3.97, 11.01, 30.84, 5.30, 30.61
SHREVEPORT 3.2 ESE, LACD0014, Caddo Parish, 15.57, 16.86, 20.21, 24.83, 17.47, 24.83
RAGLEY 5.0 SE, LABG0002, Beauregard Parish, 3.17, 5.26, 12.35, 27.87, 7.16, 25.58
BOSSIER CITY 8.2 NNW, LABS0016, Bossier Parish, 14.24, 15.80, 20.70, 39.64, 17.18, 39.52
SHREVEPORT 6.7 S, LACD0019, Caddo Parish, 14.72, 15.94, 21.41, 39.17, 17.58, 39.17
ST. BERNARD 2.7 E, LASB0002, Saint Bernard Parish, 0.89, 6.84, 19.27, 37.03, 8.56, 31.80
PONCHATOULA 0.7 SW, LATG0012, Tangipahoa Parish, 5.33, 9.81, 18.97, 40.22, 10.98, 39.89
CHAUVIN 4.9 N, LATR0009, Terrebonne Parish, 0.00, 0.00, 0.00, 13.00, 0.00, 13.00
CHAUVIN 1.0 SSW, LATR0010, Terrebonne Parish, 1.22, 7.37, 20.08, 36.39, 10.55, 34.00
JACKSON 10.1 SSW, LAEB0056, East Baton Rouge Parish, 3.29, 9.91, 15.69, 24.87, 11.18, 24.87
CHALMETTE, 166130, Saint Bernard Parish, 1.39, 7.22, 18.19, 29.11, 8.64, 29.11
BOSSIER CITY 2.4 WNW, LABS0017, Bossier Parish, 16.89, 18.92, 25.67, 45.80, 20.44, 45.72
DE QUINCY 4.4 SSE, LACC0016, Calcasieu Parish, 3.00, 5.03, 11.82, 17.28, 7.11, 17.28
MONROE 2.5 NNW, LAOC0019, Ouachita Parish, 17.50, 17.50, 17.50, 17.50, 17.50, 17.50
MONROE 5.5 ENE, LAOC0023, Ouachita Parish, 19.80, 23.56, 31.78, 35.68, 25.11, 35.68
MADISONVILLE 3.2 NNW, LAST0015, Saint Tammany Parish, 5.40, 9.28, 16.56, 16.77, 9.88, 16.77
HOUMA 6.5 WNW, LATR0007, Terrebonne Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
CHAUVIN, 161705, Terrebonne Parish, 1.35, 4.19, 14.82, 31.23, 7.61, 29.39
COCODRIE 6 N, 161930, Terrebonne Parish, 1.18, 8.57, 20.85, 37.97, 11.17, 32.23
DULAC 3N, 162673, Terrebonne Parish, 1.46, 7.09, 13.01, 27.68, 8.34, 27.68
Monroe Area, MLUthr, -, 21.51, 24.97, 32.83, 48.14, 26.45, 48.05
METAIRIE 3.5 NW, LAJF0009, Jefferson Parish, 2.44, 6.82, 14.19, 14.19, 8.21, 14.19
BLANCHARD 2.8 NNE, LACD0026, Caddo Parish, M, M, M, 0.64, M, 0.64
Natchitoches Area, ICHL1thr, -, 18.53, 20.64, 27.85, 44.50, 22.33, 44.50
Tallulah-Vicksburg Area, TVRthr, -, 8.65, 13.53, 19.92, 37.51, 14.63, 37.17
