Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 11.86, 15.16, 25.01, 44.65, 16.64, 44.08
BAYOU SORREL LOCK, 160565, Iberville Parish, 3.28, 7.84, 14.61, 35.13, 10.53, 34.48
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 2.14, 4.13, 8.05, 21.21, 6.31, 19.49
GONZALES, 163695, Ascension Parish, 14.22, 17.39, 25.30, 49.74, 18.59, 47.13
CARVILLE 2 SW, 161565, Iberville Parish, 10.69, 16.10, 21.91, 44.33, 17.07, 43.65
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 5.51, 9.92, 15.94, 32.07, 13.10, 31.80
LAFAYETTE, 165021, Lafayette Parish, M, M, 1.20, 16.95, M, 16.95
CROWLEY 2 NE, 162212, Acadia Parish, 6.80, 9.58, 14.24, 31.76, 10.69, 31.17
JENNINGS, 164700, Jefferson Davis Parish, 4.61, 6.64, 12.15, 28.44, 7.82, 27.95
LAKE CHARLES PORT, 165076, Calcasieu Parish, 1.77, 3.49, 9.69, 26.11, 6.12, 21.22
OLD TOWN BAY, 166968, Calcasieu Parish, 4.70, 7.55, 14.97, 35.09, 11.24, 30.07
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 3.15, 5.54, 19.92, 35.08, 10.07, 30.63
PLAQUEMINE 2 N, 167366, Iberville Parish, 5.47, 11.73, 17.37, 30.20, 13.69, 29.95
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 12.25, 12.25, 12.25, 28.15, 12.25, 28.15
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 11.06, 17.31, 23.70, 45.94, 18.83, 43.84
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 8.13, 14.34, 21.16, 41.06, 16.12, 40.88
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 8.07, 12.58, 23.61, 35.83, 13.14, 34.97
GRAND COTEAU, 163800, Saint Landry Parish, 8.33, 11.87, 15.77, 33.77, 12.79, 33.18
DENHAM SPRINGS, 162350, Livingston Parish, 7.43, 9.50, 15.09, 27.99, 10.39, 27.64
PORT ALLEN, 167448, West Baton Rouge Parish, 8.74, 14.50, 21.02, 39.54, 16.54, 39.39
OPELOUSAS, 166995, Saint Landry Parish, 7.79, 12.16, 16.98, 32.29, 13.75, 31.32
LIVINGSTON, 165438, Livingston Parish, 15.55, 20.34, 26.85, 47.04, 21.65, 46.84
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 10.01, 15.66, 22.76, 45.72, 17.59, 45.58
OBERLIN FIRE TOWER, 166938, Allen Parish, 4.16, 5.89, 12.75, 26.65, 8.09, 26.48
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 7.72, 13.47, 14.96, 34.84, 14.17, 34.83
VILLE PLATTE, 169369, Evangeline Parish, 4.97, 6.09, 14.21, 33.15, 7.31, 32.67
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 11.79, 18.11, 26.74, 48.05, 19.39, 47.83
OAKNOLIA 2N, 166911, East Feliciana Parish, M, M, M, T, M, T
ST. FRANCISVILLE, 168136, West Feliciana Parish, 7.57, 13.33, 17.32, 37.23, 14.56, 37.20
TAYLORTOWN, 168927, Bossier Parish, 20.61, 21.67, 31.96, 51.25, 24.14, 51.25
BLANCHARD, 160861, Caddo Parish, 2.95, 4.37, 9.69, 31.24, 5.70, 31.01
CLINTON 5 SE, 161899, East Feliciana Parish, 10.66, 15.97, 21.00, 40.08, 17.49, 40.00
BEAVER FIRE TOWER, 160617, Evangeline Parish, 4.54, 6.04, 14.31, 32.96, 8.68, 32.17
OAKDALE, 166836, Allen Parish, 2.95, 2.95, 2.95, 2.95, 2.95, 2.95
DE RIDDER, 162367, Beauregard Parish, 6.43, 7.88, 15.88, 40.29, 10.99, 38.34
BUNKIE, 161287, Avoyelles Parish, 5.98, 6.98, 17.38, 36.81, 9.38, 35.41
MARKSVILLE, 165920, Avoyelles Parish, 7.91, 9.86, 18.34, 37.79, 12.20, 36.42
LEESVILLE, 165266, Vernon Parish, 11.84, 15.02, 21.32, 44.49, 16.41, 43.75
LSU DEAN LEE RES. STA., 165630, Rapides Parish, M, M, 1.73, 25.12, M, 24.05
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 11.52, 12.25, 16.92, 39.15, 13.15, 38.84
BOYCE 3 WNW, 161232, Rapides Parish, 11.13, 13.59, 19.94, 49.35, 16.32, 47.16
PEASON RIDGE RANGE, 03949, Sabine Parish, 1.81, 3.37, 4.12, 25.52, 3.67, 25.47
JONESVILLE LOCKS, 164739, Catahoula Parish, 7.96, 10.36, 15.70, 34.71, 11.81, 34.52
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 3.92, 8.13, 13.23, 29.56, 10.09, 28.87
LUTCHER, 165783, Saint James Parish, 7.53, 9.58, 15.86, 28.50, 10.45, 28.50
SLIDELL, 168539, Saint Tammany Parish, 6.96, 12.04, 20.07, 33.68, 12.77, 32.32
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 3.54, 6.89, 13.05, 30.97, 9.19, 25.89
GRAND ISLE, 163807, Jefferson Parish, 1.95, 1.95, 1.95, 7.32, 1.95, 1.95
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 2.50, 9.45, 19.69, 33.05, 10.53, 31.71
GALLIANO, 163433, Lafourche Parish, 2.90, 10.35, 32.81, 48.43, 17.82, 47.66
MORGAN CITY, 166394, Saint Mary Parish, 8.56, 13.52, 20.37, 36.44, 16.24, 35.61
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 1.42, 5.07, 10.73, 26.03, 8.49, 25.14
FRANKLIN 3 NW, 163313, Saint Mary Parish, 10.66, 16.73, 24.68, 43.25, 19.55, 42.58
HACKBERRY 8 SSW, 163979, Cameron Parish, 2.44, 4.39, 8.69, 24.40, 6.11, 21.09
NAPOLEONVILLE, 166561, Assumption Parish, 10.31, 13.80, 20.56, 43.69, 15.14, 42.87
JEANERETTE 5 NW, 164674, Iberia Parish, 6.67, 11.81, 17.82, 38.37, 14.08, 37.96
ABBEVILLE, 160007, Vermilion Parish, 4.86, 10.25, 17.07, 37.92, 13.22, 37.26
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 3.43, 6.45, 12.29, 31.39, 7.73, 29.58
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.67, 11.13, 15.80, 37.32, 13.35, 36.27
