Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 4.74, 9.23, 16.05, 26.06, 52.04, 4.05
LUTCHER, 165783, Saint James Parish, 8.48, 11.43, 12.55, 24.09, 40.55, 8.48
SLIDELL, 168539, Saint Tammany Parish, 5.21, 7.36, 12.90, 24.90, 48.33, 4.21
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 7.77, 12.00, 15.60, 31.93, 61.74, 3.76
GRAND ISLE, 163807, Jefferson Parish, 3.51, 7.51, 12.73, 25.83, 50.30, 0.00
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 5.10, 19.03, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 3.22, 6.49, 8.38, 16.85, 40.64, 2.08
GALLIANO, 163433, Lafourche Parish, 7.39, 11.62, 18.40, 25.86, 52.35, 6.77
MORGAN CITY, 166394, Saint Mary Parish, 5.20, 9.03, 15.16, 28.75, 53.47, 4.47
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 4.15, 7.61, 16.10, 30.56, 49.09, 3.26
FRANKLIN 3 NW, 163313, Saint Mary Parish, 7.19, 12.61, 18.11, 32.32, 59.56, 6.62
HACKBERRY 8 SSW, 163979, Cameron Parish, 6.66, 10.57, 14.86, 24.72, 50.17, 3.35
NAPOLEONVILLE, 166561, Assumption Parish, 10.18, 13.48, 17.18, 38.03, 59.15, 9.36
JEANERETTE 5 NW, 164674, Iberia Parish, 6.14, 10.87, 16.67, 37.29, 57.81, 5.75
ABBEVILLE, 160007, Vermilion Parish, 5.50, 7.83, 16.93, 31.54, 56.01, 4.84
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 7.57, 14.13, 21.63, 40.21, 61.54, 5.76
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.16, 8.56, 13.77, 31.06, 52.37, 4.95
RESERVE, 167767, Saint John the Baptist Parish, M, M, M, 2.00, 9.65, M
CLINTON 5 SE, 161899, East Feliciana Parish, 10.83, 14.09, 16.95, 33.79, 58.59, 10.80
BEAVER FIRE TOWER, 160617, Evangeline Parish, 6.93, 9.39, 12.01, 26.08, 51.47, 6.30
OAKDALE, 166836, Allen Parish, M, M, M, 7.84, 24.34, M
DE RIDDER, 162367, Beauregard Parish, 8.23, 10.12, 12.97, 23.09, 44.61, 7.36
CLINTON FORESTRY HEADQUARTERS, 161891, East Feliciana Parish, M, M, M, 0.00, 0.00, M
BUNKIE, 161287, Avoyelles Parish, 7.20, 7.95, 10.65, 27.02, 53.01, 6.30
MARKSVILLE, 165920, Avoyelles Parish, 7.76, 9.18, 11.67, 25.67, 52.54, 7.49
LEESVILLE, 165266, Vernon Parish, 8.87, 9.36, 11.43, 28.30, 51.23, 8.17
LSU DEAN LEE RES. STA., 165630, Rapides Parish, 6.50, 9.27, 10.28, 25.59, 50.42, 6.50
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 5.88, 6.86, 9.26, 23.87, 43.58, 5.79
BOYCE 3 WNW, 161232, Rapides Parish, 7.90, 10.82, 11.42, 29.24, 55.26, 7.52
PEASON RIDGE RANGE, 03949, Sabine Parish, 6.67, 7.71, 8.68, 27.25, 39.25, 6.67
JONESVILLE LOCKS, 164739, Catahoula Parish, 7.52, 8.32, 10.02, 29.98, 52.07, 7.50
TAYLORTOWN, 168927, Bossier Parish, 7.68, 7.82, 9.89, 27.08, 50.43, 7.68
BLANCHARD, 160861, Caddo Parish, 5.13, 5.21, 8.92, 23.66, 49.53, 4.98
ST. JOSEPH 3 N, 168163, Tensas Parish, 7.90, 9.81, 11.09, 22.99, 45.29, 7.86
LOGANSPORT, 165522, De Soto Parish, 7.81, 8.44, 9.57, 26.45, 50.37, 7.70
WINNSBORO 5 SSE, 169806, Franklin Parish, 8.56, 9.40, 10.13, 25.62, 43.31, 8.39
COLUMBIA LOCK, 161979, Caldwell Parish, 7.11, 8.83, 9.42, 34.31, 54.09, 7.01
BIENVILLE 3 NE, 160800, Bienville Parish, 6.87, 7.34, 7.51, 31.63, 54.78, 6.87
SAILES FIRE TOWER, 168094, Bienville Parish, 6.20, 7.00, 7.99, 26.08, 50.28, 6.20
KEITHVILLE, 164816, Caddo Parish, 6.60, 7.32, 8.28, 29.13, 52.73, 6.60
TALLULAH, 168923, Madison Parish, 6.35, 8.03, 9.62, 24.22, 42.72, 6.00
KORAN, 164931, Bossier Parish, 5.56, 6.01, 6.35, 25.38, 49.44, 5.56
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 6.91, 7.18, 7.95, 24.49, 48.14, 6.91
SHREVEPORT AP, 13957, Caddo Parish, 6.02, 6.08, 8.20, 25.74, 50.94, 6.01
MONROE REGIONAL AP, 13942, Ouachita Parish, 6.73, 7.06, 7.75, 20.17, 38.64, 6.70
MONROE DELTA CC, 166314, Ouachita Parish, 7.16, 7.41, 8.76, 21.49, 40.45, 7.09
CALHOUN 2 N, 161411, Ouachita Parish, 7.47, 7.84, 8.45, 31.56, 52.73, 7.47
RUSTON LA TECH, 168067, Lincoln Parish, 6.40, 6.60, 7.10, 7.10, 8.15, 6.30
MINDEN, 166244, Webster Parish, 6.19, 6.21, 7.69, 30.98, 54.85, 6.19
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 6.40, 6.42, 9.63, 21.87, 47.44, 6.12
ARCADIA, 160277, Bienville Parish, 5.42, 7.30, 7.41, 27.32, 50.60, 5.42
OAK RIDGE, 166868, Morehouse Parish, 0.00, 0.80, 1.20, 16.38, 36.33, 0.00
MOORINGSPORT 1 N, 166364, Caddo Parish, 5.85, 5.89, 7.16, 18.44, 42.15, 5.85
FARMERVILLE, 163079, Union Parish, 5.49, 5.57, 6.82, 24.93, 49.04, 5.49
HOMER 1N, 164355, Claiborne Parish, 4.22, 4.79, 6.98, 26.41, 48.17, 4.22
LAKE PROVIDENCE, 165090, East Carroll Parish, 8.73, 8.85, 10.31, 25.44, 46.68, 8.73
OAK GROVE, 166866, West Carroll Parish, 7.08, 7.98, 8.64, 25.98, 46.65, 7.06
THIBODAUX 4 SE, 169013, Lafourche Parish, 9.80, 14.21, 17.62, 35.25, 58.03, 7.50
HODGES GARDENS, 164288, Sabine Parish, 7.01, 9.19, 11.52, 32.30, 52.99, 6.79
TALISHEEK, 168906, Saint Tammany Parish, 5.48, 10.25, 14.10, 32.53, 54.44, 4.33
SHREVEPORT SOUTHERN HILLS, 168444, Caddo Parish, 7.46, 8.12, 9.69, 29.82, 54.72, 7.46
LAFAYETTE 13 SE, 53960, Saint Martin Parish, 6.05, 7.94, 13.08, 35.19, 60.34, 5.78
MONROE 26 N, 53961, Union Parish, 6.00, 6.11, 7.02, 21.96, 47.41, 6.00
WINNSBORO 2 SE, 169804, Franklin Parish, 9.68, 11.38, 12.21, 28.06, 49.12, 9.60
ABITA RIVER COVINGTON, 160012, Saint Tammany Parish, 6.37, 10.68, 14.20, 28.74, 50.92, 5.62
TOLEDO BEND LAKE, 169074, Sabine Parish, 8.27, 9.30, 10.48, 26.29, 48.04, 6.38
Baton Rouge Area, BTRthr, -, 10.99, 13.06, 18.67, 39.24, 60.45, 10.85
Lake Charles Area, LCHthr, -, 3.86, 8.37, 12.55, 26.47, 54.34, 2.68
New Orleans Area, MSYthr, -, 10.08, 11.60, 15.23, 31.94, 57.97, 8.88
Shreveport Area, SHVthr, -, 6.02, 6.08, 8.20, 25.74, 50.94, 6.01
FORT POLK FULLERTON LANDING STRIP, 53988, Vernon Parish, 7.18, 8.25, 8.98, 26.00, 44.49, 6.88
SHREVEPORT WFO, 168448, Caddo Parish, 6.00, 6.16, 8.46, 27.23, 51.96, 5.98
MOSS BLUFF 2 NNW, 166434, Calcasieu Parish, 7.41, 10.19, 14.03, 36.73, 63.15, 4.10
GONZALES 4.5 S, LAAS0011, Ascension Parish, T, 4.26, 6.70, 22.08, 46.94, 0.00
KEITHVILLE 1.5 NNW, LACD0012, Caddo Parish, 0.05, 0.55, 1.57, 20.88, 45.30, 0.00
SCOTT 1.0 N, LALY0006, Lafayette Parish, 4.30, 9.48, 13.25, 33.35, 60.11, 4.08
CARENCRO 3.9 ENE, LALY0007, Lafayette Parish, 5.34, 10.43, 15.56, 33.15, 57.09, 5.25
COVINGTON 4.0 NNE, LAST0011, Saint Tammany Parish, 6.38, 12.29, 14.68, 27.93, 46.72, 5.59
ABBEVILLE 1.0 E, LAVM0004, Vermilion Parish, 5.47, 7.33, 15.88, 29.41, 52.50, 4.50
NATCHITOCHES #2, 166584, Natchitoches Parish, 7.70, 8.58, 9.68, 26.28, 47.68, 7.70
DUTCHTOWN #2, 162688, Ascension Parish, 9.42, 11.02, 15.43, 32.32, 56.35, 9.01
VINTON 5W, 169376, Calcasieu Parish, 6.84, 7.37, 9.95, 22.11, 42.88, 0.00
HAMMOND MUNICIPAL AIRPORT, 03908, Tangipahoa Parish, M, 0.00, 0.00, 0.00, 0.00, M
PORT VINCENT 4.4 W, LAAS0002, Ascension Parish, 6.88, 8.14, 15.31, 34.65, 53.03, 6.62
GONZALES 4.0 S, LAAS0005, Ascension Parish, 10.18, 14.09, 17.39, 33.09, 58.46, 9.10
BUNKIE 0.3 WSW, LAAV0001, Avoyelles Parish, 7.77, 8.60, 11.14, 25.23, 46.90, 6.90
BOSSIER CITY 6.7 NNW, LABS0001, Bossier Parish, 5.92, 5.92, 9.43, 32.04, 55.86, 5.92
BIENVILLE 0.5 S, LABV0001, Bienville Parish, 6.43, 7.23, 8.30, 27.65, 49.34, 6.43
IOWA 0.9 ESE, LACC0003, Calcasieu Parish, 4.34, 7.05, 12.56, 27.39, 52.97, 3.02
WESTLAKE 0.7 WNW, LACC0005, Calcasieu Parish, 7.47, 11.95, 14.58, 33.85, 50.74, 3.12
SULPHUR 2.2 E, LACC0006, Calcasieu Parish, 6.59, 14.37, 17.51, 35.99, 60.98, 3.12
IOWA 9.7 NNW, LACC0009, Calcasieu Parish, 9.06, 9.90, 14.16, 31.24, 58.34, 5.00
SHREVEPORT 6.2 S, LACD0001, Caddo Parish, 7.46, 7.59, 8.91, 30.08, 54.23, 7.46
FERRIDAY 1.1 NNW, LACN0002, Concordia Parish, 9.10, 9.97, 11.63, 28.10, 50.02, 8.88
SICILY ISLAND 3.3 WNW, LACT0001, Catahoula Parish, 9.53, 11.27, 11.81, 28.41, 52.89, 9.53
BATON ROUGE 2.7 SW, LAEB0002, East Baton Rouge Parish, 10.63, 14.10, 19.76, 42.36, 63.99, 10.21
GARDERE 1.2 ENE, LAEB0005, East Baton Rouge Parish, 0.47, 5.58, 12.88, 34.12, 54.05, 0.00
BROWNFIELDS 5.8 NE, LAEB0009, East Baton Rouge Parish, 0.19, 2.15, 5.64, 18.45, 35.33, 0.00
