Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 8.89, 13.18, 30.64, 66.58, 2.16, 30.90
LUTCHER, 165783, Saint James Parish, 0.68, 2.83, 4.06, 13.85, 0.00, 4.18
SLIDELL, 168539, Saint Tammany Parish, 7.90, 13.22, 24.88, 38.45, 1.68, 24.94
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 13.41, 17.62, 24.96, 50.74, 4.30, 26.81
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 6.63, M, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 11.52, 17.88, 21.56, 38.33, 0.61, 21.56
GALLIANO, 163433, Lafourche Parish, 6.08, 11.94, 18.65, 46.48, 0.43, 18.65
MORGAN CITY, 166394, Saint Mary Parish, 5.89, 5.89, 5.89, 21.30, 1.00, 5.89
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 7.15, 11.35, 17.39, 43.51, 2.12, 18.80
FRANKLIN 3 NW, 163313, Saint Mary Parish, 6.93, 12.57, 16.69, 46.49, 1.00, 18.63
HACKBERRY 8 SSW, 163979, Cameron Parish, 3.43, 8.29, 13.06, 34.96, M, 14.85
NAPOLEONVILLE, 166561, Assumption Parish, 7.43, 11.44, 22.66, 45.60, 1.24, 23.86
JEANERETTE 5 NW, 164674, Iberia Parish, 8.43, 12.57, 17.49, 39.87, 2.13, 17.61
ABBEVILLE, 160007, Vermilion Parish, 10.34, 14.88, 30.60, 54.28, 3.41, 30.87
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 10.26, 15.58, 22.15, 43.88, 2.50, 23.06
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 9.04, 13.24, 22.53, 35.89, 2.35, 23.34
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 10.87, 14.71, 21.17, 40.01, 1.45, 21.83
BAYOU SORREL LOCK, 160565, Iberville Parish, 4.83, 6.62, 13.38, 37.87, 0.13, 17.47
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 10.90, 14.53, 19.43, 35.67, 3.88, 19.97
GONZALES, 163695, Ascension Parish, 10.29, 14.61, 21.80, 39.24, 1.72, 22.62
CARVILLE 2 SW, 161565, Iberville Parish, 10.06, 15.93, 21.01, 44.85, 1.55, 22.36
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 8.66, 12.01, 17.15, 38.15, 2.89, 17.67
CROWLEY 2 NE, 162212, Acadia Parish, 11.87, 16.08, 24.62, 47.00, 3.33, 24.93
JENNINGS, 164700, Jefferson Davis Parish, 11.35, 13.86, 18.81, 38.44, 3.68, 19.92
LAKE CHARLES PORT, 165076, Calcasieu Parish, 14.72, 16.73, 21.25, 45.79, 4.04, 23.02
SULPHUR, 168831, Calcasieu Parish, 15.40, 18.30, 25.91, 49.36, 4.70, 26.86
OLD TOWN BAY, 166968, Calcasieu Parish, 13.78, 14.97, 20.50, 37.81, 4.30, 22.20
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 14.68, 16.81, 21.64, 38.78, 3.94, 23.46
PLAQUEMINE 2 N, 167366, Iberville Parish, 10.12, 12.96, 18.43, 39.02, 1.78, 19.65
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 4.72, 4.72, 4.72, 8.78, 0.47, 4.72
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 9.76, 12.25, 18.80, 35.59, 1.74, 19.34
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 9.18, 11.71, 16.15, 25.88, 1.69, 16.54
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 10.02, 13.21, 20.45, 40.42, 1.54, 20.65
GRAND COTEAU, 163800, Saint Landry Parish, 9.70, 15.24, 20.84, 40.31, 2.48, 21.94
PORT ALLEN, 167448, West Baton Rouge Parish, 12.86, 15.60, 20.02, 31.13, 2.57, 20.24
OPELOUSAS, 166995, Saint Landry Parish, M, 4.77, 7.54, 14.20, M, 7.54
LIVINGSTON, 165438, Livingston Parish, 14.92, 18.18, 24.18, 42.80, 2.14, 24.18
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 11.92, 15.64, 21.50, 32.79, 2.53, 21.76
OBERLIN FIRE TOWER, 166938, Allen Parish, 11.27, 13.61, 18.47, 32.53, 4.05, 19.00
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 11.82, 18.06, 22.44, 32.72, 3.57, 22.67
VILLE PLATTE, 169369, Evangeline Parish, 11.19, 18.42, 19.66, 29.90, 3.94, 19.66
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 12.58, 17.80, 21.71, 32.99, 1.85, 22.96
ST. FRANCISVILLE, 168136, West Feliciana Parish, 11.84, 15.95, 19.52, 31.57, 4.61, 19.96
CLINTON 5 SE, 161899, East Feliciana Parish, 11.28, 15.68, 19.34, 30.49, M, 19.82
BEAVER FIRE TOWER, 160617, Evangeline Parish, 10.98, 15.27, 18.72, 32.62, 3.64, 18.89
BUNKIE, 161287, Avoyelles Parish, 13.58, 19.38, 23.84, 35.65, 4.73, 25.12
MARKSVILLE, 165920, Avoyelles Parish, 12.44, 17.06, 19.75, 34.56, 4.36, 20.19
LEESVILLE, 165266, Vernon Parish, 10.81, 13.83, 21.90, 32.62, 4.06, 22.36
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 10.35, 14.06, 17.79, 28.42, 2.94, 18.21
BOYCE 3 WNW, 161232, Rapides Parish, 15.85, 20.12, 28.84, 45.67, 5.64, 29.39
PEASON RIDGE RANGE, 03949, Sabine Parish, 13.18, 18.02, 26.67, 37.86, 4.97, 26.68
JONESVILLE LOCKS, 164739, Catahoula Parish, 10.02, 14.57, 17.43, 26.67, 1.66, 18.25
PLAIN DEALING, 167344, Bossier Parish, 7.50, 9.79, 17.67, 25.62, M, 17.67
SPRINGHILL, 168683, Webster Parish, 17.26, 21.84, 30.96, 43.70, 4.90, 31.11
BAKER, 160462, East Baton Rouge Parish, 12.54, 16.86, 22.09, 38.77, 3.35, 22.27
VIDALIA NO 2, 169357, Concordia Parish, M, M, M, 11.27, M, M
ST MARTINVILLE 3 SW, 168181, Saint Martin Parish, M, M, M, 2.53, M, M
JENA, 164696, La Salle Parish, 13.93, 18.42, 28.09, 37.81, 5.33, 28.09
BATON ROUGE CONCORD, 160548, East Baton Rouge Parish, 12.60, 15.09, 21.80, 36.15, 2.10, 22.64
SHREVEPORT DOWNTOWN, 168436, Caddo Parish, 13.12, 19.30, 29.79, 45.33, 1.83, 30.88
CARENCRO, 161535, Lafayette Parish, 10.09, 13.96, 20.21, 33.95, 2.91, 20.51
