Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 2.68, 11.88, 14.17, 20.53, 2.68, 16.33
SLIDELL, 168539, Saint Tammany Parish, 6.33, 14.25, 17.66, 29.11, 4.26, 18.94
SALT POINT, 12968, Saint Mary Parish, 3.53, 13.23, 14.70, 21.86, 3.53, 16.36
FRANKLIN 3 NW, 163313, Saint Mary Parish, 5.30, 16.81, 19.65, 27.89, 5.30, 20.65
HACKBERRY 8 SSW, 163979, Cameron Parish, 5.25, 7.82, 9.17, 11.16, 5.25, 9.17
NAPOLEONVILLE, 166561, Assumption Parish, 8.22, 20.58, 23.58, 31.85, 6.25, 24.23
JEANERETTE 5 NW, 164674, Iberia Parish, 3.74, 12.63, 15.66, 21.29, 3.74, 16.84
ABBEVILLE, 160007, Vermilion Parish, 6.01, 10.13, 13.86, 17.54, 5.42, 15.25
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 4.69, 12.38, 14.04, 18.11, 3.89, 15.12
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 2.19, 12.32, 14.19, 19.56, 2.19, 15.00
BEAVER FIRE TOWER, 160617, Evangeline Parish, 3.83, 7.67, 9.96, 13.81, 3.12, 11.03
BUNKIE, 161287, Avoyelles Parish, 4.27, 8.06, 12.87, 16.75, 4.20, 13.59
MARKSVILLE, 165920, Avoyelles Parish, 4.02, 7.21, 8.92, 11.66, 3.23, 8.92
LEESVILLE, 165266, Vernon Parish, 4.95, 7.10, 9.13, 13.31, 3.63, 10.02
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 3.44, 7.06, 10.20, 11.76, 3.44, 10.89
BOYCE 3 WNW, 161232, Rapides Parish, 3.66, 6.90, 9.84, 12.12, 3.66, 10.66
PEASON RIDGE RANGE, 03949, Sabine Parish, 3.56, 6.92, 9.75, 11.59, 3.56, 10.98
JONESVILLE LOCKS, 164739, Catahoula Parish, 3.70, 6.48, 7.98, 10.62, 3.00, 8.44
ST. JOSEPH 3 N, 168163, Tensas Parish, 2.58, 6.54, 7.69, 11.15, 2.58, 8.19
LOGANSPORT, 165522, De Soto Parish, 4.33, 7.06, 11.94, 17.74, 4.31, 13.28
WINNSBORO 5 SSE, 169806, Franklin Parish, 3.50, 5.66, 7.91, 9.86, 2.79, 8.17
COLUMBIA LOCK, 161979, Caldwell Parish, 4.86, 6.69, 9.39, 9.97, 4.05, 9.56
BIENVILLE 3 NE, 160800, Bienville Parish, 7.20, 10.51, 12.87, 17.94, 7.20, 13.98
SAILES FIRE TOWER, 168094, Bienville Parish, M, M, M, 4.06, M, 0.00
KEITHVILLE, 164816, Caddo Parish, 5.35, 7.92, 13.36, 17.58, 5.12, 14.63
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 4.50, 7.40, 11.56, 16.78, 4.24, 12.59
SHREVEPORT AP, 13957, Caddo Parish, 8.12, 10.64, 15.60, 21.24, 8.12, 17.15
MONROE REGIONAL AP, 13942, Ouachita Parish, 4.22, 7.21, 9.55, 14.12, 4.22, 9.97
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 7.42, 9.89, 14.63, 20.50, 7.42, 15.97
ARCADIA, 160277, Bienville Parish, 5.09, 7.49, 10.55, 13.09, 4.79, 11.31
MOORINGSPORT 1 N, 166364, Caddo Parish, 4.80, 5.67, 9.24, 16.16, 4.55, 11.49
HOMER 1N, 164355, Claiborne Parish, 6.09, 9.06, 11.85, 15.16, 5.81, 12.40
OAK GROVE, 166866, West Carroll Parish, 3.93, 7.25, 9.99, 15.26, 3.93, 10.73
PLAIN DEALING, 167344, Bossier Parish, 5.25, 7.43, 11.39, 16.76, 4.81, 12.92
SPRINGHILL, 168683, Webster Parish, 6.00, 8.22, 9.63, 10.13, 5.60, 9.63
BAKER, 160462, East Baton Rouge Parish, 4.40, 8.12, 10.81, 16.78, 2.89, 12.09
VIDALIA NO 2, 169357, Concordia Parish, 0.59, 3.66, 8.71, 11.34, M, 9.03
JENA, 164696, La Salle Parish, 4.16, 6.19, 9.80, 16.45, 3.75, 10.37
CARENCRO, 161535, Lafayette Parish, 4.96, 11.34, 13.30, 18.75, 3.81, 14.95
RED RIVER LOCK #1, 167729, Catahoula Parish, 3.68, 5.91, 8.28, 10.96, 3.14, 8.33
PONCHATOULA 4 E, 167425, Tangipahoa Parish, 5.70, 12.17, 12.68, 19.29, 4.48, 13.83
RED RIVER LOCK # 2, 167732, Rapides Parish, 3.61, 6.35, 8.63, 12.76, 2.34, 9.68
MANY 9 WSW, 165896, Sabine Parish, 5.86, 8.29, 11.42, 17.35, 5.38, 12.89
MOSS BLUFF, 166431, Calcasieu Parish, 6.39, 10.61, 12.80, 19.23, 5.80, 14.03
ALEXANDRIA 5 SSE, 160103, Rapides Parish, 4.02, 6.40, 8.54, 9.99, 3.30, 8.59
DRY CREEK 8NW, 162641, Beauregard Parish, 4.50, 9.11, 11.35, 14.70, 4.50, 13.22
KAPLAN, 164775, Vermilion Parish, 5.50, 13.64, 16.90, 23.08, 3.95, 19.04
NEW ORLEANS AP, 12916, Jefferson Parish, 4.02, 14.66, 16.63, 24.77, 4.02, 17.68
NEW ORLEANS LAKEFRONT AP, 53917, Orleans Parish, 3.49, 12.59, 14.26, 21.69, 3.49, 15.81
NEW ORLEANS AUDUBON, 12930, Orleans Parish, 6.91, 17.33, 18.94, 29.81, 4.06, 19.72
WEST MONROE, 169631, Ouachita Parish, 2.09, 4.87, 8.13, 13.40, 0.91, 8.67
JAMESTOWN, 164592, Bienville Parish, 3.97, 6.65, 9.39, 14.57, 3.97, 10.63
SLIDELL AP, 53865, Saint Tammany Parish, 3.82, 8.76, 10.72, 22.56, 3.82, 12.56
NORWOOD, 166808, East Feliciana Parish, 6.63, 10.29, 13.72, 17.83, 5.25, 14.22
TALLULAH VICKSBURG REGIONAL AP, 03996, Madison Parish, 3.09, 7.03, 9.88, 13.29, 3.04, 10.24
ALEXANDRIA INTL AP, 93915, Rapides Parish, 2.91, 6.77, 9.52, 12.10, 2.91, 10.31
ALEXANDRIA, 160098, Rapides Parish, 5.07, 7.88, 11.87, 14.18, 4.42, 12.51
COVINGTON 8 WNW, 162151, Saint Tammany Parish, 6.08, 10.63, 11.37, 17.43, 5.07, 12.71
RIVER RIDGE 0.7 N, LAJF0005, Jefferson Parish, 4.25, 14.20, 15.97, 25.11, 4.25, 16.89
RUSTON 5.5 NNW, LALN0003, Lincoln Parish, 4.78, 8.84, 11.77, 14.58, 4.78, 12.34
DENHAM SPRINGS 6.8 N, LALV0002, Livingston Parish, 6.18, 11.65, 15.00, 18.90, 4.36, 15.94
SWARTZ 2.0 SSW, LAOC0001, Ouachita Parish, 5.24, 7.72, 10.79, 15.96, 4.16, 11.20
MONROE 1.9 NNW, LAOC0004, Ouachita Parish, 3.17, 3.95, 7.12, 10.90, 3.17, 7.57
MONROE 2.4 WNW, LAOC0005, Ouachita Parish, M, 1.89, 5.30, 10.79, M, 5.82
