Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 3.85, 6.57, 7.20, 37.16, 9.36, 38.10
LUTCHER, 165783, Saint James Parish, 3.51, 3.69, 3.69, 7.15, 3.69, 7.87
SLIDELL, 168539, Saint Tammany Parish, 4.30, 11.52, 13.53, 35.84, 15.21, 38.47
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 3.27, 8.41, 11.80, 36.16, 16.10, 38.61
SALT POINT, 12968, Saint Mary Parish, 3.17, 3.51, 3.51, 3.51, 3.51, 3.51
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 3.85, 6.91, 8.45, 29.18, 9.06, 30.01
GALLIANO, 163433, Lafourche Parish, 4.32, 8.04, 11.19, 29.74, 11.64, 29.86
MORGAN CITY, 166394, Saint Mary Parish, 7.52, 11.70, 14.70, 20.59, 15.70, 20.59
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 0.80, 3.94, 4.81, 22.03, 6.93, 23.61
FRANKLIN 3 NW, 163313, Saint Mary Parish, 8.67, 12.88, 16.00, 32.59, 17.00, 34.63
HACKBERRY 8 SSW, 163979, Cameron Parish, 3.52, 6.53, 6.65, 19.64, 6.65, 21.50
NAPOLEONVILLE, 166561, Assumption Parish, 5.16, 10.16, 12.70, 34.04, 13.94, 36.56
JEANERETTE 5 NW, 164674, Iberia Parish, 6.02, 9.75, 10.96, 28.04, 13.09, 28.57
ABBEVILLE, 160007, Vermilion Parish, 6.30, 10.04, 10.84, 40.42, 14.25, 41.71
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 7.01, 9.53, 10.74, 32.82, 13.25, 33.81
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.82, 9.13, 10.15, 32.68, 12.50, 33.49
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 4.36, 10.10, 12.04, 32.57, 13.49, 33.87
BAYOU SORREL LOCK, 160565, Iberville Parish, 0.79, 4.21, 5.64, 18.42, 5.77, 23.11
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 7.73, 9.74, 11.87, 30.53, 15.75, 31.84
GONZALES, 163695, Ascension Parish, 5.66, 11.95, 14.11, 35.29, 15.83, 36.73
CARVILLE 2 SW, 161565, Iberville Parish, 4.94, 10.27, 12.22, 32.38, 13.77, 34.58
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 2.47, 4.32, 5.50, 22.65, 8.39, 23.17
CROWLEY 2 NE, 162212, Acadia Parish, 4.14, 8.19, 9.75, 33.03, 13.08, 34.68
JENNINGS, 164700, Jefferson Davis Parish, 5.29, 8.34, 9.93, 28.16, 13.64, 29.88
LAKE CHARLES PORT, 165076, Calcasieu Parish, 5.73, 7.72, 10.62, 31.62, 14.66, 33.64
SULPHUR, 168831, Calcasieu Parish, 6.65, 9.59, 12.72, 37.89, 17.42, 39.58
OLD TOWN BAY, 166968, Calcasieu Parish, M, M, 1.20, 21.70, 5.50, 23.40
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 4.33, 6.61, 9.50, 31.14, 13.45, 32.97
PLAQUEMINE 2 N, 167366, Iberville Parish, 3.79, 8.90, 10.11, 28.37, 11.89, 29.76
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, M, M, M, 4.72, 0.47, 4.72
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 2.89, 7.25, 8.53, 26.98, 10.27, 27.87
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 3.64, 8.08, 9.22, 24.85, 10.92, 25.77
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 2.86, 8.91, 11.44, 30.16, 12.98, 32.09
GRAND COTEAU, 163800, Saint Landry Parish, 4.05, 7.72, 9.12, 29.46, 11.60, 31.06
