Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 9.26, 16.04, 17.02, 29.23, 22.50, 51.24
LUTCHER, 165783, Saint James Parish, 2.46, 5.52, 6.39, 7.25, 6.57, 10.75
SLIDELL, 168539, Saint Tammany Parish, 8.96, 16.87, 18.42, 34.96, 28.74, 52.00
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 18.30, 24.19, 24.41, 46.25, 37.14, 59.65
SALT POINT, 12968, Saint Mary Parish, M, 0.90, 3.55, 3.61, 3.61, 3.61
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 3.51, 8.41, 10.19, 26.21, 15.30, 36.25
GALLIANO, 163433, Lafourche Parish, 4.69, 8.07, 10.30, 22.96, 17.31, 35.53
MORGAN CITY, 166394, Saint Mary Parish, 3.68, 16.01, 17.37, 30.38, 25.49, 30.38
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 3.54, 8.77, 9.50, 20.62, 15.59, 32.27
FRANKLIN 3 NW, 163313, Saint Mary Parish, 6.78, 15.70, 17.12, 31.33, 25.40, 43.03
HACKBERRY 8 SSW, 163979, Cameron Parish, 6.12, 13.55, 14.32, 20.82, 17.39, 32.24
NAPOLEONVILLE, 166561, Assumption Parish, 7.03, 13.69, 15.93, 30.34, 24.15, 46.77
JEANERETTE 5 NW, 164674, Iberia Parish, 9.26, 18.70, 20.20, 33.43, 27.13, 42.61
ABBEVILLE, 160007, Vermilion Parish, 9.76, 20.56, 21.69, 36.01, 29.08, 56.54
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 9.50, 20.80, 21.84, 35.71, 27.95, 48.51
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 8.18, 17.40, 17.91, 31.24, 24.55, 45.54
CLINTON 5 SE, 161899, East Feliciana Parish, 11.58, 19.31, 20.49, 39.98, 28.70, 48.52
BEAVER FIRE TOWER, 160617, Evangeline Parish, 7.69, 18.49, 18.95, 35.50, 28.16, 43.41
BUNKIE, 161287, Avoyelles Parish, 7.51, 18.87, 19.84, 41.41, 32.56, 52.95
MARKSVILLE, 165920, Avoyelles Parish, 7.72, 19.25, 20.13, 39.02, 30.94, 46.77
LEESVILLE, 165266, Vernon Parish, 9.10, 17.95, 18.71, 35.60, 28.85, 47.15
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 6.90, 15.15, 16.12, 34.02, 26.61, 41.88
BOYCE 3 WNW, 161232, Rapides Parish, 10.38, 24.25, 24.89, 48.69, 38.48, 62.23
PEASON RIDGE RANGE, 03949, Sabine Parish, 2.98, 10.51, 11.26, 27.38, 19.17, 40.88
JONESVILLE LOCKS, 164739, Catahoula Parish, 7.94, 17.47, 18.62, 36.29, 27.93, 44.52
HANNA 4 SSE, 164050, Red River Parish, 10.42, 20.40, 23.00, 47.33, 36.66, 65.42
ST. JOSEPH 3 N, 168163, Tensas Parish, 7.51, 16.99, 17.75, 43.49, 34.27, 54.19
LOGANSPORT, 165522, De Soto Parish, 8.17, 14.56, 17.33, 40.82, 28.97, 59.39
MANSFIELD 4 NW, 165874, De Soto Parish, 7.65, 14.95, 16.56, 36.40, 26.25, 55.73
WINNSBORO 5 SSE, 169806, Franklin Parish, 6.66, 15.25, 16.56, 38.34, 31.01, 52.92
COLUMBIA LOCK, 161979, Caldwell Parish, 6.73, 17.49, 20.14, 42.46, 34.73, 58.00
BIENVILLE 3 NE, 160800, Bienville Parish, 7.93, 20.09, 22.98, 53.38, 39.51, 69.79
SAILES FIRE TOWER, 168094, Bienville Parish, 7.54, 15.85, 19.95, 42.59, 32.44, 62.06
KEITHVILLE, 164816, Caddo Parish, 6.63, 13.42, 16.13, 35.85, 25.05, 55.93
TALLULAH, 168923, Madison Parish, 4.22, 9.42, 9.62, 9.97, 9.62, 13.23
KORAN, 164931, Bossier Parish, 6.82, 15.77, 16.27, 39.96, 29.26, 54.92
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 7.27, 13.14, 15.52, 37.61, 26.06, 55.95
SHREVEPORT AP, 13957, Caddo Parish, 6.12, 12.73, 14.72, 34.00, 22.73, 51.14
MONROE REGIONAL AP, 13942, Ouachita Parish, 5.06, 16.55, 17.88, 44.21, 33.18, 60.34
RUSTON LA TECH, 168067, Lincoln Parish, 6.64, 16.63, 19.85, 48.69, 39.31, 68.12
MINDEN, 166244, Webster Parish, 8.40, 17.70, 21.73, 45.02, 34.20, 59.29
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 8.18, 12.11, 14.21, 33.14, 22.42, 46.60
ARCADIA, 160277, Bienville Parish, 6.07, 17.36, 21.07, 46.00, 35.48, 65.74
OAK RIDGE, 166868, Morehouse Parish, 2.02, 8.62, 9.99, 19.04, 16.34, 31.74
MOORINGSPORT 1 N, 166364, Caddo Parish, 9.06, 20.00, 22.27, 40.63, 29.71, 52.65
HOMER 1N, 164355, Claiborne Parish, 7.45, 18.50, 22.88, 47.60, 35.50, 59.54
LAKE PROVIDENCE, 165090, East Carroll Parish, 6.70, 16.86, 20.34, 41.43, 33.81, 60.39
OAK GROVE, 166866, West Carroll Parish, 4.87, 17.29, 19.45, 42.98, 32.82, 54.38
PLAIN DEALING, 167344, Bossier Parish, 8.95, 18.84, 21.00, 29.12, 21.62, 39.29
SPRINGHILL, 168683, Webster Parish, 9.82, 20.89, 23.24, 49.39, 37.03, 63.24
BAKER, 160462, East Baton Rouge Parish, 9.90, 19.42, 20.71, 37.10, 27.91, 46.83
JENA, 164696, La Salle Parish, 10.26, 17.26, 18.64, 41.23, 32.63, 55.39
BATON ROUGE CONCORD, 160548, East Baton Rouge Parish, 6.40, 6.40, 6.40, 20.33, 9.83, 30.37
SHREVEPORT DOWNTOWN, 168436, Caddo Parish, M, 14.00, 15.97, 35.98, 24.69, 53.74
CARENCRO, 161535, Lafayette Parish, 11.35, 18.67, 20.21, 34.85, 27.67, 45.27
MARRERO 9 SSW, 165926, Jefferson Parish, 6.50, 12.69, 13.74, 28.90, 18.83, 43.22
RED RIVER LOCK #1, 167729, Catahoula Parish, M, M, M, 4.85, 1.50, 7.80
PONCHATOULA 4 E, 167425, Tangipahoa Parish, 6.56, 12.08, 13.34, 30.99, 23.11, 40.63
LEESVILLE 6 SSW, 165287, Vernon Parish, 11.14, 18.16, 18.80, 35.19, 30.29, 49.67
ZWOLLE 2 NW, 169980, Sabine Parish, 11.17, 17.66, 20.33, 41.33, 32.15, 53.33
RED RIVER LOCK # 2, 167732, Rapides Parish, 2.59, 9.64, 9.98, 26.06, 17.81, 32.83
MANY 9 WSW, 165896, Sabine Parish, 13.60, 21.92, 23.78, 46.28, 35.18, 57.00
MOSS BLUFF, 166431, Calcasieu Parish, 15.67, 23.06, 24.06, 43.79, 34.47, 53.30
ALEXANDRIA 5 SSE, 160103, Rapides Parish, 6.74, 16.70, 17.63, 37.30, 29.28, 42.86
DRY CREEK 8NW, 162641, Beauregard Parish, 16.31, 26.62, 26.90, 42.17, 36.60, 51.72
KAPLAN, 164775, Vermilion Parish, 8.37, 18.89, 19.39, 34.50, 26.68, 50.85
SUN, 168861, Saint Tammany Parish, 6.29, 11.41, 13.10, 31.13, 22.75, 42.94
NEW ORLEANS AP, 12916, Jefferson Parish, 8.04, 14.85, 15.79, 32.20, 27.03, 45.07
NEW ORLEANS LAKEFRONT AP, 53917, Orleans Parish, 6.66, 15.24, 16.56, 32.20, 27.68, 42.26
NEW ORLEANS AUDUBON, 12930, Orleans Parish, 8.63, 17.89, 18.89, 34.70, 30.14, 46.16
CONVENT 2S, 162002, Saint James Parish, 5.70, 11.06, 11.56, 23.92, 19.07, 39.74
