Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 6.73, 13.57, 28.48, 66.77, 93.41, 28.74
LUTCHER, 165783, Saint James Parish, 0.68, 2.83, 4.18, 13.85, 29.62, 4.18
SLIDELL, 168539, Saint Tammany Parish, 6.22, 11.78, 23.22, 38.04, 63.72, 23.26
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 9.11, 14.00, 20.66, 48.35, 72.33, 22.51
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 6.70, 18.47, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 11.67, 17.27, 20.95, 39.72, 65.44, 20.95
GALLIANO, 163433, Lafourche Parish, 5.85, 11.89, 18.22, 48.14, 71.33, 18.22
MORGAN CITY, 166394, Saint Mary Parish, 4.89, 4.89, 4.89, 21.88, 38.76, 4.89
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 5.03, 9.70, 15.58, 45.83, 69.21, 16.68
FRANKLIN 3 NW, 163313, Saint Mary Parish, 5.93, 12.39, 17.16, 48.41, 80.01, 17.63
HACKBERRY 8 SSW, 163979, Cameron Parish, 3.49, 9.01, 13.06, 36.25, 67.82, 14.85
NAPOLEONVILLE, 166561, Assumption Parish, 6.19, 11.47, 21.42, 44.49, 74.18, 22.62
JEANERETTE 5 NW, 164674, Iberia Parish, 6.33, 11.14, 15.36, 39.52, 65.44, 15.48
ABBEVILLE, 160007, Vermilion Parish, 6.94, 12.92, 27.19, 52.47, 78.12, 27.46
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 7.76, 13.81, 19.99, 41.72, 63.38, 20.56
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 6.69, 13.20, 20.19, 35.59, 62.69, 20.99
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 9.42, 14.34, 19.72, 38.61, 66.54, 20.38
BAYOU SORREL LOCK, 160565, Iberville Parish, 4.70, 8.32, 14.41, 39.30, 65.18, 17.34
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 7.02, 11.03, 15.82, 33.18, 61.53, 16.09
GONZALES, 163695, Ascension Parish, 8.61, 14.78, 20.08, 39.78, 70.82, 20.90
CARVILLE 2 SW, 161565, Iberville Parish, 8.51, 14.83, 20.06, 43.60, 70.13, 20.81
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 5.77, 9.87, 14.58, 37.23, 51.37, 14.78
CROWLEY 2 NE, 162212, Acadia Parish, 8.54, 14.00, 21.29, 44.79, 64.99, 21.60
JENNINGS, 164700, Jefferson Davis Parish, 7.67, 11.22, 15.17, 36.18, 59.32, 16.24
LAKE CHARLES PORT, 165076, Calcasieu Parish, 10.68, 13.20, 17.21, 42.84, 70.63, 18.98
SULPHUR, 168831, Calcasieu Parish, 10.70, 14.07, 22.16, 46.51, 71.32, 22.16
OLD TOWN BAY, 166968, Calcasieu Parish, 9.48, 11.39, 16.20, 35.31, 57.16, 17.90
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 10.74, 13.32, 17.72, 35.57, 59.30, 19.52
PLAQUEMINE 2 N, 167366, Iberville Parish, 8.35, 11.94, 16.65, 37.52, 62.41, 17.87
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 4.25, 4.25, 4.25, 8.31, 16.73, 4.25
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 8.02, 11.76, 17.06, 34.46, 69.55, 17.60
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 7.49, 10.78, 14.46, 25.16, 50.96, 14.85
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 8.48, 11.92, 19.11, 39.61, 72.26, 19.11
GRAND COTEAU, 163800, Saint Landry Parish, 7.23, 15.86, 18.85, 38.38, 68.91, 19.46
PORT ALLEN, 167448, West Baton Rouge Parish, 10.46, 13.87, 17.55, 30.31, 58.35, 17.67
OPELOUSAS, 166995, Saint Landry Parish, M, 6.19, 7.54, 15.15, 35.90, 7.54
LIVINGSTON, 165438, Livingston Parish, 12.78, 16.73, 22.04, 40.69, 78.67, 22.04
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 9.39, 13.75, 18.98, 33.16, 65.39, 19.23
OBERLIN FIRE TOWER, 166938, Allen Parish, 7.22, 9.90, 14.42, 29.47, 58.43, 14.95
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 8.25, 15.47, 18.87, 30.01, 54.93, 19.10
VILLE PLATTE, 169369, Evangeline Parish, 7.25, 14.57, 15.72, 28.86, 55.15, 15.72
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 10.73, 16.74, 20.46, 31.86, 69.42, 21.11
ST. FRANCISVILLE, 168136, West Feliciana Parish, 7.26, 12.58, 14.91, 28.01, 59.55, 15.35
HANNA 4 SSE, 164050, Red River Parish, 10.67, 18.80, 28.21, 41.64, 72.65, 28.76
ST. JOSEPH 3 N, 168163, Tensas Parish, 9.22, 16.33, 19.92, 35.57, 65.91, 19.92
LOGANSPORT, 165522, De Soto Parish, 11.85, 20.24, 28.75, 42.27, 70.12, 30.42
MANSFIELD 4 NW, 165874, De Soto Parish, 10.15, 18.53, 28.26, 39.55, 67.18, 29.48
WINNSBORO 5 SSE, 169806, Franklin Parish, 7.33, 13.02, 21.68, 28.10, 54.70, 21.91
COLUMBIA LOCK, 161979, Caldwell Parish, 7.73, 15.58, 23.17, 37.95, 70.89, 23.27
BIENVILLE 3 NE, 160800, Bienville Parish, 13.87, 21.02, 30.28, 41.33, 75.78, 30.28
SAILES FIRE TOWER, 168094, Bienville Parish, 10.15, 18.44, 28.39, 42.53, 72.96, 29.62
KEITHVILLE, 164816, Caddo Parish, 10.80, 20.75, 29.61, 38.68, 68.19, 30.88
TALLULAH, 168923, Madison Parish, 0.35, 0.90, 3.61, 6.38, 11.14, 3.61
KORAN, 164931, Bossier Parish, 10.70, 18.78, 25.66, 28.70, 55.95, 25.66
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 11.55, 20.43, 28.40, 38.57, 67.16, 29.89
SHREVEPORT AP, 13957, Caddo Parish, 11.27, 19.71, 28.41, 40.66, 66.15, 28.41
MONROE REGIONAL AP, 13942, Ouachita Parish, 11.03, 20.21, 27.15, 40.21, 68.27, 27.16
RUSTON LA TECH, 168067, Lincoln Parish, 9.38, 19.34, 28.81, 41.97, 54.33, 28.81
MINDEN, 166244, Webster Parish, 10.82, 17.70, 24.14, 34.70, 66.42, 25.09
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 10.72, 15.83, 24.18, 41.21, 62.87, 24.18
ARCADIA, 160277, Bienville Parish, 10.52, 19.03, 29.62, 37.77, 73.83, 30.26
OAK RIDGE, 166868, Morehouse Parish, 2.70, 5.25, 15.40, 27.00, 62.32, 15.40
MOORINGSPORT 1 N, 166364, Caddo Parish, 10.92, 15.16, 22.50, 36.06, 67.33, 22.94
HOMER 1N, 164355, Claiborne Parish, 12.10, 16.90, 23.48, 33.27, 67.27, 24.04
LAKE PROVIDENCE, 165090, East Carroll Parish, 7.62, 17.15, 25.13, 39.42, 73.69, 26.58
OAK GROVE, 166866, West Carroll Parish, 10.16, 17.36, 21.50, 29.10, 65.36, 21.56
CLINTON 5 SE, 161899, East Feliciana Parish, 3.00, 7.40, 11.54, 25.68, 57.99, 11.54
BEAVER FIRE TOWER, 160617, Evangeline Parish, 7.34, 12.59, 15.23, 33.81, 60.41, 15.25
BUNKIE, 161287, Avoyelles Parish, 8.85, 15.75, 19.11, 32.23, 62.68, 20.39
MARKSVILLE, 165920, Avoyelles Parish, 8.08, 13.30, 15.39, 30.60, 62.23, 15.83
