Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 11.07, 14.33, 21.27, 40.35, 46.64, 65.42
LUTCHER, 165783, Saint James Parish, 14.58, 17.79, 18.46, 35.74, 40.02, 58.07
SLIDELL, 168539, Saint Tammany Parish, 11.28, 13.80, 20.05, 40.70, 47.38, 66.93
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 9.21, 10.14, 17.61, 35.33, 42.18, 58.88
GRAND ISLE, 163807, Jefferson Parish, M, M, M, 5.55, 5.55, 5.55
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 11.44, 16.71, 21.97, 38.84, 47.09, 68.27
GALLIANO, 163433, Lafourche Parish, 15.56, 21.38, 29.00, 50.49, 65.79, 95.63
MORGAN CITY, 166394, Saint Mary Parish, 14.51, 17.25, 22.98, 45.10, 53.12, 72.49
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 22.02, 30.51, 39.11, 61.68, 68.80, 85.45
FRANKLIN 3 NW, 163313, Saint Mary Parish, 20.57, 23.29, 28.21, 54.09, 63.24, 86.27
HACKBERRY 8 SSW, 163979, Cameron Parish, 10.79, 12.38, 25.91, 45.70, 49.98, 64.96
NAPOLEONVILLE, 166561, Assumption Parish, 19.41, 22.10, 31.69, 55.55, 60.60, 88.33
JEANERETTE 5 NW, 164674, Iberia Parish, 23.69, 25.02, 33.32, 53.78, 61.77, 85.65
ABBEVILLE, 160007, Vermilion Parish, 24.95, 28.74, 38.33, 57.78, 66.77, 90.81
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 22.56, 27.43, 37.46, 51.22, 55.89, 77.74
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 27.02, 32.12, 38.60, 53.53, 61.69, 84.61
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 22.31, 27.18, 38.75, 59.92, 65.11, 92.55
BAYOU SORREL LOCK, 160565, Iberville Parish, 15.55, 16.99, 21.56, 35.56, 43.63, 67.58
