Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 6.94, 18.88, 21.17, 34.83, 32.31, 51.09
LUTCHER, 165783, Saint James Parish, T, 6.31, 10.79, 26.97, 21.56, 39.61
SLIDELL, 168539, Saint Tammany Parish, 5.47, 11.10, 19.91, 39.50, 32.80, 52.35
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 4.80, 17.75, 19.24, 30.50, 28.43, 45.13
GRAND ISLE, 163807, Jefferson Parish, M, M, 3.60, 5.55, 5.55, 5.55
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 4.81, 9.28, 19.38, 38.91, 29.91, 51.09
GALLIANO, 163433, Lafourche Parish, 6.93, 19.42, 25.88, 58.41, 43.72, 73.56
MORGAN CITY, 166394, Saint Mary Parish, 5.64, 13.86, 19.50, 39.67, 35.78, 55.15
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 8.17, 24.91, 27.48, 39.40, 37.86, 54.51
FRANKLIN 3 NW, 163313, Saint Mary Parish, 5.45, 11.01, 19.92, 44.60, 39.47, 62.50
HACKBERRY 8 SSW, 163979, Cameron Parish, 10.92, 25.03, 28.29, 35.46, 34.40, 49.38
NAPOLEONVILLE, 166561, Assumption Parish, 9.57, 14.43, 22.89, 43.83, 38.48, 66.21
JEANERETTE 5 NW, 164674, Iberia Parish, 7.46, 17.01, 21.43, 39.00, 35.91, 59.79
ABBEVILLE, 160007, Vermilion Parish, 8.84, 18.99, 21.86, 40.37, 37.28, 61.32
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 9.48, 16.84, 20.14, 31.44, 27.91, 49.76
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.83, 11.53, 14.86, 30.66, 28.21, 51.13
CLINTON 5 SE, 161899, East Feliciana Parish, 6.82, 13.03, 17.93, 38.25, 35.42, 57.93
BEAVER FIRE TOWER, 160617, Evangeline Parish, 5.44, 12.13, 14.68, 28.05, 23.94, 47.43
OAKDALE, 166836, Allen Parish, M, M, M, 2.95, 2.95, 2.95
DE RIDDER, 162367, Beauregard Parish, 9.54, 17.20, 18.61, 31.68, 29.60, 56.95
BUNKIE, 161287, Avoyelles Parish, 5.90, 10.55, 13.55, 30.33, 24.03, 50.06
MARKSVILLE, 165920, Avoyelles Parish, 4.63, 9.63, 14.60, 32.36, 27.83, 52.05
LEESVILLE, 165266, Vernon Parish, 10.77, 17.15, 19.57, 38.61, 36.38, 63.72
LSU DEAN LEE RES. STA., 165630, Rapides Parish, 5.25, 9.55, 11.21, 11.21, 11.21, 35.26
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 3.59, 3.59, 5.04, 21.96, 18.19, 43.88
BOYCE 3 WNW, 161232, Rapides Parish, 8.35, 15.27, 18.87, 38.81, 35.19, 66.03
PEASON RIDGE RANGE, 03949, Sabine Parish, 4.18, 9.37, 9.69, 13.81, 13.36, 35.16
JONESVILLE LOCKS, 164739, Catahoula Parish, 4.30, 9.95, 14.48, 29.53, 27.09, 49.80
ST. JOSEPH 3 N, 168163, Tensas Parish, 3.09, 6.08, 12.83, 29.97, 27.30, 50.46
LOGANSPORT, 165522, De Soto Parish, 5.48, 11.25, 13.15, 40.02, 34.66, 62.24
WINNSBORO 5 SSE, 169806, Franklin Parish, 2.16, 6.55, 11.49, 30.55, 26.76, 49.90
COLUMBIA LOCK, 161979, Caldwell Parish, 3.34, 8.83, 12.32, 33.55, 31.63, 50.28
BIENVILLE 3 NE, 160800, Bienville Parish, 7.17, 14.00, 17.66, 43.61, 38.96, 63.16
SAILES FIRE TOWER, 168094, Bienville Parish, 2.67, 8.34, 13.31, 40.87, 37.51, 60.45
KEITHVILLE, 164816, Caddo Parish, 4.82, 15.36, 16.93, 37.40, 35.28, 58.05
TALLULAH, 168923, Madison Parish, 1.53, 10.08, 21.25, 39.52, 36.48, 57.29
KORAN, 164931, Bossier Parish, 2.67, 8.34, 10.80, 33.47, 30.73, 52.94
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 3.38, 13.97, 15.85, 42.07, 38.23, 62.32
SHREVEPORT AP, 13957, Caddo Parish, 3.18, 15.79, 18.42, 36.83, 35.56, 55.89
MONROE REGIONAL AP, 13942, Ouachita Parish, 4.26, 9.96, 17.31, 50.84, 46.07, 67.67
MONROE DELTA CC, 166314, Ouachita Parish, 2.24, 7.56, 14.06, 48.82, 43.79, 66.33
CALHOUN 2 N, 161411, Ouachita Parish, 4.07, 11.67, 16.72, 48.24, 45.10, 66.65
RUSTON LA TECH, 168067, Lincoln Parish, 1.86, 8.86, 13.14, 42.87, 38.01, 60.82
MINDEN, 166244, Webster Parish, 2.66, 12.41, 17.36, 47.79, 43.40, 66.78
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 3.34, 14.23, 17.30, 36.58, 35.09, 55.13
ARCADIA, 160277, Bienville Parish, 2.88, 10.30, 21.59, 47.24, 44.21, 66.62
OAK RIDGE, 166868, Morehouse Parish, 3.53, 9.10, 17.46, 53.92, 47.93, 68.70
MOORINGSPORT 1 N, 166364, Caddo Parish, 2.40, 16.87, 18.42, 39.40, 35.89, 59.50
FARMERVILLE, 163079, Union Parish, 2.54, 6.12, 15.72, 41.82, 39.53, 60.38
HOMER 1N, 164355, Claiborne Parish, 2.44, 9.56, 13.30, 41.52, 36.04, 59.99
LAKE PROVIDENCE, 165090, East Carroll Parish, 3.11, 6.92, 15.30, 38.11, 35.53, 58.96
OAK GROVE, 166866, West Carroll Parish, 2.07, 4.94, 13.30, 41.40, 36.34, 58.57
PLAIN DEALING, 167344, Bossier Parish, 3.67, 17.73, 18.46, 39.73, 36.51, 60.14
SPRINGHILL, 168683, Webster Parish, 1.63, 8.29, 11.56, 31.52, 28.26, 48.61
BAKER, 160462, East Baton Rouge Parish, 5.87, 11.24, 15.15, 36.45, 31.63, 59.91
VIDALIA NO 2, 169357, Concordia Parish, 4.55, 6.33, 11.83, 28.28, 21.97, 46.43
ST MARTINVILLE 3 SW, 168181, Saint Martin Parish, 7.09, 13.36, 16.83, 36.53, 33.63, 63.08
JENA, 164696, La Salle Parish, 4.96, 8.27, 11.60, 31.38, 27.76, 53.68
BATON ROUGE CONCORD, 160548, East Baton Rouge Parish, 11.26, 19.76, 23.33, 46.00, 41.04, 67.55
SHREVEPORT DOWNTOWN, 168436, Caddo Parish, 3.83, 16.64, 19.73, 42.28, 40.62, 64.48
