Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
CLINTON 5 SE, 161899, East Feliciana Parish, 5.91, 10.77, 15.49, 32.75, 19.12, 38.94
BEAVER FIRE TOWER, 160617, Evangeline Parish, 8.53, 16.47, 19.23, 34.37, 25.76, 41.01
BUNKIE, 161287, Avoyelles Parish, 12.22, 17.42, 23.03, 40.55, 30.44, 50.83
MARKSVILLE, 165920, Avoyelles Parish, 12.36, 18.22, 21.86, 38.16, 29.14, 44.97
LEESVILLE, 165266, Vernon Parish, 9.85, 15.36, 18.05, 33.52, 25.61, 43.91
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 7.17, 13.77, 17.41, 32.26, 24.30, 39.57
BOYCE 3 WNW, 161232, Rapides Parish, 11.76, 20.81, 24.39, 45.77, 34.65, 58.40
PEASON RIDGE RANGE, 03949, Sabine Parish, 4.20, 10.92, 12.27, 27.90, 19.10, 40.81
JONESVILLE LOCKS, 164739, Catahoula Parish, 10.66, 16.51, 21.08, 35.47, 26.41, 43.00
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 8.87, 13.24, 15.86, 27.59, 18.75, 47.49
LUTCHER, 165783, Saint James Parish, 1.60, 5.11, 5.29, 7.89, 5.29, 9.47
SLIDELL, 168539, Saint Tammany Parish, 11.89, 16.73, 23.91, 35.65, 27.64, 50.90
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 12.42, 17.46, 22.60, 41.28, 30.29, 52.80
SALT POINT, 12968, Saint Mary Parish, 0.04, 3.20, 3.61, 3.61, 3.61, 3.61
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 3.88, 8.28, 11.30, 27.27, 13.50, 34.45
GALLIANO, 163433, Lafourche Parish, 4.61, 9.10, 12.40, 24.21, 16.42, 34.64
MORGAN CITY, 166394, Saint Mary Parish, 7.80, 15.77, 19.92, 28.84, 23.95, 28.84
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 7.01, 9.21, 12.33, 22.98, 15.34, 32.02
FRANKLIN 3 NW, 163313, Saint Mary Parish, 6.30, 15.02, 19.13, 32.35, 23.35, 40.98
HACKBERRY 8 SSW, 163979, Cameron Parish, 7.54, 13.53, 16.55, 21.66, 16.68, 31.53
NAPOLEONVILLE, 166561, Assumption Parish, 6.27, 12.84, 17.81, 29.22, 21.62, 44.24
JEANERETTE 5 NW, 164674, Iberia Parish, 9.03, 16.81, 20.54, 31.67, 23.88, 39.36
ABBEVILLE, 160007, Vermilion Parish, 10.73, 18.07, 21.77, 35.14, 26.03, 53.49
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 10.81, 19.36, 21.86, 34.92, 25.60, 46.16
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 8.93, 14.80, 18.06, 29.55, 21.49, 42.48
DERIDDER 8.9 SE, LABG0003, Beauregard Parish, 11.99, 14.21, 14.21, 14.21, 14.21, 14.21
LAKE CHARLES 3.7 SSE, LACC0021, Calcasieu Parish, 3.77, 10.75, 10.75, 20.61, 14.33, 27.38
ABBEVILLE 9.9 SW, LAVM0006, Vermilion Parish, 4.09, 4.09, 4.09, 4.09, 4.09, 4.09
NEW ORLEANS 3.8 WSW, LAOR0014, Orleans Parish, 10.65, 17.75, 22.44, 28.74, 26.54, 28.74
STONEWALL 2.4 SSW, LADS0005, De Soto Parish, 7.55, 7.55, 7.55, 7.55, 7.55, 7.55
MONROE 9.0 NNE, LAOC0032, Ouachita Parish, 11.55, 17.13, 17.13, 17.13, 17.13, 17.13
FSA-MARKSVILLE 1.0 W, LAAV0005, Avoyelles Parish, M, 0.00, 0.00, 0.00, 0.00, 0.00
SLIDELL 3.3 NE, LAST0022, Saint Tammany Parish, M, 0.21, 0.21, 5.13, 0.21, 5.13
HANNA 4 SSE, 164050, Red River Parish, 14.29, 20.08, 27.36, 46.05, 34.59, 63.35
ST. JOSEPH 3 N, 168163, Tensas Parish, 11.11, 15.65, 22.24, 42.58, 32.44, 52.36
LOGANSPORT, 165522, De Soto Parish, 8.86, 13.09, 18.54, 37.78, 25.06, 55.48
MANSFIELD 4 NW, 165874, De Soto Parish, 10.16, 12.26, 17.86, 33.82, 22.86, 52.34
WINNSBORO 5 SSE, 169806, Franklin Parish, 9.71, 14.41, 20.78, 37.87, 30.04, 51.95
COLUMBIA LOCK, 161979, Caldwell Parish, 10.48, 16.55, 23.03, 41.90, 33.13, 56.40
BIENVILLE 3 NE, 160800, Bienville Parish, 10.85, 17.86, 25.52, 51.80, 36.61, 66.89
SAILES FIRE TOWER, 168094, Bienville Parish, 10.38, 16.13, 23.31, 41.51, 29.80, 59.42
KEITHVILLE, 164816, Caddo Parish, 10.06, 14.31, 17.97, 35.44, 23.87, 54.75
TALLULAH, 168923, Madison Parish, 6.90, 7.87, 7.87, 8.37, 7.87, 11.48
KORAN, 164931, Bossier Parish, 12.87, 15.49, 21.36, 40.08, 28.48, 54.14
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 11.00, 14.49, 19.16, 37.49, 25.32, 55.21
SHREVEPORT AP, 13957, Caddo Parish, 10.77, 13.24, 16.47, 33.96, 22.11, 50.52
MONROE REGIONAL AP, 13942, Ouachita Parish, 10.57, 17.12, 24.07, 44.38, 32.66, 59.82
RUSTON LA TECH, 168067, Lincoln Parish, 9.50, 17.35, 22.04, 48.85, 37.21, 66.02
MINDEN, 166244, Webster Parish, 14.26, 19.70, 26.59, 44.79, 33.32, 58.41
