Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
TAYLORTOWN, 168927, Bossier Parish, 5.70, 9.85, 15.22, 47.57, 51.13, 78.24
BLANCHARD, 160861, Caddo Parish, 3.37, 4.90, 8.61, 18.50, 21.25, 46.56
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 23.72, 26.05, 37.62, 59.20, 63.98, 91.42
BAYOU SORREL LOCK, 160565, Iberville Parish, 13.30, 14.74, 19.31, 33.81, 41.38, 65.33
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 10.26, 13.29, 25.33, 45.68, 49.94, 63.12
GONZALES, 163695, Ascension Parish, 25.46, 29.93, 44.08, 68.14, 72.51, 101.05
CARVILLE 2 SW, 161565, Iberville Parish, 24.83, 26.34, 38.50, 56.18, 63.84, 90.42
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 25.56, 26.66, 37.38, 53.44, 61.53, 80.23
LAFAYETTE, 165021, Lafayette Parish, M, M, M, M, M, 16.95
CROWLEY 2 NE, 162212, Acadia Parish, 15.45, 17.36, 26.91, 53.03, 57.05, 77.53
JENNINGS, 164700, Jefferson Davis Parish, 15.33, 17.25, 24.74, 45.32, 48.55, 68.68
LAKE CHARLES PORT, 165076, Calcasieu Parish, 5.03, 7.54, 21.19, 38.81, 43.16, 58.26
SULPHUR, 168831, Calcasieu Parish, 11.00, 12.65, 19.69, 19.69, 19.69, 19.69
OLD TOWN BAY, 166968, Calcasieu Parish, 3.72, 5.93, 17.74, 39.43, 45.97, 64.80
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 10.17, 12.15, 22.32, 49.68, 56.61, 77.17
PLAQUEMINE 2 N, 167366, Iberville Parish, 9.50, 14.52, 23.15, 39.53, 47.81, 64.07
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 6.12, 6.12, 13.93, 32.19, 32.19, 48.09
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 24.07, 30.03, 41.74, 63.37, 71.27, 96.28
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 16.39, 20.71, 29.58, 48.27, 56.28, 81.04
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 8.47, 10.70, 17.05, 34.13, 39.23, 61.06
GRAND COTEAU, 163800, Saint Landry Parish, 5.10, 6.74, 17.61, 47.00, 52.01, 72.40
DENHAM SPRINGS, 162350, Livingston Parish, 5.38, 9.41, 18.47, 33.88, 36.85, 54.10
PORT ALLEN, 167448, West Baton Rouge Parish, 23.18, 29.10, 39.12, 57.42, 65.26, 88.11
OPELOUSAS, 166995, Saint Landry Parish, 16.28, 17.72, 29.82, 50.46, 56.59, 74.16
LIVINGSTON, 165438, Livingston Parish, 30.81, 37.67, 44.31, 68.16, 74.37, 99.56
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 24.64, 28.72, 39.24, 56.88, 65.08, 93.07
OBERLIN FIRE TOWER, 166938, Allen Parish, 8.30, 9.73, 17.31, 36.78, 40.71, 59.10
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 18.77, 22.96, 28.29, 44.89, 52.94, 73.60
VILLE PLATTE, 169369, Evangeline Parish, M, M, 3.10, 15.84, 18.18, 43.54
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 26.00, 29.76, 36.87, 59.72, 67.52, 95.96
OAKNOLIA 2N, 166911, East Feliciana Parish, M, M, M, M, M, T
ST. FRANCISVILLE, 168136, West Feliciana Parish, 20.62, 23.69, 28.92, 50.83, 57.82, 80.46
PLAIN DEALING, 167344, Bossier Parish, 6.35, 6.96, 12.16, 40.70, 45.00, 68.63
SPRINGHILL, 168683, Webster Parish, 3.74, 4.09, 9.12, 32.67, 35.75, 56.10
BAKER, 160462, East Baton Rouge Parish, 17.22, 21.49, 28.88, 48.33, 54.64, 82.92
VIDALIA NO 2, 169357, Concordia Parish, 6.31, 6.60, 11.49, 28.56, 28.91, 53.37
ST MARTINVILLE 3 SW, 168181, Saint Martin Parish, 22.77, 25.15, 34.14, 50.87, 60.68, 90.13
JENA, 164696, La Salle Parish, 5.01, 5.81, 10.29, 30.38, 33.69, 59.61
BATON ROUGE CONCORD, 160548, East Baton Rouge Parish, 24.09, 32.08, 43.63, 64.78, 73.41, 99.92
SHREVEPORT DOWNTOWN, 168436, Caddo Parish, 2.02, 3.20, 8.86, 42.37, 45.65, 69.51
RAYVILLE, 167691, Richland Parish, 8.93, 11.89, 16.60, 50.58, 56.93, 78.70
MARRERO 9 SSW, 165926, Jefferson Parish, 8.09, 13.11, 21.06, 40.44, 48.45, 69.51
RED RIVER LOCK #1, 167729, Catahoula Parish, 6.83, 7.50, 8.70, 16.88, 20.69, 38.05
PONCHATOULA 4 E, 167425, Tangipahoa Parish, 15.11, 22.12, 28.04, 58.75, 63.59, 93.41
LEESVILLE 6 SSW, 165287, Vernon Parish, 4.84, 6.18, 20.48, 41.83, 45.78, 76.66
ZWOLLE 2 NW, 169980, Sabine Parish, 2.18, 3.93, 11.10, 36.50, 39.60, 61.10
RED RIVER LOCK # 2, 167732, Rapides Parish, 3.30, 7.10, 12.95, 28.36, 32.42, 56.32
MANY 9 WSW, 165896, Sabine Parish, 4.31, 6.38, 14.92, 41.13, 44.65, 68.14
KILLIAN, 164878, Livingston Parish, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
MOSS BLUFF, 166431, Calcasieu Parish, 4.80, 6.47, 20.02, 40.89, 47.01, 63.11
ALEXANDRIA 5 SSE, 160103, Rapides Parish, 13.05, 17.08, 24.99, 40.11, 45.68, 74.42
DRY CREEK 8NW, 162641, Beauregard Parish, 6.82, 8.47, 18.06, 32.90, 38.48, 52.89
KAPLAN, 164775, Vermilion Parish, 15.94, 19.30, 26.24, 45.71, 51.28, 74.15
MOUNT HERMON 2W, 166466, Washington Parish, 25.00, 28.69, 33.52, 63.33, 69.20, 91.19
SUN, 168861, Saint Tammany Parish, 9.75, 12.96, 18.49, 44.27, 48.52, 72.14
NEW ORLEANS AP, 12916, Jefferson Parish, 8.86, 14.34, 24.41, 44.70, 50.78, 73.03
NEW ORLEANS LAKEFRONT AP, 53917, Orleans Parish, 10.16, 13.64, 21.40, 45.75, 52.01, 69.83
NEW ORLEANS AUDUBON, 12930, Orleans Parish, 10.92, 17.42, 24.54, 44.91, 49.33, 68.95
CONVENT 2S, 162002, Saint James Parish, 17.50, 19.50, 26.53, 33.98, 37.93, 59.36
BELL CITY 13 SW, 160658, Cameron Parish, 3.92, 7.00, 13.80, 30.09, 34.37, 51.68
WEST MONROE, 169631, Ouachita Parish, 7.37, 9.08, 14.08, 51.75, 57.09, 77.55
TERRYTOWN 3S, 168941, Jefferson Parish, 11.31, 15.72, 21.61, 38.67, 46.18, 65.43
JAMESTOWN, 164592, Bienville Parish, 8.13, 9.56, 13.84, 43.99, 48.12, 70.39
BENTON 5E, 160718, Bossier Parish, 6.01, 7.77, 12.58, 44.46, 47.53, 72.94
SLIDELL AP, 53865, Saint Tammany Parish, 8.49, 10.15, 19.49, 38.33, 43.58, 62.10
NORWOOD, 166808, East Feliciana Parish, 27.62, 31.09, 36.44, 60.56, 63.26, 89.51
TALLULAH VICKSBURG REGIONAL AP, 03996, Madison Parish, 6.43, 9.70, 13.16, 38.64, 46.88, 69.42
ALEXANDRIA INTL AP, 93915, Rapides Parish, 7.70, 9.56, 14.45, 28.27, 33.95, 60.70
ALEXANDRIA, 160098, Rapides Parish, 9.58, 11.83, 17.13, 30.55, 34.97, 60.11
NEW ORLEANS ALVIN CALLENDER FIELD, 12958, Jefferson Parish, 1.00, 3.68, 7.48, 12.90, 15.09, 20.17
WELSH 0.7 W, LAJD0002, Jefferson Davis Parish, 8.89, 10.65, 18.88, 36.24, 40.13, 55.84
MARRERO 1.9 E, LAJF0006, Jefferson Parish, M, M, M, M, M, 9.52
