Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 10.84, 15.67, 19.13, 27.37, 36.52, 44.71
LUTCHER, 165783, Saint James Parish, 3.44, 7.20, 8.30, 12.07, 16.89, 22.92
SLIDELL, 168539, Saint Tammany Parish, 5.55, 6.36, 8.62, 23.79, 28.62, 39.97
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 5.15, 13.52, 15.82, 21.58, 27.98, 28.94
SALT POINT, 12968, Saint Mary Parish, 6.97, 8.76, 8.92, 14.73, 14.73, 14.73
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 9.31, 11.50, 12.37, 25.22, 29.30, 35.55
GALLIANO, 163433, Lafourche Parish, 10.70, 14.22, 16.66, 27.89, 31.19, 41.50
MORGAN CITY, 166394, Saint Mary Parish, 6.53, 8.75, 10.23, 17.67, 22.40, 30.79
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 13.39, 15.76, 18.99, 26.06, 31.59, 41.45
FRANKLIN 3 NW, 163313, Saint Mary Parish, 14.44, 18.69, 21.64, 33.73, 38.93, 51.59
HACKBERRY 8 SSW, 163979, Cameron Parish, 6.13, 13.97, 16.68, 28.49, 36.20, 44.81
NAPOLEONVILLE, 166561, Assumption Parish, 4.38, 9.90, 15.41, 27.29, 33.16, 42.63
JEANERETTE 5 NW, 164674, Iberia Parish, 6.90, 12.32, 14.67, 24.80, 30.73, 46.10
ABBEVILLE, 160007, Vermilion Parish, 10.06, 15.05, 17.59, 24.32, 33.54, 45.33
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 3.42, 6.51, 10.38, 18.02, 23.31, 35.79
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 5.49, 9.69, 15.08, 23.32, 30.45, 45.89
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 2.52, 6.52, 7.91, 23.31, 30.10, 40.66
