Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 4.45, 9.61, 14.98, 26.46, 52.44, 4.45
LUTCHER, 165783, Saint James Parish, 8.78, 11.73, 12.85, 24.39, 40.85, 8.78
SLIDELL, 168539, Saint Tammany Parish, 4.59, 7.74, 11.80, 25.28, 48.71, 4.59
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 3.92, 12.16, 15.57, 32.09, 61.90, 3.92
GRAND ISLE, 163807, Jefferson Parish, 0.00, 7.51, 12.73, 25.83, 50.30, 0.00
SALT POINT, 12968, Saint Mary Parish, 0.00, 0.00, 0.00, 5.10, 19.03, 0.00
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 2.79, 7.20, 8.69, 17.41, 41.35, 2.79
GALLIANO, 163433, Lafourche Parish, 6.89, 11.74, 16.71, 25.98, 52.47, 6.89
MORGAN CITY, 166394, Saint Mary Parish, 4.49, 8.85, 14.42, 28.77, 53.49, 4.49
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 3.29, 7.64, 15.90, 30.59, 49.12, 3.29
FRANKLIN 3 NW, 163313, Saint Mary Parish, 8.44, 13.64, 19.26, 34.11, 61.38, 8.44
HACKBERRY 8 SSW, 163979, Cameron Parish, 3.66, 10.88, 15.02, 25.03, 50.48, 3.66
NAPOLEONVILLE, 166561, Assumption Parish, 9.60, 13.72, 17.14, 38.27, 59.39, 9.60
JEANERETTE 5 NW, 164674, Iberia Parish, 5.97, 11.09, 16.81, 37.51, 58.03, 5.97
ABBEVILLE, 160007, Vermilion Parish, 5.19, 7.99, 16.09, 31.89, 56.36, 5.19
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 6.03, 12.79, 20.83, 40.48, 61.81, 6.03
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 10.22, 13.57, 18.94, 36.33, 57.64, 10.22
RESERVE, 167767, Saint John the Baptist Parish, M, M, M, 2.00, 9.65, M
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 8.91, 12.49, 14.27, 33.24, 58.31, 8.91
BAYOU SORREL LOCK, 160565, Iberville Parish, 9.22, 11.50, 16.23, 34.11, 60.34, 9.22
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 7.26, 12.91, 16.33, 30.35, 58.92, 7.26
GONZALES, 163695, Ascension Parish, 9.15, 14.27, 17.09, 34.94, 60.66, 9.15
CARVILLE 2 SW, 161565, Iberville Parish, 13.22, 16.15, 24.43, 39.94, 63.06, 13.22
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 7.27, 10.10, 13.45, 31.50, 53.69, 7.27
LAFAYETTE, 165021, Lafayette Parish, 6.93, 9.36, 11.62, 29.53, 52.86, 6.93
CROWLEY 2 NE, 162212, Acadia Parish, 4.41, 8.51, 15.69, 35.93, 59.48, 4.41
JENNINGS, 164700, Jefferson Davis Parish, 5.88, 8.84, 15.40, 31.29, 53.25, 5.88
LAKE CHARLES PORT, 165076, Calcasieu Parish, 3.04, 11.10, 14.63, 36.12, 60.15, 3.04
SULPHUR, 168831, Calcasieu Parish, M, M, M, 10.73, 31.68, M
ST GABRIEL, 168139, Iberville Parish, M, M, M, M, 6.83, M
OLD TOWN BAY, 166968, Calcasieu Parish, 7.00, 12.70, 17.31, 32.66, 58.93, 7.00
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 3.83, 10.76, 13.14, 28.28, 53.92, 3.83
PLAQUEMINE 2 N, 167366, Iberville Parish, 4.29, 8.48, 16.84, 36.99, 56.72, 4.29
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 9.86, 9.86, 9.86, 16.25, 42.90, 9.86
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 9.66, 13.43, 16.19, 40.91, 59.78, 9.66
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 8.72, 12.57, 18.27, 37.50, 51.95, 8.72
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 5.48, 9.01, 10.59, 19.16, 27.71, 5.48
GRAND COTEAU, 163800, Saint Landry Parish, 6.68, 10.29, 11.91, 30.06, 55.42, 6.68
ABITA SPRINGS 1 SW, 160016, Saint Tammany Parish, M, M, M, 3.19, 26.39, M
DENHAM SPRINGS, 162350, Livingston Parish, 8.26, 10.50, 11.62, 33.93, 56.46, 8.26
PORT ALLEN, 167448, West Baton Rouge Parish, 9.35, 10.70, 14.67, 33.77, 56.46, 9.35
OPELOUSAS, 166995, Saint Landry Parish, 7.45, 9.11, 14.48, 28.34, 56.12, 7.45
EUNICE, 162981, Saint Landry Parish, M, M, M, M, 5.38, M
LIVINGSTON, 165438, Livingston Parish, 11.60, 15.05, 17.73, 39.17, 62.14, 11.60
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 15.13, 17.34, 22.64, 43.52, 64.73, 15.13
OBERLIN FIRE TOWER, 166938, Allen Parish, 5.82, 7.60, 11.42, 23.46, 52.21, 5.82
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 12.06, 13.63, 17.41, 30.09, 54.97, 12.06
VILLE PLATTE, 169369, Evangeline Parish, 8.75, 10.39, 13.54, 28.81, 44.43, 8.75
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 11.57, 15.75, 17.73, 34.78, 48.58, 11.57
OAKNOLIA 2N, 166911, East Feliciana Parish, T, T, 2.35, 18.90, 42.75, T
ST. FRANCISVILLE, 168136, West Feliciana Parish, 9.07, 10.44, 14.93, 27.68, 60.72, 9.07
ST. JOSEPH 3 N, 168163, Tensas Parish, 9.00, 10.95, 12.23, 24.13, 46.43, 9.00
LOGANSPORT, 165522, De Soto Parish, 8.43, 9.17, 10.30, 27.18, 51.10, 8.43
WINNSBORO 5 SSE, 169806, Franklin Parish, 8.76, 9.77, 10.10, 25.99, 43.68, 8.76
COLUMBIA LOCK, 161979, Caldwell Parish, 7.89, 9.71, 10.30, 35.19, 54.97, 7.89
BIENVILLE 3 NE, 160800, Bienville Parish, 8.22, 8.69, 8.77, 32.98, 56.13, 8.22
SAILES FIRE TOWER, 168094, Bienville Parish, 6.27, 7.07, 7.26, 26.15, 50.35, 6.27
KEITHVILLE, 164816, Caddo Parish, 7.45, 8.17, 9.13, 29.98, 53.58, 7.45
TALLULAH, 168923, Madison Parish, 6.20, 8.23, 9.82, 24.42, 42.92, 6.20
KORAN, 164931, Bossier Parish, 6.90, 7.35, 7.69, 26.72, 50.78, 6.90
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 8.09, 8.36, 9.11, 25.67, 49.32, 8.09
SHREVEPORT AP, 13957, Caddo Parish, 7.10, 7.17, 9.29, 26.83, 52.03, 7.10
MONROE REGIONAL AP, 13942, Ouachita Parish, 8.20, 8.56, 8.97, 21.67, 40.14, 8.20
MONROE DELTA CC, 166314, Ouachita Parish, 7.73, 8.05, 9.24, 22.13, 41.09, 7.73
CALHOUN 2 N, 161411, Ouachita Parish, 8.48, 8.85, 9.15, 32.57, 53.74, 8.48
RUSTON LA TECH, 168067, Lincoln Parish, 8.41, 8.71, 8.81, 9.21, 10.26, 8.41
MINDEN, 166244, Webster Parish, 6.53, 6.55, 7.87, 31.32, 55.19, 6.53
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 6.92, 7.22, 10.35, 22.67, 48.24, 6.92
ARCADIA, 160277, Bienville Parish, 6.20, 8.08, 8.19, 28.10, 51.38, 6.20
OAK RIDGE, 166868, Morehouse Parish, 5.15, 5.95, 6.35, 21.53, 41.48, 5.15
MOORINGSPORT 1 N, 166364, Caddo Parish, 6.63, 6.67, 7.94, 19.22, 42.93, 6.63
FARMERVILLE, 163079, Union Parish, 6.04, 6.12, 6.29, 25.48, 49.59, 6.04
HOMER 1N, 164355, Claiborne Parish, 5.24, 5.81, 8.00, 27.43, 49.19, 5.24
LAKE PROVIDENCE, 165090, East Carroll Parish, 9.62, 9.74, 11.20, 26.33, 47.57, 9.62
OAK GROVE, 166866, West Carroll Parish, 7.65, 8.57, 9.23, 26.57, 47.24, 7.65
CLINTON 5 SE, 161899, East Feliciana Parish, 11.11, 14.40, 16.67, 34.10, 58.90, 11.11
BEAVER FIRE TOWER, 160617, Evangeline Parish, 7.83, 10.92, 13.49, 27.61, 53.00, 7.83
OAKDALE, 166836, Allen Parish, M, M, M, 7.84, 24.34, M
DE RIDDER, 162367, Beauregard Parish, 13.03, 15.79, 18.64, 28.76, 50.28, 13.03
CLINTON FORESTRY HEADQUARTERS, 161891, East Feliciana Parish, M, M, M, 0.00, 0.00, M
BUNKIE, 161287, Avoyelles Parish, 7.15, 8.80, 11.50, 27.87, 53.86, 7.15
