Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
LELAND BOWMAN LOCK, 165296, Vermilion Parish, 16.04, 23.71, 34.37, 43.23, 56.25, 64.44
LUTCHER, 165783, Saint James Parish, 3.13, 5.61, 10.16, 12.95, 21.38, 27.41
SLIDELL, 168539, Saint Tammany Parish, 7.53, 9.94, 14.26, 26.29, 36.94, 48.29
LAKE CHARLES 7 NW, 165072, Calcasieu Parish, 4.40, 9.00, 20.11, 27.72, 36.33, 37.29
SALT POINT, 12968, Saint Mary Parish, 1.04, 4.50, 11.36, 17.80, 17.80, 17.80
BOOTHVILLE ASOS, 12884, Plaquemines Parish, 9.06, 12.03, 21.40, 27.88, 40.48, 46.73
GALLIANO, 163433, Lafourche Parish, 9.65, 17.47, 26.71, 37.73, 44.48, 54.79
MORGAN CITY, 166394, Saint Mary Parish, 6.42, 10.99, 16.26, 25.15, 31.36, 39.75
ROCKEFELLER WL REFUGE, 167932, Cameron Parish, 8.60, 10.71, 25.29, 33.04, 41.97, 51.83
FRANKLIN 3 NW, 163313, Saint Mary Parish, 10.33, 19.78, 33.40, 46.01, 56.09, 68.75
HACKBERRY 8 SSW, 163979, Cameron Parish, 6.53, 11.42, 20.47, 29.69, 45.57, 54.18
NAPOLEONVILLE, 166561, Assumption Parish, 8.90, 13.65, 20.45, 33.55, 44.95, 54.42
JEANERETTE 5 NW, 164674, Iberia Parish, 10.14, 12.72, 22.06, 31.64, 42.84, 58.21
ABBEVILLE, 160007, Vermilion Parish, 7.75, 14.91, 24.65, 33.24, 45.74, 57.53
LAKE ARTHUR 7 SW, 165065, Cameron Parish, 7.05, 8.60, 13.35, 22.08, 31.61, 44.09
NEW IBERIA AIRPORT - ACADIANA REGIONAL, 53915, Iberia Parish, 4.64, 6.65, 13.08, 26.20, 36.75, 52.19
CLINTON 5 SE, 161899, East Feliciana Parish, 2.25, 5.60, 13.02, 24.31, 41.74, 57.96
BEAVER FIRE TOWER, 160617, Evangeline Parish, 3.92, 7.03, 15.49, 24.57, 39.76, 47.80
BUNKIE, 161287, Avoyelles Parish, 3.26, 5.70, 12.06, 22.27, 38.76, 47.49
MARKSVILLE, 165920, Avoyelles Parish, 3.67, 10.16, 12.78, 22.77, 43.08, 51.09
LEESVILLE, 165266, Vernon Parish, 1.72, 4.98, 11.95, 28.77, 50.87, 57.59
ALEXANDRIA ESLER FIELD, 13935, Rapides Parish, 4.96, 6.60, 13.91, 29.00, 46.17, 52.32
BOYCE 3 WNW, 161232, Rapides Parish, 5.94, 7.71, 15.52, 29.91, 55.58, 61.97
PEASON RIDGE RANGE, 03949, Sabine Parish, 2.18, 2.65, 9.05, 22.23, 41.18, 48.32
JONESVILLE LOCKS, 164739, Catahoula Parish, 4.16, 5.27, 8.06, 21.13, 37.83, 48.75
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 8.65, 13.63, 19.00, 29.16, 43.14, 53.70
BAYOU SORREL LOCK, 160565, Iberville Parish, 4.82, 12.93, 18.15, 28.97, 41.58, 55.39
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 3.93, 7.76, 15.47, 23.58, 37.92, 49.38
GONZALES, 163695, Ascension Parish, 8.31, 11.38, 18.60, 31.12, 45.07, 59.32
CARVILLE 2 SW, 161565, Iberville Parish, 8.01, 12.26, 19.17, 28.89, 41.54, 58.14
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 9.15, 13.51, 19.24, 23.31, 31.65, 47.85
CROWLEY 2 NE, 162212, Acadia Parish, 11.20, 16.29, 22.45, 28.53, 39.74, 55.66
JENNINGS, 164700, Jefferson Davis Parish, 7.69, 11.92, 19.25, 25.40, 38.23, 50.70
LAKE CHARLES PORT, 165076, Calcasieu Parish, 2.58, 14.48, 21.72, 30.74, 44.18, 54.19
SULPHUR, 168831, Calcasieu Parish, 3.90, 7.76, 15.55, 22.37, 37.42, 45.12
OLD TOWN BAY, 166968, Calcasieu Parish, 4.83, 7.91, 13.80, 20.78, 32.66, 45.06
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 4.38, 8.09, 13.06, 21.77, 33.86, 42.74
PLAQUEMINE 2 N, 167366, Iberville Parish, 10.89, 13.88, 18.07, 25.37, 39.21, 53.16
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 4.06, 4.06, 4.06, 9.58, 12.48, 12.48
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 4.28, 7.84, 17.01, 27.93, 44.33, 56.20
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 4.43, 6.32, 11.60, 19.62, 33.26, 45.65
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 6.65, 13.27, 21.44, 33.71, 48.53, 63.36
GRAND COTEAU, 163800, Saint Landry Parish, 3.97, 9.28, 18.31, 30.19, 41.72, 55.32
PORT ALLEN, 167448, West Baton Rouge Parish, 6.81, 7.83, 16.78, 24.94, 37.69, 51.49
OPELOUSAS, 166995, Saint Landry Parish, 0.87, 4.88, 11.51, 22.54, 28.36, 33.59
LIVINGSTON, 165438, Livingston Parish, 9.47, 14.01, 20.73, 37.18, 53.44, 66.66
