Name,ID,County,Last30Days,Last60Days,Last90Days,Last180Days,SinceJan1,SinceOct1
DONALDSONVILLE 4 SW, 162534, Assumption Parish, 10.36, 16.09, 27.17, 47.16, 59.87, 67.98
BAYOU SORREL LOCK, 160565, Iberville Parish, 16.11, 23.28, 38.46, 61.91, 69.07, 78.95
LAKE CHARLES REGIONAL AP, 03937, Calcasieu Parish, 23.45, 27.29, 36.19, 56.65, 63.64, 79.16
GONZALES, 163695, Ascension Parish, 14.89, 19.91, 29.04, 53.62, 63.69, 71.17
CARVILLE 2 SW, 161565, Iberville Parish, 13.77, 18.87, 30.83, 59.21, 66.39, 78.85
LAFAYETTE REGIONAL AP, 13976, Lafayette Parish, 13.64, 20.64, 30.84, 48.57, 52.22, 64.60
CROWLEY 2 NE, 162212, Acadia Parish, 11.52, 16.97, 25.81, 45.37, 57.56, 67.92
JENNINGS, 164700, Jefferson Davis Parish, 13.48, 20.00, 31.80, 57.45, 69.24, 77.40
LAKE CHARLES PORT, 165076, Calcasieu Parish, 17.01, 24.96, 38.26, 60.26, 70.46, 75.79
SULPHUR, 168831, Calcasieu Parish, 22.20, 29.30, 48.55, 84.25, 93.52, 101.81
OLD TOWN BAY, 166968, Calcasieu Parish, 25.86, 29.76, 42.97, 72.20, 82.09, 93.86
LAKE CHARLES 2 N, 165074, Calcasieu Parish, 24.76, 33.95, 49.92, 76.36, 86.62, 99.76
PLAQUEMINE 2 N, 167366, Iberville Parish, 9.91, 12.92, 22.02, 45.84, 56.87, 65.58
BAYOU MANCHAC POINT, 160563, East Baton Rouge Parish, 2.34, 2.34, 6.22, 17.40, 28.89, 28.89
BATON ROUGE SHERWOOD, 160558, East Baton Rouge Parish, 6.81, 16.68, 26.20, 49.13, 59.98, 68.76
LSU BEN-HUR FARM, 165620, East Baton Rouge Parish, 10.09, 12.81, 20.59, 45.02, 55.97, 63.78
ABITA SPRINGS FIRE TOWER, 160021, Saint Tammany Parish, 13.54, 16.44, 27.70, 46.83, 59.51, 68.03
GRAND COTEAU, 163800, Saint Landry Parish, 8.89, 11.50, 23.47, 41.65, 54.10, 66.11
PORT ALLEN, 167448, West Baton Rouge Parish, 9.58, 14.07, 22.06, 45.63, 60.71, 69.65
OPELOUSAS, 166995, Saint Landry Parish, 11.18, 15.98, 21.55, 42.66, 55.33, 65.52
LIVINGSTON, 165438, Livingston Parish, 10.71, 16.45, 27.38, 57.32, 68.23, 77.96
BATON ROUGE METRO AP, 13970, East Baton Rouge Parish, 7.74, 14.18, 21.70, 43.90, 55.39, 68.30
OBERLIN FIRE TOWER, 166938, Allen Parish, 13.88, 17.89, 27.77, 50.82, 62.56, 71.09
NEW ROADS 5 NE, 166686, Pointe Coupee Parish, 8.72, 13.09, 18.92, 40.65, 50.18, 61.23
VILLE PLATTE, 169369, Evangeline Parish, 6.81, 12.78, 21.63, 40.26, 51.44, 60.06
PINE GROVE FIRE TOWER, 167304, Saint Helena Parish, 10.15, 16.46, 27.70, 52.92, 69.31, 79.94
ST. FRANCISVILLE, 168136, West Feliciana Parish, 12.06, 18.07, 28.96, 49.98, 65.09, 75.40
HANNA 4 SSE, 164050, Red River Parish, 13.91, 19.49, 32.94, 42.23, 42.23, 42.23
ST. JOSEPH 3 N, 168163, Tensas Parish, 3.88, 7.12, 15.16, 35.40, 43.88, 56.37
LOGANSPORT, 165522, De Soto Parish, 9.25, 11.88, 16.89, 31.93, 38.30, 48.14
WINNSBORO 5 SSE, 169806, Franklin Parish, 3.04, 6.24, 10.24, 28.03, 38.07, 47.98
COLUMBIA LOCK, 161979, Caldwell Parish, 5.38, 7.59, 11.92, 26.23, 36.58, 46.80
BIENVILLE 3 NE, 160800, Bienville Parish, 14.76, 17.04, 23.22, 37.69, 43.56, 51.89
SAILES FIRE TOWER, 168094, Bienville Parish, 5.65, 9.68, 13.53, 25.31, 32.29, 40.09
KEITHVILLE, 164816, Caddo Parish, 11.78, 14.98, 18.95, 33.31, 38.25, 49.08
TALLULAH, 168923, Madison Parish, 5.82, 9.07, 14.76, 33.96, 43.50, 54.20
KORAN, 164931, Bossier Parish, 8.60, 10.97, 15.42, 28.74, 34.12, 42.20
RED RIVER RESEARCH STATION, 167738, Bossier Parish, 9.37, 10.79, 16.78, 28.14, 33.10, 39.81
SHREVEPORT AP, 13957, Caddo Parish, 7.69, 9.44, 12.49, 25.95, 30.09, 38.57
MONROE REGIONAL AP, 13942, Ouachita Parish, 9.16, 12.03, 20.54, 37.58, 47.00, 55.01
MONROE DELTA CC, 166314, Ouachita Parish, M, M, M, 12.21, 21.60, 30.19
RUSTON LA TECH, 168067, Lincoln Parish, 5.70, 7.52, 12.63, 23.04, 30.23, 40.02
MINDEN, 166244, Webster Parish, 5.26, 7.90, 16.28, 28.27, 33.68, 46.49
SHREVEPORT DOWNTOWN AP, 53905, Caddo Parish, 5.68, 7.08, 10.09, 18.91, 23.52, 35.07
ARCADIA, 160277, Bienville Parish, 4.53, 8.31, 15.65, 27.53, 34.60, 44.64
OAK RIDGE, 166868, Morehouse Parish, 8.52, 15.75, 26.52, 42.22, 51.66, 57.72
MOORINGSPORT 1 N, 166364, Caddo Parish, 3.23, 6.36, 11.24, 28.66, 35.60, 44.45
FARMERVILLE, 163079, Union Parish, M, M, M, 1.01, 10.25, 18.32
HOMER 1N, 164355, Claiborne Parish, 6.48, 10.74, 16.42, 31.05, 38.97, 48.40
LAKE PROVIDENCE, 165090, East Carroll Parish, 6.07, 8.70, 15.15, 29.70, 39.40, 47.20
OAK GROVE, 166866, West Carroll Parish, 4.53, 7.87, 14.01, 27.06, 38.45, 48.10
GONZALES 4.0 S, LAAS0005, Ascension Parish, 12.82, 16.87, 25.93, 49.71, 61.69, 69.71
BUNKIE 0.3 WSW, LAAV0001, Avoyelles Parish, 7.43, 15.07, 20.68, 48.40, 59.15, 69.99
BOSSIER CITY 6.7 NNW, LABS0001, Bossier Parish, 3.72, 6.75, 11.27, 21.69, 27.37, 39.15
BOSSIER CITY 7.9 NNW, LABS0003, Bossier Parish, 2.27, 3.10, 6.77, 12.75, 12.75, 12.75
IOWA 0.9 ESE, LACC0003, Calcasieu Parish, 24.66, 28.09, 39.05, 64.37, 73.64, 85.58
WESTLAKE 0.7 WNW, LACC0005, Calcasieu Parish, 11.25, 11.25, 15.47, 15.47, 15.47, 15.47
SULPHUR 2.2 E, LACC0006, Calcasieu Parish, 19.38, 25.07, 41.48, 73.08, 83.44, 95.56
IOWA 9.7 NNW, LACC0009, Calcasieu Parish, 23.63, 25.24, 37.50, 68.74, 78.34, 90.67
SHREVEPORT 6.2 S, LACD0001, Caddo Parish, 10.46, 12.07, 18.40, 34.10, 39.26, 46.09
FERRIDAY 1.1 NNW, LACN0002, Concordia Parish, M, M, M, M, 0.00, 0.00
SICILY ISLAND 3.3 WNW, LACT0001, Catahoula Parish, 9.02, 10.31, 17.21, 32.89, 42.74, 55.75
BATON ROUGE 2.7 SW, LAEB0002, East Baton Rouge Parish, 10.97, 13.27, 22.75, 46.45, 57.84, 67.11
GARDERE 1.2 ENE, LAEB0005, East Baton Rouge Parish, 6.35, 11.79, 21.02, 45.17, 55.96, 62.73
BROWNFIELDS 5.8 NE, LAEB0009, East Baton Rouge Parish, 6.55, 9.15, 15.53, 33.42, 50.01, 58.73
BATON ROUGE 3.5 E, LAEB0014, East Baton Rouge Parish, 11.36, 18.83, 33.82, 58.35, 72.63, 83.96
MONTICELLO 3.0 ENE, LAEB0019, East Baton Rouge Parish, 7.94, 12.45, 21.56, 45.30, 55.70, 64.18
SHENANDOAH 1.5 E, LAEB0022, East Baton Rouge Parish, 6.46, 11.70, 20.93, 41.61, 50.45, 57.67
BROWNFIELDS 4.0 E, LAEB0023, East Baton Rouge Parish, 8.36, 15.17, 28.52, 52.06, 66.70, 76.47
